dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f1eb7e06b29c	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-02-25	57	1					-37	-39	-36	1			1	0.00272897349798322			0.00272897349798322				100	1			1					3.0303030303030303			3.1446540880503147	652230	36643815	12.7	19.5
ecdc/worldwide	ce1b56e34639	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-08	69	13					-25	-27	-24	4			4	0.01091589399193288			0.01091589399193288				100	3			3	300			300	9.090909090909092			9.433962264150942	652230	36643815	12.7	19.5
ecdc/worldwide	40e22013b287	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-11	72	16					-22	-24	-21	7			7	0.019102814485882542			0.019102814485882542				100	3			3	75			75	9.090909090909092			9.433962264150942	652230	36643815	12.7	19.5
ecdc/worldwide	0dcff2a636ba	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-15	76	20	1				-18	-20	-17	10			10	0.0272897349798322			0.0272897349798322				100	3			3	42.857142857142854			42.857142857142854	9.090909090909092			9.433962264150942	652230	36643815	12.7	19.5
ecdc/worldwide	372600cbc0fc	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-16	77	21	2				-17	-19	-16	16			16	0.04366357596773152			0.04366357596773152				100	6			6	60			60	18.181818181818183			18.867924528301884	652230	36643815	12.7	19.5
ecdc/worldwide	12fb791a086f	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-17	78	22	3				-16	-18	-15	21			21	0.05730844345764762			0.05730844345764762				100	5			5	31.25			31.25	15.151515151515152			15.723270440251572	652230	36643815	12.7	19.5
ecdc/worldwide	bbde78893a6a	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-18	79	23	4				-15	-17	-14	22			22	0.06003741695563084			0.06003741695563084				100	1			1	4.761904761904762			4.761904761904762	3.0303030303030303			3.1446540880503147	652230	36643815	12.7	19.5
ecdc/worldwide	dda3246a875a	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-21	82	26	7				-12	-14	-11	24			24	0.06549536395159729			0.06549536395159729				100	2			2	9.090909090909092			9.090909090909092	6.0606060606060606			6.289308176100629	652230	36643815	12.7	19.5
ecdc/worldwide	15f734b3c904	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-23	84	28	9				-10	-12	-9	34			34	0.09278509893142949			0.09278509893142949				100	10			10	41.666666666666664			41.666666666666664	30.303030303030305			31.446540880503143	652230	36643815	12.7	19.5
ecdc/worldwide	6be02d52ac06	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-24	85	29	10				-9	-11	-8	40	1		39	0.1091589399193288	0.00272897349798322		0.10642996642134558		2.5		97.5	6	1		5	17.647058823529413			14.705882352941176	18.181818181818183	83.33333333333334		15.723270440251572	652230	36643815	12.7	19.5
ecdc/worldwide	13e5c5bb8603	ac6c15109030	total-country	Afghanistan	AF	Afghanistan			33	65	Asia	Southern Asia	2020-03-25	86	30	11				-8	-10	-7	42	1		41	0.11461688691529524	0.00272897349798322		0.11188791341731202		2.380952380952381		97.61904761904762	2			2	5			5.128205128205129	6.0606060606060606			6.289308176100629	652230	36643815	12.7	19.5
