dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	87c8222c7238	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-09	70	1					-21	-21	-22	2			2	0.06504955637828788			0.06504955637828788				100	2			2					7.751937984496124			8.064516129032258	28748	3074579	7.1	34.3
ecdc/worldwide	5436d589f742	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-10	71	2					-20	-20	-21	6			6	0.19514866913486367			0.19514866913486367				100	4			4	200			200	15.503875968992247			16.129032258064516	28748	3074579	7.1	34.3
ecdc/worldwide	ec9e217f5c42	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-11	72	3	1				-19	-19	-20	10			10	0.32524778189143944			0.32524778189143944				100	4			4	66.66666666666667			66.66666666666667	15.503875968992247			16.129032258064516	28748	3074579	7.1	34.3
ecdc/worldwide	3934da23c1ad	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-12	73	4	2				-18	-18	-19	11	1		10	0.3577725600805834	0.03252477818914394		0.32524778189143944		9.090909090909092		90.9090909090909	1	1			10				3.875968992248062	45.45454545454545			28748	3074579	7.1	34.3
ecdc/worldwide	1b0447cfd226	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-13	74	5	3				-17	-17	-18	23	1		22	0.7480698983503107	0.03252477818914394		0.7155451201611668		4.3478260869565215		95.65217391304348	12			12	109.0909090909091			120	46.51162790697674			48.387096774193544	28748	3074579	7.1	34.3
ecdc/worldwide	35d2268ab884	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-14	75	6	4				-16	-16	-17	33	1		32	1.0733176802417501	0.03252477818914394		1.040792902052606		3.0303030303030303		96.96969696969697	10			10	43.47826086956522			45.45454545454545	38.75968992248062			40.32258064516129	28748	3074579	7.1	34.3
ecdc/worldwide	df2a323858d1	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-15	76	7	5				-15	-15	-16	38	1		37	1.23594157118747	0.03252477818914394		1.203416792998326		2.631578947368421		97.36842105263158	5			5	15.151515151515152			15.625	19.37984496124031			20.161290322580644	28748	3074579	7.1	34.3
ecdc/worldwide	8bf53ab2c0da	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-16	77	8	6				-14	-14	-15	42	1		41	1.3660406839440455	0.03252477818914394		1.3335159057549018		2.380952380952381		97.61904761904762	4			4	10.526315789473685			10.81081081081081	15.503875968992247			16.129032258064516	28748	3074579	7.1	34.3
ecdc/worldwide	2e3e06308069	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-17	78	9	7				-13	-13	-14	51	1		50	1.6587636876463412	0.03252477818914394		1.626238909457197		1.9607843137254901		98.0392156862745	9			9	21.428571428571427			21.951219512195124	34.883720930232556			36.29032258064516	28748	3074579	7.1	34.3
ecdc/worldwide	4d596bb387ba	5a1e867022db	total-country	Albania	AL	Albania			41	20	Europe	Southern Europe	2020-03-18	79	10	8				-12	-12	-13	55	1		54	1.788862800402917	0.03252477818914394		1.7563380222137728		1.8181818181818181		98.18181818181819	4			4	7.8431372549019605			8	15.503875968992247			16.129032258064516	28748	3074579	7.1	34.3
