dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	5345e61e28a2	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-03-22	83	1					-11	-11		2			2	0.006			0.006				100	2			2					90.909			111.111	1246700	32522339	8.5	15.9
ecdc/worldwide	517c96f16274	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-03-27	88	6					-6	-6		3			3	0.009			0.009				100	1			1	50			50	45.455			55.556	1246700	32522339	8.5	15.9
ecdc/worldwide	36913d009f32	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-03-28	89	7					-5	-5		4			4	0.012			0.012				100	1			1	33.333			33.333	45.455			55.556	1246700	32522339	8.5	15.9
ecdc/worldwide	63670bb799bc	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-03-30	91	9					-3	-3		7	2		5	0.022	0.006		0.015		28.571		71.429	3	2		1	75			25	136.364			55.556	1246700	32522339	8.5	15.9
ecdc/worldwide	ab65620a2d98	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-04-02	94	12					0	0		8	2		6	0.025	0.006		0.018		25		75	1			1	14.286			20	45.455			55.556	1246700	32522339	8.5	15.9
ecdc/worldwide	03ac871de396	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-04-05	97	15	1				3	3		10	2		8	0.031	0.006		0.025		20		80	2			2	25			33.333	90.909			111.111	1246700	32522339	8.5	15.9
ecdc/worldwide	07890e924e65	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-04-06	98	16	2				4	4		14	2		12	0.043	0.006		0.037		14.286		85.714	4			4	40			50	181.818			222.222	1246700	32522339	8.5	15.9
ecdc/worldwide	5e16079fd9c9	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-04-07	99	17	3				5	5		16	2		14	0.049	0.006		0.043		12.5		87.5	2			2	14.286			16.667	90.909			111.111	1246700	32522339	8.5	15.9
ecdc/worldwide	1dd38eafeca9	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-04-08	100	18	4				6	6		17	2		15	0.052	0.006		0.046		11.765		88.235	1			1	6.25			7.143	45.455			55.556	1246700	32522339	8.5	15.9
ecdc/worldwide	e204ee6a4a94	c6ab77c4ecae	total-country	Angola	AO	Angola			-12.5	18.5	Africa	Middle Africa	2020-04-09	101	19	5				7	7		19	2		17	0.058	0.006		0.052		10.526		89.474	2			2	11.765			13.333	90.909			111.111	1246700	32522339	8.5	15.9
