dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	4fd62c101d58	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-04	65	1					-30	-28	-33	1			1	0.002			0.002				100	1			1					0.002			0.002	0.754			0.776	2780400	45479118	7.4	32.4
ecdc/worldwide	e065f3418b64	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-06	67	3					-28	-26	-31	2			2	0.004			0.004				100	1			1	100			100	0.002			0.002	0.754			0.776	2780400	45479118	7.4	32.4
ecdc/worldwide	f8c135d7beeb	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-07	68	4					-27	-25	-30	8			8	0.018			0.018				100	6			6	300			300	0.013			0.013	4.525			4.658	2780400	45479118	7.4	32.4
ecdc/worldwide	2bfe200ee5a5	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-08	69	5					-26	-24	-29	9	1		8	0.02	0.002		0.018		11.111		88.889	1	1			12.5				0.002	0.002			0.754	15.625			2780400	45479118	7.4	32.4
ecdc/worldwide	533fc3c23b87	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-09	70	6	1				-25	-23	-28	12	1		11	0.026	0.002		0.024		8.333		91.667	3			3	33.333			37.5	0.007			0.007	2.262			2.329	2780400	45479118	7.4	32.4
ecdc/worldwide	e90ddbdbe547	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-11	72	8	3				-23	-21	-26	19	1		18	0.042	0.002		0.04		5.263		94.737	7			7	58.333			63.636	0.015			0.015	5.279			5.435	2780400	45479118	7.4	32.4
ecdc/worldwide	b228627d3572	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-13	74	10	5				-21	-19	-24	31	1		30	0.068	0.002		0.066		3.226		96.774	12			12	63.158			66.667	0.026			0.026	9.05			9.317	2780400	45479118	7.4	32.4
ecdc/worldwide	e6d6e6e732e0	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-14	75	11	6				-20	-18	-23	34	2		32	0.075	0.004		0.07		5.882		94.118	3	1		2	9.677	100		6.667	0.007	0.002		0.004	2.262	15.625		1.553	2780400	45479118	7.4	32.4
ecdc/worldwide	fb179856fcd6	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-15	76	12	7				-19	-17	-22	45	2		43	0.099	0.004		0.095		4.444		95.556	11			11	32.353			34.375	0.024			0.024	8.296			8.54	2780400	45479118	7.4	32.4
ecdc/worldwide	b24aab5be145	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-16	77	13	8				-18	-16	-21	56	2		54	0.123	0.004		0.119		3.571		96.429	11			11	24.444			25.581	0.024			0.024	8.296			8.54	2780400	45479118	7.4	32.4
ecdc/worldwide	be5b0b0ebca6	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-17	78	14	9				-17	-15	-20	65	2		63	0.143	0.004		0.139		3.077		96.923	9			9	16.071			16.667	0.02			0.02	6.787			6.988	2780400	45479118	7.4	32.4
ecdc/worldwide	ae4b1865bf50	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-18	79	15	10				-16	-14	-19	79	2		77	0.174	0.004		0.169		2.532		97.468	14			14	21.538			22.222	0.031			0.031	10.558			10.87	2780400	45479118	7.4	32.4
ecdc/worldwide	78af499c1af9	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-19	80	16	11				-15	-13	-18	97	2		95	0.213	0.004		0.209		2.062		97.938	18			18	22.785			23.377	0.04			0.04	13.575			13.975	2780400	45479118	7.4	32.4
