dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	b3a3ab765b8c	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-26	58	1					-33	-29	-38	2			2	0.023			0.023				100	2			2					0.268			0.272	83871	8859449	9.8	44.5
ecdc/worldwide	c9829cd37a4c	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-28	60	3					-31	-27	-36	5			5	0.056			0.056				100	3			3	150			150	0.402			0.408	83871	8859449	9.8	44.5
ecdc/worldwide	d7341e34a4c1	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-29	61	4					-30	-26	-35	7			7	0.079			0.079				100	2			2	40			40	0.268			0.272	83871	8859449	9.8	44.5
ecdc/worldwide	d4fbbde87db5	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-01	62	5	1				-29	-25	-34	10			10	0.113			0.113				100	3			3	42.857			42.857	0.402			0.408	83871	8859449	9.8	44.5
ecdc/worldwide	7cabb0f3c50a	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-02	63	6	2				-28	-24	-33	14			14	0.158			0.158				100	4			4	40			40	0.536			0.544	83871	8859449	9.8	44.5
ecdc/worldwide	6faaa07933a4	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-03	64	7	3				-27	-23	-32	18			18	0.203			0.203				100	4			4	28.571			28.571	0.536			0.544	83871	8859449	9.8	44.5
ecdc/worldwide	cdf592254611	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-04	65	8	4				-26	-22	-31	24			24	0.271			0.271				100	6			6	33.333			33.333	0.804			0.817	83871	8859449	9.8	44.5
ecdc/worldwide	9b7c762256f2	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-05	66	9	5				-25	-21	-30	29			29	0.327			0.327				100	5			5	20.833			20.833	0.67			0.68	83871	8859449	9.8	44.5
ecdc/worldwide	0eab161a0d8b	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-06	67	10	6				-24	-20	-29	41			41	0.463			0.463				100	12			12	41.379			41.379	1.608			1.633	83871	8859449	9.8	44.5
ecdc/worldwide	d1cf5e85fb6f	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-07	68	11	7				-23	-19	-28	74			74	0.835			0.835				100	33			33	80.488			80.488	4.422			4.491	83871	8859449	9.8	44.5
ecdc/worldwide	30de9df1297a	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-08	69	12	8				-22	-18	-27	99			99	1.117			1.117				100	25			25	33.784			33.784	3.35			3.402	83871	8859449	9.8	44.5
ecdc/worldwide	72d051f5bf67	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-09	70	13	9	1			-21	-17	-26	102			102	1.151			1.151				100	3			3	3.03			3.03	0.402			0.408	83871	8859449	9.8	44.5
ecdc/worldwide	2934cd22e9cb	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-10	71	14	10	2			-20	-16	-25	131			131	1.479			1.479				100	29			29	28.431			28.431	3.886			3.947	83871	8859449	9.8	44.5
ecdc/worldwide	747339dd9d45	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-11	72	15	11	3			-19	-15	-24	182			182	2.054			2.054				100	51			51	38.931			38.931	6.835			6.941	83871	8859449	9.8	44.5
ecdc/worldwide	df97cae48ee2	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-12	73	16	12	4			-18	-14	-23	246			246	2.777			2.777				100	64			64	35.165			35.165	8.577			8.71	83871	8859449	9.8	44.5
ecdc/worldwide	1fe8533b1d5d	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-13	74	17	13	5			-17	-13	-22	361	1		360	4.075	0.011		4.063		0.277		99.723	115	1		114	46.748			46.341	15.411	4.95		15.514	83871	8859449	9.8	44.5
