dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	18deafbfa9a2	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-06	67	1					-29	-28	-30	2			2	0.052			0.052				100	2			2					0.052			0.052	3.257			3.378	51197	3835586	10.2	43.3
ecdc/worldwide	443911b08998	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-12	73	7					-23	-22	-24	3			3	0.078			0.078				100	1			1	50			50	0.026			0.026	1.629			1.689	51197	3835586	10.2	43.3
ecdc/worldwide	ef87048e05d7	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-16	77	11	1				-19	-18	-20	18			18	0.469			0.469				100	15			15	500			500	0.391			0.391	24.43			25.338	51197	3835586	10.2	43.3
ecdc/worldwide	6be1a1c91267	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-17	78	12	2				-18	-17	-19	21			21	0.548			0.548				100	3			3	16.667			16.667	0.078			0.078	4.886			5.068	51197	3835586	10.2	43.3
ecdc/worldwide	b56aba03f6b7	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-19	80	14	4				-16	-15	-17	36			36	0.939			0.939				100	15			15	71.429			71.429	0.391			0.391	24.43			25.338	51197	3835586	10.2	43.3
ecdc/worldwide	48eb07041a29	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-20	81	15	5				-15	-14	-16	44			44	1.147			1.147				100	8			8	22.222			22.222	0.209			0.209	13.029			13.514	51197	3835586	10.2	43.3
ecdc/worldwide	b128f184a524	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-22	83	17	7				-13	-12	-14	92	1		91	2.399	0.026		2.373		1.087		98.913	48	1		47	109.091			106.818	1.251	0.026		1.225	78.176	27.778		79.392	51197	3835586	10.2	43.3
ecdc/worldwide	ec9e4ece7db1	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-23	84	18	8	1			-12	-11	-13	125	1		124	3.259	0.026		3.233		0.8		99.2	33			33	35.87			36.264	0.86			0.86	53.746			55.743	51197	3835586	10.2	43.3
ecdc/worldwide	4de6202f5ebd	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-24	85	19	9	2			-11	-10	-12	129	1		128	3.363	0.026		3.337		0.775		99.225	4			4	3.2			3.226	0.104			0.104	6.515			6.757	51197	3835586	10.2	43.3
ecdc/worldwide	27ffaf2cf589	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-25	86	20	10	3			-10	-9	-11	162	2		160	4.224	0.052		4.171		1.235		98.765	33	1		32	25.581	100		25	0.86	0.026		0.834	53.746	27.778		54.054	51197	3835586	10.2	43.3
ecdc/worldwide	c7f8ee7858ef	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-26	87	21	11	4			-9	-8	-10	181	3		178	4.719	0.078		4.641		1.657		98.343	19	1		18	11.728	50		11.25	0.495	0.026		0.469	30.945	27.778		30.405	51197	3835586	10.2	43.3
ecdc/worldwide	cad257a423f8	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-28	89	23	13	6			-7	-6	-8	229	3		226	5.97	0.078		5.892		1.31		98.69	48			48	26.519			26.966	1.251			1.251	78.176			81.081	51197	3835586	10.2	43.3
ecdc/worldwide	9570e81491ed	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-29	90	24	14	7			-6	-5	-7	257	5		252	6.7	0.13		6.57		1.946		98.054	28	2		26	12.227	66.667		11.504	0.73	0.052		0.678	45.603	55.556		43.919	51197	3835586	10.2	43.3
ecdc/worldwide	c457c60fc465	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-30	91	25	15	8			-5	-4	-6	323	6		317	8.421	0.156		8.265		1.858		98.142	66	1		65	25.681	20		25.794	1.721	0.026		1.695	107.492	27.778		109.797	51197	3835586	10.2	43.3
ecdc/worldwide	a3f584aef1be	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-31	92	26	16	9			-4	-3	-5	353	8		345	9.203	0.209		8.995		2.266		97.734	30	2		28	9.288	33.333		8.833	0.782	0.052		0.73	48.86	55.556		47.297	51197	3835586	10.2	43.3
ecdc/worldwide	4f446a0bdd81	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-01	93	27	17	10			-3	-2	-4	413	12		401	10.768	0.313		10.455		2.906		97.094	60	4		56	16.997	50		16.232	1.564	0.104		1.46	97.72	111.111		94.595	51197	3835586	10.2	43.3
ecdc/worldwide	0a64a147ceb1	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-02	94	28	18	11			-2	-1	-3	464	13		451	12.097	0.339		11.758		2.802		97.198	51	1		50	12.349	8.333		12.469	1.33	0.026		1.304	83.062	27.778		84.459	51197	3835586	10.2	43.3
ecdc/worldwide	d75a08378ae7	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-03	95	29	19	12			-1	0	-2	532	17		515	13.87	0.443		13.427		3.195		96.805	68	4		64	14.655	30.769		14.191	1.773	0.104		1.669	110.749	111.111		108.108	51197	3835586	10.2	43.3
ecdc/worldwide	20771ffc79ba	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-04	96	30	20	13			0	1	-1	586	18		568	15.278	0.469		14.809		3.072		96.928	54	1		53	10.15	5.882		10.291	1.408	0.026		1.382	87.948	27.778		89.527	51197	3835586	10.2	43.3
ecdc/worldwide	1171c4e183d2	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-05	97	31	21	14			1	2	0	632	21		611	16.477	0.548		15.93		3.323		96.677	46	3		43	7.85	16.667		7.57	1.199	0.078		1.121	74.919	83.333		72.635	51197	3835586	10.2	43.3
ecdc/worldwide	9aa132448831	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-06	98	32	22	15			2	3	1	663	24		639	17.285	0.626		16.66		3.62		96.38	31	3		28	4.905	14.286		4.583	0.808	0.078		0.73	50.489	83.333		47.297	51197	3835586	10.2	43.3
ecdc/worldwide	cfc0a60a6f90	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-07	99	33	23	16			3	4	2	695	28		667	18.12	0.73		17.39		4.029		95.971	32	4		28	4.827	16.667		4.382	0.834	0.104		0.73	52.117	111.111		47.297	51197	3835586	10.2	43.3
ecdc/worldwide	f2b3b648fe03	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-08	100	34	24	17			4	5	3	781	32		749	20.362	0.834		19.528		4.097		95.903	86	4		82	12.374	14.286		12.294	2.242	0.104		2.138	140.065	111.111		138.514	51197	3835586	10.2	43.3
ecdc/worldwide	7ab0b73aaa0d	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-09	101	35	25	18			5	6	4	816	35		781	21.274	0.913		20.362		4.289		95.711	35	3		32	4.481	9.375		4.272	0.913	0.078		0.834	57.003	83.333		54.054	51197	3835586	10.2	43.3
ecdc/worldwide	5ea7c4f3e6e7	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-04-10	102	36	26	19			6	7	5	875	36		839	22.813	0.939		21.874		4.114		95.886	59	1		58	7.23	2.857		7.426	1.538	0.026		1.512	96.091	27.778		97.973	51197	3835586	10.2	43.3
