dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	5548dada2830	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-08	69	1					-24	-22	-26	2			2	0.02870717660755524			0.02870717660755524				100	2			2					6.024096385542168			6.211180124223602	110879	6966899	14.6	43.7
ecdc/worldwide	203f7237ab0b	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-09	70	2					-23	-21	-25	4			4	0.05741435321511048			0.05741435321511048				100	2			2	100			100	6.024096385542168			6.211180124223602	110879	6966899	14.6	43.7
ecdc/worldwide	15e58da8d1c6	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-12	73	5					-20	-18	-22	7	1		6	0.10047511812644333	0.01435358830377762		0.08612152982266572		14.285714285714285		85.71428571428571	3	1		2	75			50	9.036144578313252	35.714285714285715		6.211180124223602	110879	6966899	14.6	43.7
ecdc/worldwide	a10c1aff5ece	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-13	74	6	1				-19	-17	-21	23	1		22	0.3301325309868853	0.01435358830377762		0.31577894268310763		4.3478260869565215		95.65217391304348	16			16	228.57142857142858			266.6666666666667	48.192771084337345			49.689440993788814	110879	6966899	14.6	43.7
ecdc/worldwide	bbdde6f90550	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-14	75	7	2				-18	-16	-20	31	1		30	0.44496123741710625	0.01435358830377762		0.4306076491133286		3.225806451612903		96.7741935483871	8			8	34.78260869565217			36.36363636363637	24.096385542168672			24.844720496894407	110879	6966899	14.6	43.7
ecdc/worldwide	ab0b621c28a4	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-15	76	8	3				-17	-15	-19	41	2		39	0.5884971204548824	0.02870717660755524		0.5597899438473272		4.878048780487805		95.1219512195122	10	1		9	32.25806451612903	100		30	30.12048192771084	35.714285714285715		27.95031055900621	110879	6966899	14.6	43.7
ecdc/worldwide	2bfad33d16a0	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-16	77	9	4				-16	-14	-18	51	2		49	0.7320330034926585	0.02870717660755524		0.7033258268851034		3.9215686274509802		96.07843137254902	10			10	24.390243902439025			25.641025641025642	30.12048192771084			31.05590062111801	110879	6966899	14.6	43.7
ecdc/worldwide	c45032c36784	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-17	78	10	5				-15	-13	-17	62	2		60	0.8899224748342125	0.02870717660755524		0.8612152982266572		3.225806451612903		96.7741935483871	11			11	21.568627450980394			22.448979591836736	33.132530120481924			34.161490683229815	110879	6966899	14.6	43.7
ecdc/worldwide	58257784aa8e	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-18	79	11	6				-14	-12	-16	81	2		79	1.1626406526059871	0.02870717660755524		1.133933475998432		2.4691358024691357		97.53086419753086	19			19	30.64516129032258			31.666666666666668	57.22891566265059			59.00621118012421	110879	6966899	14.6	43.7
ecdc/worldwide	f43f489b53f4	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-19	80	12	7				-13	-11	-15	92	2		90	1.320530123947541	0.02870717660755524		1.2918229473399858		2.1739130434782608		97.82608695652173	11			11	13.580246913580247			13.924050632911392	33.132530120481924			34.161490683229815	110879	6966899	14.6	43.7
ecdc/worldwide	620ecac64f79	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-20	81	13	8	1			-12	-10	-14	105	3		102	1.5071267718966501	0.04306076491133286		1.464066006985317		2.857142857142857		97.14285714285714	13	1		12	14.130434782608695	50		13.333333333333334	39.1566265060241	35.714285714285715		37.267080745341616	110879	6966899	14.6	43.7
ecdc/worldwide	3315def7dd93	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-21	82	14	9	2			-11	-9	-13	127	3		124	1.8229057145797578	0.04306076491133286		1.779844949668425		2.3622047244094486		97.63779527559055	22			22	20.952380952380953			21.568627450980394	66.26506024096385			68.32298136645963	110879	6966899	14.6	43.7
