dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	6aa820c0adb7	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-02-26	58	1					-41	-41	-42	1			1	0			0				100	1			1					0			0	0.065			0.069	8515770	211715973	6.9	33.2
ecdc/worldwide	1f1a857c6561	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-01	62	5					-37	-37	-38	2			2	0.001			0.001				100	1			1	100			100	0			0	0.065			0.069	8515770	211715973	6.9	33.2
ecdc/worldwide	5d73b4846fed	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-05	66	9					-33	-33	-34	3			3	0.001			0.001				100	1			1	50			50	0			0	0.065			0.069	8515770	211715973	6.9	33.2
ecdc/worldwide	217362c06c69	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-06	67	10					-32	-32	-33	8			8	0.004			0.004				100	5			5	166.667			166.667	0.002			0.002	0.323			0.345	8515770	211715973	6.9	33.2
ecdc/worldwide	794ab3d7d0fa	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-07	68	11	1				-31	-31	-32	13			13	0.006			0.006				100	5			5	62.5			62.5	0.002			0.002	0.323			0.345	8515770	211715973	6.9	33.2
ecdc/worldwide	57d3d1ec58f6	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-09	70	13	3				-29	-29	-30	25			25	0.012			0.012				100	12			12	92.308			92.308	0.006			0.006	0.775			0.828	8515770	211715973	6.9	33.2
ecdc/worldwide	55d6b0b92d97	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-11	72	15	5				-27	-27	-28	34			34	0.016			0.016				100	9			9	36			36	0.004			0.004	0.581			0.621	8515770	211715973	6.9	33.2
ecdc/worldwide	dab946a74dc3	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-12	73	16	6				-26	-26	-27	52			52	0.025			0.025				100	18			18	52.941			52.941	0.009			0.009	1.163			1.242	8515770	211715973	6.9	33.2
ecdc/worldwide	94190151a560	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-13	74	17	7				-25	-25	-26	77			77	0.036			0.036				100	25			25	48.077			48.077	0.012			0.012	1.615			1.725	8515770	211715973	6.9	33.2
ecdc/worldwide	5a72ccf80c39	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-14	75	18	8				-24	-24	-25	98			98	0.046			0.046				100	21			21	27.273			27.273	0.01			0.01	1.357			1.449	8515770	211715973	6.9	33.2
ecdc/worldwide	0efef259eae7	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-15	76	19	9	1			-23	-23	-24	121			121	0.057			0.057				100	23			23	23.469			23.469	0.011			0.011	1.486			1.587	8515770	211715973	6.9	33.2
ecdc/worldwide	86236a4c2f35	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-16	77	20	10	2			-22	-22	-23	200			200	0.094			0.094				100	79			79	65.289			65.289	0.037			0.037	5.103			5.451	8515770	211715973	6.9	33.2
ecdc/worldwide	557ebb973072	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-17	78	21	11	3			-21	-21	-22	234			234	0.111			0.111				100	34			34	17			17	0.016			0.016	2.196			2.346	8515770	211715973	6.9	33.2
ecdc/worldwide	e618fc9c4d1d	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-18	79	22	12	4			-20	-20	-21	291	1		290	0.137	0		0.137		0.344		99.656	57	1		56	24.359			23.932	0.027	0		0.026	3.682	0.996		3.864	8515770	211715973	6.9	33.2
ecdc/worldwide	79dbb3e356cd	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-19	80	23	13	5			-19	-19	-20	428	4		424	0.202	0.002		0.2		0.935		99.065	137	3		134	47.079	300		46.207	0.065	0.001		0.063	8.85	2.988		9.245	8515770	211715973	6.9	33.2
ecdc/worldwide	f1b0daa8a841	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-20	81	24	14	6			-18	-18	-19	621	6		615	0.293	0.003		0.29		0.966		99.034	193	2		191	45.093	50		45.047	0.091	0.001		0.09	12.468	1.992		13.178	8515770	211715973	6.9	33.2
ecdc/worldwide	471e440dd032	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-21	82	25	15	7			-17	-17	-18	904	11		893	0.427	0.005		0.422		1.217		98.783	283	5		278	45.572	83.333		45.203	0.134	0.002		0.131	18.282	4.98		19.18	8515770	211715973	6.9	33.2
ecdc/worldwide	581d217df3c2	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-22	83	26	16	8	1		-16	-16	-17	1128	18		1110	0.533	0.009		0.524		1.596		98.404	224	7		217	24.779	63.636		24.3	0.106	0.003		0.102	14.47	6.972		14.972	8515770	211715973	6.9	33.2
ecdc/worldwide	9a46238b4a97	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-23	84	27	17	9	2		-15	-15	-16	1546	25		1521	0.73	0.012		0.718		1.617		98.383	418	7		411	37.057	38.889		37.027	0.197	0.003		0.194	27.003	6.972		28.357	8515770	211715973	6.9	33.2
ecdc/worldwide	746fcdef5885	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-24	85	28	18	10	3		-14	-14	-15	1891	34		1857	0.893	0.016		0.877		1.798		98.202	345	9		336	22.316	36		22.091	0.163	0.004		0.159	22.287	8.964		23.182	8515770	211715973	6.9	33.2
ecdc/worldwide	3987f5af9057	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-25	86	29	19	11	4		-13	-13	-14	2201	46		2155	1.04	0.022		1.018		2.09		97.91	310	12		298	16.393	35.294		16.047	0.146	0.006		0.141	20.026	11.952		20.56	8515770	211715973	6.9	33.2
