dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	a20895e03586	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-02-28	60	1					-38	-38	-38	1			1	0.011			0.011				100	1			1					0.011			0.011	0.646			0.656	207600	9477918	13.1	40.9
ecdc/worldwide	d26b6f25e62a	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-04	65	6					-33	-33	-33	4			4	0.042			0.042				100	3			3	300			300	0.032			0.032	1.938			1.969	207600	9477918	13.1	40.9
ecdc/worldwide	68a77a8b3274	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-05	66	7					-32	-32	-32	6			6	0.063			0.063				100	2			2	50			50	0.021			0.021	1.292			1.312	207600	9477918	13.1	40.9
ecdc/worldwide	d096b638434e	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-11	72	13					-26	-26	-26	9			9	0.095			0.095				100	3			3	50			50	0.032			0.032	1.938			1.969	207600	9477918	13.1	40.9
ecdc/worldwide	ff0a90cfe4f5	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-12	73	14	1				-25	-25	-25	12			12	0.127			0.127				100	3			3	33.333			33.333	0.032			0.032	1.938			1.969	207600	9477918	13.1	40.9
ecdc/worldwide	26195c177b28	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-13	74	15	2				-24	-24	-24	21			21	0.222			0.222				100	9			9	75			75	0.095			0.095	5.814			5.906	207600	9477918	13.1	40.9
ecdc/worldwide	d6320f8f3b41	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-16	77	18	5				-21	-21	-21	27			27	0.285			0.285				100	6			6	28.571			28.571	0.063			0.063	3.876			3.937	207600	9477918	13.1	40.9
ecdc/worldwide	3e84d2f35dba	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-17	78	19	6				-20	-20	-20	36			36	0.38			0.38				100	9			9	33.333			33.333	0.095			0.095	5.814			5.906	207600	9477918	13.1	40.9
ecdc/worldwide	ef5ca7cf8dbf	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-19	80	21	8				-18	-18	-18	46			46	0.485			0.485				100	10			10	27.778			27.778	0.106			0.106	6.46			6.562	207600	9477918	13.1	40.9
ecdc/worldwide	71cf206fdedc	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-20	81	22	9				-17	-17	-17	57			57	0.601			0.601				100	11			11	23.913			23.913	0.116			0.116	7.106			7.218	207600	9477918	13.1	40.9
