dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f720da02e615	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-01-26	27	1					-71	-71	-72	1			1	0.003			0.003				100	1			1					0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	fbbb0e728045	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-01-28	29	3					-69	-69	-70	2			2	0.005			0.005				100	1			1	100			100	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	940583c65533	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-01-29	30	4					-68	-68	-69	3			3	0.008			0.008				100	1			1	50			50	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	eb6e836f7f22	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-01	33	7					-65	-65	-66	4			4	0.011			0.011				100	1			1	33.333			33.333	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	bab2035902ac	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-05	37	11					-61	-61	-62	5			5	0.013			0.013				100	1			1	25			25	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	c1b0765d2bec	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-07	39	13					-59	-59	-60	7			7	0.019			0.019				100	2			2	40			40	0.005			0.005	0.137			0.142	9984670	37694085	7.9	41.8
ecdc/worldwide	e998ea496990	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-15	47	21					-51	-51	-52	8			8	0.021			0.021				100	1			1	14.286			14.286	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	9d1f156ce82f	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-21	53	27					-45	-45	-46	9			9	0.024			0.024				100	1			1	12.5			12.5	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
ecdc/worldwide	bf6e22f78ceb	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-25	57	31	1				-41	-41	-42	11			11	0.029			0.029				100	2			2	22.222			22.222	0.005			0.005	0.137			0.142	9984670	37694085	7.9	41.8
ecdc/worldwide	c1bbd4d76a41	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-27	59	33	3				-39	-39	-40	12			12	0.032			0.032				100	1			1	9.091			9.091	0.003			0.003	0.069			0.071	9984670	37694085	7.9	41.8
