dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	01c15dc34988	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-11	72	1					-20	-21	-19	1			1	0.0009825087600726673			0.0009825087600726673				100	1			1					5.10204081632653			5.555555555555555	2344858	101780263	8.4	16.7
ecdc/worldwide	4018150203a8	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-14	75	4					-17	-18	-16	2			2	0.0019650175201453347			0.0019650175201453347				100	1			1	100			100	5.10204081632653			5.555555555555555	2344858	101780263	8.4	16.7
ecdc/worldwide	31df8e899f87	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-17	78	7					-14	-15	-13	3			3	0.0029475262802180022			0.0029475262802180022				100	1			1	50			50	5.10204081632653			5.555555555555555	2344858	101780263	8.4	16.7
ecdc/worldwide	89b0cfe41cc9	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-19	80	9	1				-12	-13	-11	14			14	0.013755122641017345			0.013755122641017345				100	11			11	366.6666666666667			366.6666666666667	56.12244897959183			61.111111111111114	2344858	101780263	8.4	16.7
ecdc/worldwide	319f5826522a	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-22	83	12	4				-9	-10	-8	23	1		22	0.02259770148167135	0.0009825087600726673		0.021615192721598682		4.3478260869565215		95.65217391304348	9	1		8	64.28571428571429			57.142857142857146	45.91836734693877	50		44.44444444444444	2344858	101780263	8.4	16.7
ecdc/worldwide	4b2d7b46865b	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-23	84	13	5				-8	-9	-7	26	2		24	0.025545227761889357	0.0019650175201453347		0.023580210241744018		7.6923076923076925		92.3076923076923	3	1		2	13.043478260869565	100		9.090909090909092	15.30612244897959	50		11.11111111111111	2344858	101780263	8.4	16.7
ecdc/worldwide	356f9f4fe64b	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-25	86	15	7				-6	-7	-5	45	3		42	0.044212894203270035	0.0029475262802180022		0.041265367923052035		6.666666666666667		93.33333333333333	19	1		18	73.07692307692308	50		75	96.93877551020408	50		100	2344858	101780263	8.4	16.7
ecdc/worldwide	c3b093cf1744	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-27	88	17	9				-4	-5	-3	54	4		50	0.05305547304392405	0.003930035040290669		0.04912543800363338		7.4074074074074066		92.5925925925926	9	1		8	20	33.333333333333336		19.047619047619047	45.91836734693877	50		44.44444444444444	2344858	101780263	8.4	16.7
ecdc/worldwide	cac3abe73a39	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-28	89	18	10				-3	-4	-2	58	4		54	0.056985508084214716	0.003930035040290669		0.05305547304392405		6.896551724137931		93.10344827586206	4			4	7.407407407407407			8	20.40816326530612			22.22222222222222	2344858	101780263	8.4	16.7
ecdc/worldwide	1f20bb23998e	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-29	90	19	11				-2	-3	-1	58	6		52	0.056985508084214716	0.0058950525604360045		0.051090455523778715		10.344827586206897		89.65517241379311		2		-2		50		-3.7037037037037037		100		-11.11111111111111	2344858	101780263	8.4	16.7
ecdc/worldwide	b1b20fd650eb	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-30	91	20	12				-1	-2	0	81	8		73	0.07958320956588606	0.007860070080581339		0.07172313948530472		9.876543209876543		90.12345679012346	23	2		21	39.6551724137931	33.333333333333336		40.38461538461539	117.3469387755102	100		116.66666666666667	2344858	101780263	8.4	16.7
ecdc/worldwide	094801fba88a	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-03-31	92	21	13				0	-1	1	98	8		90	0.09628585848712141	0.007860070080581339		0.08842578840654007		8.16326530612245		91.83673469387756	17			17	20.987654320987655			23.28767123287671	86.73469387755102			94.44444444444444	2344858	101780263	8.4	16.7
ecdc/worldwide	5a65a12d1456	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-04-02	94	23	15	1			2	1	3	123	11		112	0.1208485774889381	0.010807596360799341		0.11004098112813876		8.94308943089431		91.05691056910568	25	3		22	25.510204081632654	37.5		24.444444444444443	127.55102040816327	150		122.22222222222223	2344858	101780263	8.4	16.7
ecdc/worldwide	417961961b09	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-04-04	96	25	17	3			4	3	5	134	13		121	0.13165617384973743	0.012772613880944679		0.11888355996879277		9.701492537313433		90.29850746268657	11	2		9	8.94308943089431	18.181818181818183		8.035714285714286	56.12244897959183	100		50	2344858	101780263	8.4	16.7
ecdc/worldwide	4cf9fe84564c	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-04-05	97	26	18	4			5	4	6	154	18		136	0.15130634905119078	0.017685157681308013		0.13362119136988276		11.688311688311687		88.31168831168831	20	5		15	14.925373134328359	38.46153846153846		12.396694214876034	102.04081632653062	250		83.33333333333334	2344858	101780263	8.4	16.7
ecdc/worldwide	a3b5d4b900d3	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-04-07	99	28	20	6			7	6	8	161	18		143	0.15818391037169946	0.017685157681308013		0.14049875269039144		11.180124223602485		88.81987577639751	7			7	4.545454545454546			5.147058823529412	35.71428571428571			38.88888888888889	2344858	101780263	8.4	16.7
ecdc/worldwide	9d2a10b8b0f7	996a579267d6	total-country	DR Congo	CD	DR Congo			0	25	Africa	Middle Africa	2020-04-08	100	29	21	7			8	7	9	180	18		162	0.17685157681308014	0.017685157681308013		0.15916641913177212		10		90	19			19	11.801242236024844			13.286713286713287	96.93877551020408			105.55555555555556	2344858	101780263	8.4	16.7
