dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	0f6fa41998d3	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-02-26	58	1					-35	-32	-38	1			1	0.012			0.012				100	1			1					0.012			0.012	0.088			0.09	41277	8403994	8.5	42.7
ecdc/worldwide	7cf0aa5943fd	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-02-28	60	3					-33	-30	-36	8			8	0.095			0.095				100	7			7	700			700	0.083			0.083	0.617			0.633	41277	8403994	8.5	42.7
ecdc/worldwide	1c796aa44522	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-02-29	61	4	1				-32	-29	-35	12			12	0.143			0.143				100	4			4	50			50	0.048			0.048	0.353			0.362	41277	8403994	8.5	42.7
ecdc/worldwide	4e2760b274b1	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-01	62	5	2				-31	-28	-34	18			18	0.214			0.214				100	6			6	50			50	0.071			0.071	0.529			0.542	41277	8403994	8.5	42.7
ecdc/worldwide	752242dbaa64	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-02	63	6	3				-30	-27	-33	24			24	0.286			0.286				100	6			6	33.333			33.333	0.071			0.071	0.529			0.542	41277	8403994	8.5	42.7
ecdc/worldwide	10d3edfa6457	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-03	64	7	4				-29	-26	-32	30			30	0.357			0.357				100	6			6	25			25	0.071			0.071	0.529			0.542	41277	8403994	8.5	42.7
ecdc/worldwide	6f738177d7a2	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-04	65	8	5				-28	-25	-31	37			37	0.44			0.44				100	7			7	23.333			23.333	0.083			0.083	0.617			0.633	41277	8403994	8.5	42.7
ecdc/worldwide	e64fe4864ece	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-05	66	9	6				-27	-24	-30	57			57	0.678			0.678				100	20			20	54.054			54.054	0.238			0.238	1.764			1.808	41277	8403994	8.5	42.7
ecdc/worldwide	a8498a7891bf	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-06	67	10	7				-26	-23	-29	87	1		86	1.035	0.012		1.023		1.149		98.851	30	1		29	52.632			50.877	0.357	0.012		0.345	2.646	1.73		2.621	41277	8403994	8.5	42.7
ecdc/worldwide	2ed6d7ed753a	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-07	68	11	8	1			-25	-22	-28	209	1		208	2.487	0.012		2.475		0.478		99.522	122			122	140.23			141.86	1.452			1.452	10.76			11.027	41277	8403994	8.5	42.7
ecdc/worldwide	34513c319485	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-08	69	12	9	2			-24	-21	-27	264	1		263	3.141	0.012		3.129		0.379		99.621	55			55	26.316			26.442	0.654			0.654	4.851			4.971	41277	8403994	8.5	42.7
ecdc/worldwide	4406cf00edb7	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-09	70	13	10	3			-23	-20	-26	332	2		330	3.951	0.024		3.927		0.602		99.398	68	1		67	25.758	100		25.475	0.809	0.012		0.797	5.998	1.73		6.056	41277	8403994	8.5	42.7
ecdc/worldwide	f2395f87dd8b	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-10	71	14	11	4			-22	-19	-25	374	2		372	4.45	0.024		4.426		0.535		99.465	42			42	12.651			12.727	0.5			0.5	3.704			3.796	41277	8403994	8.5	42.7
ecdc/worldwide	ccf4821cda89	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-11	72	15	12	5			-21	-18	-24	490	3		487	5.831	0.036		5.795		0.612		99.388	116	1		115	31.016	50		30.914	1.38	0.012		1.368	10.231	1.73		10.394	41277	8403994	8.5	42.7
ecdc/worldwide	45f8eab2f033	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-12	73	16	13	6			-20	-17	-23	642	4		638	7.639	0.048		7.592		0.623		99.377	152	1		151	31.02	33.333		31.006	1.809	0.012		1.797	13.406	1.73		13.648	41277	8403994	8.5	42.7
ecdc/worldwide	1db67e9345ba	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-13	74	17	14	7			-19	-16	-22	854	4		850	10.162	0.048		10.114		0.468		99.532	212			212	33.022			33.229	2.523			2.523	18.698			19.161	41277	8403994	8.5	42.7
ecdc/worldwide	15893499b22b	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-14	75	18	15	8	1		-18	-15	-21	1121	7		1114	13.339	0.083		13.256		0.624		99.376	267	3		264	31.265	75		31.059	3.177	0.036		3.141	23.549	5.19		23.861	41277	8403994	8.5	42.7
ecdc/worldwide	b1f82f3fb580	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-15	76	19	16	9	2		-17	-14	-20	1359	11		1348	16.171	0.131		16.04		0.809		99.191	238	4		234	21.231	57.143		21.005	2.832	0.048		2.784	20.991	6.92		21.15	41277	8403994	8.5	42.7
ecdc/worldwide	0730c9788ab0	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-16	77	20	17	10	3		-16	-13	-19	2200	13		2187	26.178	0.155		26.023		0.591		99.409	841	2		839	61.884	18.182		62.24	10.007	0.024		9.983	74.175	3.46		75.832	41277	8403994	8.5	42.7
ecdc/worldwide	22fbc3dae549	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-17	78	21	18	11	4		-15	-12	-18	2200	14		2186	26.178	0.167		26.011		0.636		99.364		1		-1		7.692		-0.046		0.012		-0.012		1.73		-0.09	41277	8403994	8.5	42.7
ecdc/worldwide	6b5bb443168d	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-18	79	22	19	12	5		-14	-11	-17	2650	19		2631	31.533	0.226		31.307		0.717		99.283	450	5		445	20.455	35.714		20.357	5.355	0.059		5.295	39.69	8.651		40.221	41277	8403994	8.5	42.7
ecdc/worldwide	17314b6bcf2e	cac65b224644	total-country	Switzerland	CH	Switzerland			47	8	Europe	Western Europe	2020-03-19	80	23	20	13	6		-13	-10	-16	3010	21		2989	35.816	0.25		35.566		0.698		99.302	360	2		358	13.585	10.526		13.607	4.284	0.024		4.26	31.752	3.46		32.357	41277	8403994	8.5	42.7
