dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	1bdb95aae84f	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-04	65	1					-32	-32	-32	1			1	0.005			0.005				100	1			1					0.005			0.005	0.28			0.283	756102	18186770	6.5	35.5
ecdc/worldwide	f9845953609c	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-05	66	2					-31	-31	-31	3			3	0.016			0.016				100	2			2	200			200	0.011			0.011	0.561			0.565	756102	18186770	6.5	35.5
ecdc/worldwide	0b1f73b43398	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-06	67	3					-30	-30	-30	4			4	0.022			0.022				100	1			1	33.333			33.333	0.005			0.005	0.28			0.283	756102	18186770	6.5	35.5
ecdc/worldwide	a48693eafd95	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-07	68	4					-29	-29	-29	5			5	0.027			0.027				100	1			1	25			25	0.005			0.005	0.28			0.283	756102	18186770	6.5	35.5
ecdc/worldwide	3b2f9998a019	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-09	70	6	1				-27	-27	-27	10			10	0.055			0.055				100	5			5	100			100	0.027			0.027	1.401			1.413	756102	18186770	6.5	35.5
ecdc/worldwide	14a15ca63ad8	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-10	71	7	2				-26	-26	-26	13			13	0.071			0.071				100	3			3	30			30	0.016			0.016	0.841			0.848	756102	18186770	6.5	35.5
ecdc/worldwide	5a993ea8b2d2	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-11	72	8	3				-25	-25	-25	17			17	0.093			0.093				100	4			4	30.769			30.769	0.022			0.022	1.121			1.131	756102	18186770	6.5	35.5
ecdc/worldwide	83f22098e3f4	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-12	73	9	4				-24	-24	-24	23			23	0.126			0.126				100	6			6	35.294			35.294	0.033			0.033	1.682			1.696	756102	18186770	6.5	35.5
ecdc/worldwide	9bc2e411c703	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-13	74	10	5				-23	-23	-23	33			33	0.181			0.181				100	10			10	43.478			43.478	0.055			0.055	2.803			2.826	756102	18186770	6.5	35.5
ecdc/worldwide	04b8fd4e9393	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-14	75	11	6				-22	-22	-22	43			43	0.236			0.236				100	10			10	30.303			30.303	0.055			0.055	2.803			2.826	756102	18186770	6.5	35.5
