dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	11a0abbb26a1	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-07	68	1					-28	-28	-29	1			1	0.0020372888648045127			0.0020372888648045127				100	1			1					0.7012622720897617			0.7215007215007215	1138910	49084841	5.6	31.2
ecdc/worldwide	464b4d95bc83	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-10	71	4					-25	-25	-26	3			3	0.006111866594413537			0.006111866594413537				100	2			2	200			200	1.4025245441795233			1.443001443001443	1138910	49084841	5.6	31.2
ecdc/worldwide	7ee5f2945837	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-12	73	6					-23	-23	-24	9			9	0.018335599783240616			0.018335599783240616				100	6			6	200			200	4.207573632538569			4.32900432900433	1138910	49084841	5.6	31.2
ecdc/worldwide	d352ad1670e5	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-14	75	8	1				-21	-21	-22	16			16	0.0325966218368722			0.0325966218368722				100	7			7	77.77777777777777			77.77777777777777	4.908835904628331			5.05050505050505	1138910	49084841	5.6	31.2
ecdc/worldwide	d0f3d40c48f4	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-15	76	9	2				-20	-20	-21	34			34	0.06926782140335344			0.06926782140335344				100	18			18	112.5			112.5	12.622720897615707			12.987012987012989	1138910	49084841	5.6	31.2
ecdc/worldwide	232614549658	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-16	77	10	3				-19	-19	-20	45			45	0.09167799891620307			0.09167799891620307				100	11			11	32.35294117647059			32.35294117647059	7.713884992987377			7.936507936507938	1138910	49084841	5.6	31.2
ecdc/worldwide	53197502c453	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-17	78	11	4				-18	-18	-19	57			57	0.11612546529385721			0.11612546529385721				100	12			12	26.666666666666668			26.666666666666668	8.415147265077138			8.65800865800866	1138910	49084841	5.6	31.2
ecdc/worldwide	992baf08eca5	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-18	79	12	5				-17	-17	-18	65			65	0.13242377621229331			0.13242377621229331				100	8			8	14.035087719298245			14.035087719298245	5.610098176718093			5.772005772005772	1138910	49084841	5.6	31.2
ecdc/worldwide	f686bbbb0a1a	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-19	80	13	6	1			-16	-16	-17	102			102	0.2078034642100603			0.2078034642100603				100	37			37	56.92307692307692			56.92307692307692	25.94670406732118			26.695526695526695	1138910	49084841	5.6	31.2
ecdc/worldwide	282dc9504138	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-20	81	14	7	2			-15	-15	-16	128			128	0.2607729746949776			0.2607729746949776				100	26			26	25.49019607843137			25.49019607843137	18.2328190743338			18.75901875901876	1138910	49084841	5.6	31.2
ecdc/worldwide	0a96f960ad3b	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-21	82	15	8	3			-14	-14	-15	158			158	0.321891640639113			0.321891640639113				100	30			30	23.4375			23.4375	21.03786816269285			21.645021645021643	1138910	49084841	5.6	31.2
ecdc/worldwide	c0ae11f8655e	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-22	83	16	9	4			-13	-13	-14	210	1		209	0.4278306616089476	0.0020372888648045127		0.4257933727441431		0.4761904761904762		99.52380952380952	52	1		51	32.91139240506329			32.278481012658226	36.4656381486676	19.23076923076923		36.7965367965368	1138910	49084841	5.6	31.2
ecdc/worldwide	9ed0e6886417	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-23	84	17	10	5			-12	-12	-13	235	2		233	0.47876288322906047	0.004074577729609025		0.47468830549945146		0.851063829787234		99.14893617021276	25	1		24	11.904761904761905	100		11.483253588516746	17.53155680224404	19.23076923076923		17.31601731601732	1138910	49084841	5.6	31.2
ecdc/worldwide	d8f3e2c2b0b6	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-24	85	18	11	6			-11	-11	-12	306	3		303	0.6234103926301809	0.006111866594413537		0.6172985260357674		0.9803921568627451		99.01960784313727	71	1		70	30.21276595744681	50		30.042918454935624	49.78962131837307	19.23076923076923		50.505050505050505	1138910	49084841	5.6	31.2
ecdc/worldwide	166fc1142302	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-25	86	19	12	7			-10	-10	-11	378	3		375	0.7700951908961058	0.006111866594413537		0.7639833243016922		0.7936507936507936		99.20634920634922	72			72	23.529411764705884			23.762376237623762	50.49088359046283			51.948051948051955	1138910	49084841	5.6	31.2
ecdc/worldwide	8c478ccff20e	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-26	87	20	13	8			-9	-9	-10	470	4		466	0.9575257664581209	0.00814915545921805		0.9493766109989029		0.851063829787234		99.14893617021276	92	1		91	24.33862433862434	33.333333333333336		24.266666666666666	64.51612903225806	19.23076923076923		65.65656565656566	1138910	49084841	5.6	31.2
ecdc/worldwide	3c95a16a611b	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-27	88	21	14	9			-8	-8	-9	491	6		485	1.0003088326190157	0.012223733188827074		0.9880850994301885		1.2219959266802443		98.77800407331976	21	2		19	4.468085106382978	50		4.07725321888412	14.726507713884992	38.46153846153846		13.708513708513708	1138910	49084841	5.6	31.2
ecdc/worldwide	56c7152f686c	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-28	89	22	15	10			-7	-7	-8	539	6		533	1.0980986981296323	0.012223733188827074		1.0858749649408053		1.1131725417439702		98.88682745825604	48			48	9.775967413441956			9.896907216494846	33.66058906030855			34.63203463203464	1138910	49084841	5.6	31.2
ecdc/worldwide	cce3fbcb7bc3	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-29	90	23	16	11			-6	-6	-7	608	6		602	1.2386716298011438	0.012223733188827074		1.2264478966123167		0.9868421052631579		99.01315789473685	69			69	12.801484230055658			12.945590994371482	48.38709677419355			49.78354978354979	1138910	49084841	5.6	31.2
ecdc/worldwide	4fa4763afe2b	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-30	91	24	17	12			-5	-5	-6	702	10		692	1.4301767830927679	0.020372888648045127		1.4098038944447226		1.4245014245014245		98.57549857549857	94	4		90	15.460526315789474	66.66666666666667		14.950166112956811	65.91865357643759	76.92307692307692		64.93506493506493	1138910	49084841	5.6	31.2
ecdc/worldwide	3466b5210936	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-31	92	25	18	13			-4	-4	-5	798	14		784	1.6257565141140011	0.028522044107263174		1.5972344700067378		1.7543859649122806		98.24561403508771	96	4		92	13.675213675213675	40		13.294797687861271	67.3211781206171	76.92307692307692		66.37806637806638	1138910	49084841	5.6	31.2
ecdc/worldwide	f485d385f7a3	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-01	93	26	19	14			-3	-3	-4	906	16		890	1.8457837115128883	0.0325966218368722		1.8131870896760165		1.7660044150110374		98.23399558498896	108	2		106	13.533834586466165	14.285714285714286		13.520408163265307	75.73632538569424	38.46153846153846		76.47907647907648	1138910	49084841	5.6	31.2
