dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	19c12740fe68	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-12	73	1					-22	-22	-23	3			3	0.027			0.027				100	3			3					0.027			0.027	8.152			8.427	110860	11059062	9.1	42.1
ecdc/worldwide	854ec63ef85f	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-14	75	3					-20	-20	-21	4			4	0.036			0.036				100	1			1	33.333			33.333	0.009			0.009	2.717			2.809	110860	11059062	9.1	42.1
ecdc/worldwide	845ed18681a2	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-18	79	7					-16	-16	-17	7			7	0.063			0.063				100	3			3	75			75	0.027			0.027	8.152			8.427	110860	11059062	9.1	42.1
ecdc/worldwide	bb1b137d942c	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-19	80	8	1				-15	-15	-16	11	1		10	0.099	0.009		0.09		9.091		90.909	4	1		3	57.143			42.857	0.036	0.009		0.027	10.87	71.429		8.427	110860	11059062	9.1	42.1
ecdc/worldwide	bb4ba08053b5	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-20	81	9	2				-14	-14	-15	16	1		15	0.145	0.009		0.136		6.25		93.75	5			5	45.455			50	0.045			0.045	13.587			14.045	110860	11059062	9.1	42.1
ecdc/worldwide	2b798b575194	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-21	82	10	3				-13	-13	-14	21	1		20	0.19	0.009		0.181		4.762		95.238	5			5	31.25			33.333	0.045			0.045	13.587			14.045	110860	11059062	9.1	42.1
ecdc/worldwide	27d69aa1ecf7	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-22	83	11	4				-12	-12	-13	25	1		24	0.226	0.009		0.217		4		96	4			4	19.048			20	0.036			0.036	10.87			11.236	110860	11059062	9.1	42.1
ecdc/worldwide	b48d7a9b5fd7	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-23	84	12	5				-11	-11	-12	35	1		34	0.316	0.009		0.307		2.857		97.143	10			10	40			41.667	0.09			0.09	27.174			28.09	110860	11059062	9.1	42.1
ecdc/worldwide	56a00d0c1f96	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-24	85	13	6				-10	-10	-11	40	1		39	0.362	0.009		0.353		2.5		97.5	5			5	14.286			14.706	0.045			0.045	13.587			14.045	110860	11059062	9.1	42.1
ecdc/worldwide	26234cc7fd0b	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-25	86	14	7				-9	-9	-10	48	1		47	0.434	0.009		0.425		2.083		97.917	8			8	20			20.513	0.072			0.072	21.739			22.472	110860	11059062	9.1	42.1
ecdc/worldwide	d7b04f347c96	66b5338af67b	total-country	Cuba	CU	Cuba			21.5	-80	Americas	Caribbean	2020-03-26	87	15	8				-8	-8	-9	57	1		56	0.515	0.009		0.506		1.754		98.246	9			9	18.75			19.149	0.081			0.081	24.457			25.281	110860	11059062	9.1	42.1
