dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	9d6ae8f1ff01	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-13	74	1					-19	-19		1			1	0.661			0.661				100	1			1					62.5			62.5	444	151345	8.7	36.7
ecdc/worldwide	76044d54efad	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-20	81	8					-12	-12		3			3	1.982			1.982				100	2			2	200			200	125			125	444	151345	8.7	36.7
ecdc/worldwide	4a5b7eb1a5c2	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-24	85	12					-8	-8		6			6	3.964			3.964				100	3			3	100			100	187.5			187.5	444	151345	8.7	36.7
ecdc/worldwide	f4486e35e156	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-26	87	14					-6	-6		6	1		5	3.964	0.661		3.304		16.667		83.333		1		-1				-16.667				-62.5	444	151345	8.7	36.7
ecdc/worldwide	50d163dd03c0	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-27	88	15					-5	-5		7	1		6	4.625	0.661		3.964		14.286		85.714	1			1	16.667			20	62.5			62.5	444	151345	8.7	36.7
ecdc/worldwide	e3922324d8a7	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-28	89	16					-4	-4		8	1		7	5.286	0.661		4.625		12.5		87.5	1			1	14.286			16.667	62.5			62.5	444	151345	8.7	36.7
ecdc/worldwide	d76e902ae031	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-30	91	18					-2	-2		9	1		8	5.947	0.661		5.286		11.111		88.889	1			1	12.5			14.286	62.5			62.5	444	151345	8.7	36.7
ecdc/worldwide	9e18066b830c	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-01	93	20	1				0	0		11	1		10	7.268	0.661		6.607		9.091		90.909	2			2	22.222			25	125			125	444	151345	8.7	36.7
ecdc/worldwide	c7ff427f197e	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-07	99	26	7				6	6		13	1		12	8.59	0.661		7.929		7.692		92.308	2			2	18.182			20	125			125	444	151345	8.7	36.7
ecdc/worldwide	e994f5dc5e99	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-09	101	28	9				8	8		14	1		13	9.25	0.661		8.59		7.143		92.857	1			1	7.692			8.333	62.5			62.5	444	151345	8.7	36.7
