dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	fc62c284f535	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-10	71	1					-22	-24	-20	2			2	0.15789357341577484			0.15789357341577484				100	2			2					5.714285714285714			5.847953216374268	9251	1266676	7	37.9
ecdc/worldwide	84e75d0da58e	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-12	73	3					-20	-22	-18	6			6	0.4736807202473245			0.4736807202473245				100	4			4	200			200	11.428571428571429			11.695906432748536	9251	1266676	7	37.9
ecdc/worldwide	358506075369	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-14	75	5	1				-18	-20	-16	14			14	1.1052550139104238			1.1052550139104238				100	8			8	133.33333333333334			133.33333333333334	22.857142857142858			23.391812865497073	9251	1266676	7	37.9
ecdc/worldwide	ea52afe3addf	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-15	76	6	2				-17	-19	-15	21			21	1.6578825208656358			1.6578825208656358				100	7			7	50			50	20			20.46783625730994	9251	1266676	7	37.9
ecdc/worldwide	4250a6a3d4de	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-16	77	7	3				-16	-18	-14	30			30	2.3684036012366225			2.3684036012366225				100	9			9	42.857142857142854			42.857142857142854	25.71428571428571			26.31578947368421	9251	1266676	7	37.9
ecdc/worldwide	4df3aca8d1eb	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-17	78	8	4				-15	-17	-13	40			40	3.157871468315497			3.157871468315497				100	10			10	33.333333333333336			33.333333333333336	28.57142857142857			29.239766081871345	9251	1266676	7	37.9
ecdc/worldwide	8829c4afefb7	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-19	80	10	6				-13	-15	-11	58			58	4.57891362905747			4.57891362905747				100	18			18	45			45	51.42857142857142			52.63157894736842	9251	1266676	7	37.9
ecdc/worldwide	2e04aeac907b	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-21	82	12	8				-11	-13	-9	67			67	5.289434709428457			5.289434709428457				100	9			9	15.517241379310345			15.517241379310345	25.71428571428571			26.31578947368421	9251	1266676	7	37.9
ecdc/worldwide	f0e716a4067d	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-22	83	13	9				-10	-12	-8	84			84	6.631530083462543			6.631530083462543				100	17			17	25.37313432835821			25.37313432835821	48.57142857142857			49.707602339181285	9251	1266676	7	37.9
ecdc/worldwide	1c0a903152c2	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-23	84	14	10				-9	-11	-7	95			95	7.499944737249304			7.499944737249304				100	11			11	13.095238095238095			13.095238095238095	31.428571428571427			32.16374269005848	9251	1266676	7	37.9
ecdc/worldwide	c0a1cd5bcd1c	9bbeab3f47cf	total-country	Cyprus	CY	Cyprus			35	33	Europe	Eastern Europe	2020-03-24	85	15	11	1			-8	-10	-6	116			116	9.15782725811494			9.15782725811494				100	21			21	22.105263157894736			22.105263157894736	60			61.403508771929815	9251	1266676	7	37.9
