dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	efb6ae787b4b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-28	29	1					-65	-63	-68	1			1	0.001			0.001				100	1			1					0.001			0.001	0.017			0.017	357022	80159662	12.1	47.8
ecdc/worldwide	b23aca4a2570	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-29	30	2					-64	-62	-67	4			4	0.005			0.005				100	3			3	300			300	0.004			0.004	0.05			0.051	357022	80159662	12.1	47.8
ecdc/worldwide	a07e2873c8ea	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-31	32	4					-62	-60	-65	5			5	0.006			0.006				100	1			1	25			25	0.001			0.001	0.017			0.017	357022	80159662	12.1	47.8
ecdc/worldwide	3b7f089d774f	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-01	33	5					-61	-59	-64	7			7	0.009			0.009				100	2			2	40			40	0.002			0.002	0.033			0.034	357022	80159662	12.1	47.8
ecdc/worldwide	b49c2c423e65	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-02	34	6					-60	-58	-63	8			8	0.01			0.01				100	1			1	14.286			14.286	0.001			0.001	0.017			0.017	357022	80159662	12.1	47.8
ecdc/worldwide	5c4a93b12c6d	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-03	35	7					-59	-57	-62	9			9	0.011			0.011				100	1			1	12.5			12.5	0.001			0.001	0.017			0.017	357022	80159662	12.1	47.8
ecdc/worldwide	b352af65bec6	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-04	36	8	1				-58	-56	-61	11			11	0.014			0.014				100	2			2	22.222			22.222	0.002			0.002	0.033			0.034	357022	80159662	12.1	47.8
ecdc/worldwide	04f3a04c3b37	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-07	39	11	4				-55	-53	-58	12			12	0.015			0.015				100	1			1	9.091			9.091	0.001			0.001	0.017			0.017	357022	80159662	12.1	47.8
ecdc/worldwide	63979d9e01e0	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-08	40	12	5				-54	-52	-57	13			13	0.016			0.016				100	1			1	8.333			8.333	0.001			0.001	0.017			0.017	357022	80159662	12.1	47.8
ecdc/worldwide	4f8dad1bd0df	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-12	44	16	9				-50	-48	-53	15			15	0.019			0.019				100	2			2	15.385			15.385	0.002			0.002	0.033			0.034	357022	80159662	12.1	47.8
ecdc/worldwide	3726aabe2cc6	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-26	58	30	23				-36	-34	-39	17			17	0.021			0.021				100	2			2	13.333			13.333	0.002			0.002	0.033			0.034	357022	80159662	12.1	47.8
ecdc/worldwide	2f7c146e8602	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-27	59	31	24				-35	-33	-38	21			21	0.026			0.026				100	4			4	23.529			23.529	0.005			0.005	0.066			0.067	357022	80159662	12.1	47.8
ecdc/worldwide	e02b49a3a311	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-28	60	32	25				-34	-32	-37	47			47	0.059			0.059				100	26			26	123.81			123.81	0.032			0.032	0.429			0.438	357022	80159662	12.1	47.8
ecdc/worldwide	7a89fd5d24c4	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-29	61	33	26				-33	-31	-36	57			57	0.071			0.071				100	10			10	21.277			21.277	0.012			0.012	0.165			0.169	357022	80159662	12.1	47.8
ecdc/worldwide	89aa69d91fb7	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-01	62	34	27	1			-32	-30	-35	111			111	0.138			0.138				100	54			54	94.737			94.737	0.067			0.067	0.891			0.911	357022	80159662	12.1	47.8
ecdc/worldwide	6efd38da570e	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-02	63	35	28	2			-31	-29	-34	129			129	0.161			0.161				100	18			18	16.216			16.216	0.022			0.022	0.297			0.304	357022	80159662	12.1	47.8
ecdc/worldwide	203a507e9e7e	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-03	64	36	29	3			-30	-28	-33	157			157	0.196			0.196				100	28			28	21.705			21.705	0.035			0.035	0.462			0.472	357022	80159662	12.1	47.8
ecdc/worldwide	2fa95ae887f7	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-04	65	37	30	4			-29	-27	-32	196			196	0.245			0.245				100	39			39	24.841			24.841	0.049			0.049	0.644			0.658	357022	80159662	12.1	47.8
ecdc/worldwide	812b0bec5bc5	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-05	66	38	31	5			-28	-26	-31	262			262	0.327			0.327				100	66			66	33.673			33.673	0.082			0.082	1.09			1.113	357022	80159662	12.1	47.8
ecdc/worldwide	8d3da49ff27e	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-06	67	39	32	6			-27	-25	-30	400			400	0.499			0.499				100	138			138	52.672			52.672	0.172			0.172	2.278			2.327	357022	80159662	12.1	47.8
ecdc/worldwide	01708c8963d6	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-07	68	40	33	7			-26	-24	-29	684			684	0.853			0.853				100	284			284	71			71	0.354			0.354	4.688			4.79	357022	80159662	12.1	47.8
ecdc/worldwide	483607340687	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-08	69	41	34	8			-25	-23	-28	847			847	1.057			1.057				100	163			163	23.83			23.83	0.203			0.203	2.691			2.749	357022	80159662	12.1	47.8
ecdc/worldwide	d06e846d0986	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-09	70	42	35	9			-24	-22	-27	902			902	1.125			1.125				100	55			55	6.494			6.494	0.069			0.069	0.908			0.928	357022	80159662	12.1	47.8
ecdc/worldwide	aad331c3373b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-10	71	43	36	10	1		-23	-21	-26	1139	2		1137	1.421	0.002		1.418		0.176		99.824	237	2		235	26.275			26.053	0.296	0.002		0.293	3.912	1.115		3.963	357022	80159662	12.1	47.8
ecdc/worldwide	df0f5978b967	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-11	72	44	37	11	2		-22	-20	-25	1296	2		1294	1.617	0.002		1.614		0.154		99.846	157			157	13.784			13.808	0.196			0.196	2.592			2.648	357022	80159662	12.1	47.8
ecdc/worldwide	b0dc96168236	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-12	73	45	38	12	3		-21	-19	-24	1567	3		1564	1.955	0.004		1.951		0.191		99.809	271	1		270	20.91	50		20.866	0.338	0.001		0.337	4.474	0.557		4.553	357022	80159662	12.1	47.8
ecdc/worldwide	8f5e5746765f	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-13	74	46	39	13	4		-20	-18	-23	2369	5		2364	2.955	0.006		2.949		0.211		99.789	802	2		800	51.181	66.667		51.151	1.001	0.002		0.998	13.24	1.115		13.492	357022	80159662	12.1	47.8
ecdc/worldwide	cb3f39442234	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-14	75	47	40	14	5		-19	-17	-22	3062	5		3057	3.82	0.006		3.814		0.163		99.837	693			693	29.253			29.315	0.865			0.865	11.44			11.687	357022	80159662	12.1	47.8
ecdc/worldwide	a6c51b66d806	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-15	76	48	41	15	6		-18	-16	-21	3795	8		3787	4.734	0.01		4.724		0.211		99.789	733	3		730	23.939	60		23.88	0.914	0.004		0.911	12.101	1.672		12.311	357022	80159662	12.1	47.8
ecdc/worldwide	75520270555d	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-16	77	49	42	16	7		-17	-15	-20	4838	12		4826	6.035	0.015		6.02		0.248		99.752	1043	4		1039	27.484	50		27.436	1.301	0.005		1.296	17.218	2.23		17.522	357022	80159662	12.1	47.8
ecdc/worldwide	cc4b5244da8a	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-17	78	50	43	17	8		-16	-14	-19	6012	13		5999	7.5	0.016		7.484		0.216		99.784	1174	1		1173	24.266	8.333		24.306	1.465	0.001		1.463	19.381	0.557		19.782	357022	80159662	12.1	47.8
ecdc/worldwide	578a25aa3a6b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-18	79	51	44	18	9		-15	-13	-18	7156	13		7143	8.927	0.016		8.911		0.182		99.818	1144			1144	19.029			19.07	1.427			1.427	18.885			19.293	357022	80159662	12.1	47.8
ecdc/worldwide	b0de1dca9ddd	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-19	80	52	45	19	10		-14	-12	-17	8198	13		8185	10.227	0.016		10.211		0.159		99.841	1042			1042	14.561			14.588	1.3			1.3	17.202			17.573	357022	80159662	12.1	47.8
ecdc/worldwide	1ce22d0db8cd	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-20	81	53	46	20	11	1	-13	-11	-16	14138	43		14095	17.637	0.054		17.584		0.304		99.696	5940	30		5910	72.457	230.769		72.205	7.41	0.037		7.373	98.059	16.722		99.669	357022	80159662	12.1	47.8
ecdc/worldwide	bdef6e89783b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-21	82	54	47	21	12	2	-12	-10	-15	18187	45		18142	22.688	0.056		22.632		0.247		99.753	4049	2		4047	28.639	4.651		28.712	5.051	0.002		5.049	66.842	1.115		68.251	357022	80159662	12.1	47.8
ecdc/worldwide	0a700fab6493	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-22	83	55	48	22	13	3	-11	-9	-14	21463	67		21396	26.775	0.084		26.692		0.312		99.688	3276	22		3254	18.013	48.889		17.936	4.087	0.027		4.059	54.081	12.263		54.877	357022	80159662	12.1	47.8
ecdc/worldwide	681c49ad78c8	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-23	84	56	49	23	14	4	-10	-8	-13	24774	94		24680	30.906	0.117		30.789		0.379		99.621	3311	27		3284	15.427	40.299		15.349	4.131	0.034		4.097	54.659	15.05		55.383	357022	80159662	12.1	47.8
ecdc/worldwide	3733f678b051	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-24	85	57	50	24	15	5	-9	-7	-12	29212	126		29086	36.442	0.157		36.285		0.431		99.569	4438	32		4406	17.914	34.043		17.853	5.536	0.04		5.497	73.263	17.837		74.305	357022	80159662	12.1	47.8
ecdc/worldwide	db202ea88507	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-25	86	58	51	25	16	6	-8	-6	-11	31554	149		31405	39.364	0.186		39.178		0.472		99.528	2342	23		2319	8.017	18.254		7.973	2.922	0.029		2.893	38.662	12.821		39.109	357022	80159662	12.1	47.8
ecdc/worldwide	01429b5ed498	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-03-26	87	59	52	26	17	7	-7	-5	-10	36508	198		36310	45.544	0.247		45.297		0.542		99.458	4954	49		4905	15.7	32.886		15.619	6.18	0.061		6.119	81.782	27.313		82.721	357022	80159662	12.1	47.8
