dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	63a2d28f2d08	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-19	80	1					-17	-17		1			1	0.108			0.108				100	1			1					0.108			0.108	6.757			6.757	23200	921804	7.3	24.9
ecdc/worldwide	5a53ea490fa1	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-24	85	6					-12	-12		3			3	0.325			0.325				100	2			2	200			200	0.217			0.217	13.514			13.514	23200	921804	7.3	24.9
ecdc/worldwide	a190ae156109	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-26	87	8	1				-10	-10		12			12	1.302			1.302				100	9			9	300			300	0.976			0.976	60.811			60.811	23200	921804	7.3	24.9
ecdc/worldwide	5692f5ab3625	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-28	89	10	3				-8	-8		13			13	1.41			1.41				100	1			1	8.333			8.333	0.108			0.108	6.757			6.757	23200	921804	7.3	24.9
ecdc/worldwide	35fdb386e676	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-29	90	11	4				-7	-7		15			15	1.627			1.627				100	2			2	15.385			15.385	0.217			0.217	13.514			13.514	23200	921804	7.3	24.9
ecdc/worldwide	4b9d5c42a3b3	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-30	91	12	5				-6	-6		19			19	2.061			2.061				100	4			4	26.667			26.667	0.434			0.434	27.027			27.027	23200	921804	7.3	24.9
ecdc/worldwide	c005ec89e517	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-31	92	13	6				-5	-5		26			26	2.821			2.821				100	7			7	36.842			36.842	0.759			0.759	47.297			47.297	23200	921804	7.3	24.9
ecdc/worldwide	cce53a411078	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-01	93	14	7				-4	-4		31			31	3.363			3.363				100	5			5	19.231			19.231	0.542			0.542	33.784			33.784	23200	921804	7.3	24.9
ecdc/worldwide	e423dbed8b15	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-02	94	15	8				-3	-3		34			34	3.688			3.688				100	3			3	9.677			9.677	0.325			0.325	20.27			20.27	23200	921804	7.3	24.9
ecdc/worldwide	07fb8cb3a99a	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-03	95	16	9				-2	-2		41			41	4.448			4.448				100	7			7	20.588			20.588	0.759			0.759	47.297			47.297	23200	921804	7.3	24.9
