dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	ad6b9fe33ff3	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-02-27	59	1					-39	-39	-39	1			1	0.017			0.017				100	1			1					0.017			0.017	0.308			0.323	43094	5869410	9.5	42
ecdc/worldwide	822846f997a9	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-02-29	61	3					-37	-37	-37	2			2	0.034			0.034				100	1			1	100			100	0.017			0.017	0.308			0.323	43094	5869410	9.5	42
ecdc/worldwide	1c25116ec47f	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-01	62	4					-36	-36	-36	3			3	0.051			0.051				100	1			1	50			50	0.017			0.017	0.308			0.323	43094	5869410	9.5	42
ecdc/worldwide	07723777596d	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-02	63	5					-35	-35	-35	4			4	0.068			0.068				100	1			1	33.333			33.333	0.017			0.017	0.308			0.323	43094	5869410	9.5	42
ecdc/worldwide	534737718a23	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-03	64	6					-34	-34	-34	5			5	0.085			0.085				100	1			1	25			25	0.017			0.017	0.308			0.323	43094	5869410	9.5	42
ecdc/worldwide	7796268dd606	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-04	65	7					-33	-33	-33	8			8	0.136			0.136				100	3			3	60			60	0.051			0.051	0.923			0.97	43094	5869410	9.5	42
ecdc/worldwide	513092e5f787	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-05	66	8	1				-32	-32	-32	10			10	0.17			0.17				100	2			2	25			25	0.034			0.034	0.615			0.646	43094	5869410	9.5	42
ecdc/worldwide	69031c9079b2	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-06	67	9	2				-31	-31	-31	20			20	0.341			0.341				100	10			10	100			100	0.17			0.17	3.075			3.232	43094	5869410	9.5	42
ecdc/worldwide	265ee187b1c3	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-07	68	10	3				-30	-30	-30	23			23	0.392			0.392				100	3			3	15			15	0.051			0.051	0.923			0.97	43094	5869410	9.5	42
ecdc/worldwide	b6178e6fc716	fcf5344cde38	total-country	Denmark	DK	Denmark			56	10	Europe	Northern Europe	2020-03-08	69	11	4				-29	-29	-29	31			31	0.528			0.528				100	8			8	34.783			34.783	0.136			0.136	2.46			2.586	43094	5869410	9.5	42
