dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	fb7f5b5a0244	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-02	63	1					-32	-32	-33	1			1	0.01			0.01				100	1			1					0.01			0.01	0.592			0.621	48670	10499707	6.3	27.9
ecdc/worldwide	7e9f0ae3fb4e	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-07	68	6					-27	-27	-28	2			2	0.019			0.019				100	1			1	100			100	0.01			0.01	0.592			0.621	48670	10499707	6.3	27.9
ecdc/worldwide	5fb9df0c79e4	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-10	71	9					-24	-24	-25	5			5	0.048			0.048				100	3			3	150			150	0.029			0.029	1.775			1.863	48670	10499707	6.3	27.9
ecdc/worldwide	860549dd3450	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-14	75	13	1				-20	-20	-21	11			11	0.105			0.105				100	6			6	120			120	0.057			0.057	3.55			3.727	48670	10499707	6.3	27.9
ecdc/worldwide	e2cd153a8f0c	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-19	80	18	6				-15	-15	-16	21			21	0.2			0.2				100	10			10	90.909			90.909	0.095			0.095	5.917			6.211	48670	10499707	6.3	27.9
ecdc/worldwide	b4ad4bdde43f	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-21	82	20	8				-13	-13	-14	34	2		32	0.324	0.019		0.305		5.882		94.118	13	2		11	61.905			52.381	0.124	0.019		0.105	7.692	20		6.832	48670	10499707	6.3	27.9
ecdc/worldwide	f66dbef41940	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-22	83	21	9	1			-12	-12	-13	112	3		109	1.067	0.029		1.038		2.679		97.321	78	1		77	229.412	50		240.625	0.743	0.01		0.733	46.154	10		47.826	48670	10499707	6.3	27.9
ecdc/worldwide	56cf87b98c3e	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-23	84	22	10	2			-11	-11	-12	202	3		199	1.924	0.029		1.895		1.485		98.515	90			90	80.357			82.569	0.857			0.857	53.254			55.901	48670	10499707	6.3	27.9
ecdc/worldwide	f9f7f6fe286f	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-24	85	23	11	3			-10	-10	-11	245	3		242	2.333	0.029		2.305		1.224		98.776	43			43	21.287			21.608	0.41			0.41	25.444			26.708	48670	10499707	6.3	27.9
ecdc/worldwide	5e1025b7a772	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-25	86	24	12	4			-9	-9	-10	312	6		306	2.972	0.057		2.914		1.923		98.077	67	3		64	27.347	100		26.446	0.638	0.029		0.61	39.645	30		39.752	48670	10499707	6.3	27.9
ecdc/worldwide	8f95e5633165	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-26	87	25	13	5			-8	-8	-9	392	10		382	3.733	0.095		3.638		2.551		97.449	80	4		76	25.641	66.667		24.837	0.762	0.038		0.724	47.337	40		47.205	48670	10499707	6.3	27.9
ecdc/worldwide	70dc6192ecdb	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-27	88	26	14	6			-7	-7	-8	488	10		478	4.648	0.095		4.553		2.049		97.951	96			96	24.49			25.131	0.914			0.914	56.805			59.627	48670	10499707	6.3	27.9
ecdc/worldwide	727368e7c4b3	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-28	89	27	15	7			-6	-6	-7	581	20		561	5.533	0.19		5.343		3.442		96.558	93	10		83	19.057	100		17.364	0.886	0.095		0.79	55.03	100		51.553	48670	10499707	6.3	27.9
ecdc/worldwide	3ea690e3bed8	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-29	90	28	16	8			-5	-5	-6	719	28		691	6.848	0.267		6.581		3.894		96.106	138	8		130	23.752	40		23.173	1.314	0.076		1.238	81.657	80		80.745	48670	10499707	6.3	27.9
ecdc/worldwide	85ee20b362cc	07e91fdfae86	total-country	Dominican Republic	DO	Dominican Republic			19	-70.66666666	Americas	Caribbean	2020-03-30	91	29	17	9			-4	-4	-5	859	39		820	8.181	0.371		7.81		4.54		95.46	140	11		129	19.471	39.286		18.669	1.333	0.105		1.229	82.84	110		80.124	48670	10499707	6.3	27.9
