dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	2ae7c6f5d6bf	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-02-15	47	1					-53	-53	-53	1			1	0.001			0.001				100	1			1					0.001			0.001	0.655			0.72	1001450	104124440	4.4	24.1
ecdc/worldwide	ae5acda7af56	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-02	63	17					-37	-37	-37	2			2	0.002			0.002				100	1			1	100			100	0.001			0.001	0.655			0.72	1001450	104124440	4.4	24.1
ecdc/worldwide	15958e6a4424	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-06	67	21					-33	-33	-33	3			3	0.003			0.003				100	1			1	50			50	0.001			0.001	0.655			0.72	1001450	104124440	4.4	24.1
ecdc/worldwide	2e1ce50f3be5	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-07	68	22	1				-32	-32	-32	15			15	0.014			0.014				100	12			12	400			400	0.012			0.012	7.864			8.646	1001450	104124440	4.4	24.1
ecdc/worldwide	5c86ee43dad6	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-09	70	24	3				-30	-30	-30	49	1		48	0.047	0.001		0.046		2.041		97.959	34	1		33	226.667			220	0.033	0.001		0.032	22.28	8.333		23.775	1001450	104124440	4.4	24.1
ecdc/worldwide	b2d7534c3eca	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-10	71	25	4				-29	-29	-29	55	1		54	0.053	0.001		0.052		1.818		98.182	6			6	12.245			12.5	0.006			0.006	3.932			4.323	1001450	104124440	4.4	24.1
ecdc/worldwide	64c1033cf075	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-11	72	26	5				-28	-28	-28	59	1		58	0.057	0.001		0.056		1.695		98.305	4			4	7.273			7.407	0.004			0.004	2.621			2.882	1001450	104124440	4.4	24.1
ecdc/worldwide	e9d52b29863b	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-12	73	27	6				-27	-27	-27	60	1		59	0.058	0.001		0.057		1.667		98.333	1			1	1.695			1.724	0.001			0.001	0.655			0.72	1001450	104124440	4.4	24.1
ecdc/worldwide	d4541b7c7de6	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-13	74	28	7				-26	-26	-26	80	2		78	0.077	0.002		0.075		2.5		97.5	20	1		19	33.333	100		32.203	0.019	0.001		0.018	13.106	8.333		13.689	1001450	104124440	4.4	24.1
ecdc/worldwide	29566c0aea62	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-14	75	29	8				-25	-25	-25	93	2		91	0.089	0.002		0.087		2.151		97.849	13			13	16.25			16.667	0.012			0.012	8.519			9.366	1001450	104124440	4.4	24.1
ecdc/worldwide	3044dcabb397	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-16	77	31	10	1			-23	-23	-23	110	2		108	0.106	0.002		0.104		1.818		98.182	17			17	18.28			18.681	0.016			0.016	11.14			12.248	1001450	104124440	4.4	24.1
ecdc/worldwide	57c62ffbf7e2	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-17	78	32	11	2			-22	-22	-22	126	2		124	0.121	0.002		0.119		1.587		98.413	16			16	14.545			14.815	0.015			0.015	10.485			11.527	1001450	104124440	4.4	24.1
ecdc/worldwide	8570822900d2	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-18	79	33	12	3			-21	-21	-21	166	4		162	0.159	0.004		0.156		2.41		97.59	40	2		38	31.746	100		30.645	0.038	0.002		0.036	26.212	16.667		27.378	1001450	104124440	4.4	24.1
ecdc/worldwide	e34e443e82b8	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-19	80	34	13	4			-20	-20	-20	196	6		190	0.188	0.006		0.182		3.061		96.939	30	2		28	18.072	50		17.284	0.029	0.002		0.027	19.659	16.667		20.173	1001450	104124440	4.4	24.1
ecdc/worldwide	d93fc7865630	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-20	81	35	14	5			-19	-19	-19	210	6		204	0.202	0.006		0.196		2.857		97.143	14			14	7.143			7.368	0.013			0.013	9.174			10.086	1001450	104124440	4.4	24.1
ecdc/worldwide	e069ba8091ce	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-21	82	36	15	6			-18	-18	-18	256	7		249	0.246	0.007		0.239		2.734		97.266	46	1		45	21.905	16.667		22.059	0.044	0.001		0.043	30.144	8.333		32.421	1001450	104124440	4.4	24.1
ecdc/worldwide	83e0c2cd5a70	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-22	83	37	16	7			-17	-17	-17	285	8		277	0.274	0.008		0.266		2.807		97.193	29	1		28	11.328	14.286		11.245	0.028	0.001		0.027	19.004	8.333		20.173	1001450	104124440	4.4	24.1
ecdc/worldwide	6c09f8d92c86	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-23	84	38	17	8			-16	-16	-16	294	10		284	0.282	0.01		0.273		3.401		96.599	9	2		7	3.158	25		2.527	0.009	0.002		0.007	5.898	16.667		5.043	1001450	104124440	4.4	24.1
ecdc/worldwide	8aa8c769eca5	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-24	85	39	18	9			-15	-15	-15	327	14		313	0.314	0.013		0.301		4.281		95.719	33	4		29	11.224	40		10.211	0.032	0.004		0.028	21.625	33.333		20.893	1001450	104124440	4.4	24.1
ecdc/worldwide	25d21e6125bc	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-25	86	40	19	10			-14	-14	-14	366	19		347	0.352	0.018		0.333		5.191		94.809	39	5		34	11.927	35.714		10.863	0.037	0.005		0.033	25.557	41.667		24.496	1001450	104124440	4.4	24.1
ecdc/worldwide	7673abaa56f6	bd8e76c38809	total-country	Egypt	EG	Egypt			27	30	Africa	Northern Africa	2020-03-26	87	41	20	11			-13	-13	-13	442	21		421	0.424	0.02		0.404		4.751		95.249	76	2		74	20.765	10.526		21.326	0.073	0.002		0.071	49.803	16.667		53.314	1001450	104124440	4.4	24.1
