dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	46f291362645	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-03-22	83	1					-9	-9		1			1	0.01644413368686028			0.01644413368686028				100	1			1					26.31578947368421			26.31578947368421	117600	6081196	6.9	20.3
ecdc/worldwide	6ea7319aded9	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-03-26	87	5					-5	-5		4			4	0.06577653474744112			0.06577653474744112				100	3			3	300			300	78.94736842105263			78.94736842105263	117600	6081196	6.9	20.3
ecdc/worldwide	d162504a8dc6	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-03-27	88	6					-4	-4		6			6	0.0986648021211617			0.0986648021211617				100	2			2	50			50	52.63157894736842			52.63157894736842	117600	6081196	6.9	20.3
ecdc/worldwide	8032dcd35b3d	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-03-30	91	9	1				-1	-1		12			12	0.1973296042423234			0.1973296042423234				100	6			6	100			100	157.89473684210526			157.89473684210526	117600	6081196	6.9	20.3
ecdc/worldwide	86f46ec3668b	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-04-01	93	11	3				1	1		15			15	0.24666200530290422			0.24666200530290422				100	3			3	25			25	78.94736842105263			78.94736842105263	117600	6081196	6.9	20.3
ecdc/worldwide	207c01158540	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-04-02	94	12	4				2	2		18			18	0.29599440636348506			0.29599440636348506				100	3			3	20			20	78.94736842105263			78.94736842105263	117600	6081196	6.9	20.3
ecdc/worldwide	5f9db3ef25a9	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-04-03	95	13	5				3	3		22			22	0.3617709411109262			0.3617709411109262				100	4			4	22.22222222222222			22.22222222222222	105.26315789473684			105.26315789473684	117600	6081196	6.9	20.3
ecdc/worldwide	32201880bf30	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-04-05	97	15	7				5	5		29			29	0.4768798769189482			0.4768798769189482				100	7			7	31.818181818181817			31.818181818181817	184.21052631578948			184.21052631578948	117600	6081196	6.9	20.3
ecdc/worldwide	e8fecb377a52	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-04-07	99	17	9				7	7		31			31	0.5097681442926687			0.5097681442926687				100	2			2	6.896551724137931			6.896551724137931	52.63157894736842			52.63157894736842	117600	6081196	6.9	20.3
ecdc/worldwide	ac9b1da9a895	f49fbd3254fc	total-country	Eritrea	ER	Eritrea			15	39	Africa	Eastern Africa	2020-04-09	101	19	11				9	9		33			33	0.5426564116663893			0.5426564116663893				100	2			2	6.451612903225806			6.451612903225806	52.63157894736842			52.63157894736842	117600	6081196	6.9	20.3
