dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	7589edb0421c	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-01	33	1					-57	-56	-59	1			1	0.0019993685194468177			0.0019993685194468177				100	1			1					0.012291958600683434			0.01361173876350965	505370	50015792	9.3	43.9
ecdc/worldwide	905e826c1373	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-10	42	10					-48	-47	-50	2			2	0.003998737038893635			0.003998737038893635				100	1			1	100			100	0.012291958600683434			0.01361173876350965	505370	50015792	9.3	43.9
ecdc/worldwide	dbb3dbf92dc3	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-25	57	25					-33	-32	-35	3			3	0.005998105558340454			0.005998105558340454				100	1			1	50			50	0.012291958600683434			0.01361173876350965	505370	50015792	9.3	43.9
ecdc/worldwide	11696839657b	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-26	58	26					-32	-31	-34	7			7	0.013995579636127724			0.013995579636127724				100	4			4	133.33333333333334			133.33333333333334	0.049167834402733736			0.0544469550540386	505370	50015792	9.3	43.9
ecdc/worldwide	7d2e94384b66	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-27	59	27	1				-31	-30	-33	12			12	0.023992422233361815			0.023992422233361815				100	5			5	71.42857142857143			71.42857142857143	0.06145979300341717			0.06805869381754824	505370	50015792	9.3	43.9
ecdc/worldwide	7012eba45a7a	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-28	60	28	2				-30	-29	-32	25			25	0.049984212986170444			0.049984212986170444				100	13			13	108.33333333333333			108.33333333333333	0.15979546180888463			0.17695260392562545	505370	50015792	9.3	43.9
ecdc/worldwide	47a77e3ce217	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-02-29	61	29	3				-29	-28	-31	34			34	0.0679785296611918			0.0679785296611918				100	9			9	36			36	0.1106276274061509			0.12250564887158685	505370	50015792	9.3	43.9
ecdc/worldwide	b7061ac36ea2	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-01	62	30	4				-28	-27	-30	66			66	0.13195832228349			0.13195832228349				100	32			32	94.11764705882354			94.11764705882354	0.3933426752218699			0.4355756404323088	505370	50015792	9.3	43.9
ecdc/worldwide	377a5a9e57bb	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-02	63	31	5				-27	-26	-29	83			83	0.1659475871140859			0.1659475871140859				100	17			17	25.757575757575758			25.757575757575758	0.20896329621161838			0.23139955897966405	505370	50015792	9.3	43.9
ecdc/worldwide	dac1d59d2bcb	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-03	64	32	6	1			-26	-25	-28	114			114	0.2279280112169372			0.2279280112169372				100	31			31	37.34939759036145			37.34939759036145	0.38105071662118645			0.4219639016687991	505370	50015792	9.3	43.9
ecdc/worldwide	0782c5c46ff2	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-04	65	33	7	2			-25	-24	-27	151			151	0.3019046464364695			0.3019046464364695				100	37			37	32.45614035087719			32.45614035087719	0.454802468225287			0.503634334249857	505370	50015792	9.3	43.9
ecdc/worldwide	a4086c351ea0	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-05	66	34	8	3			-24	-23	-26	200	1		199	0.39987370388936355	0.0019993685194468177		0.3978743353699168		0.5		99.5	49	1		48	32.450331125827816			31.788079470198674	0.6023059714334883	0.11587485515643105		0.6533634606484633	505370	50015792	9.3	43.9
ecdc/worldwide	b3d723de7b0e	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-06	67	35	9	4			-23	-22	-25	261	3		258	0.5218351835756194	0.005998105558340454		0.515837078017279		1.1494252873563218		98.85057471264368	61	2		59	30.5	200		29.64824120603015	0.7498094746416895	0.2317497103128621		0.8030925870470693	505370	50015792	9.3	43.9
ecdc/worldwide	fd65855f7b79	ca70aeb1d57b	total-country	Spain	ES	Spain			40	-4	Europe	Southern Europe	2020-03-07	68	36	10	5			-22	-21	-24	374	5		369	0.7477638262731099	0.00999684259723409		0.7377669836758758		1.3368983957219251		98.66310160427807	113	2		111	43.29501915708812	66.66666666666667		43.02325581395349	1.388991321877228	0.2317497103128621		1.5109030027495711	505370	50015792	9.3	43.9
