dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	e26c387305ef	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-01-30	31	1					-66	-67	-65	1			1	0.018			0.018				100	1			1					0.018			0.018	0.574			0.585	338145	5571665	10.3	42.8
ecdc/worldwide	639821402ef3	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-27	59	29					-38	-39	-37	2			2	0.036			0.036				100	1			1	100			100	0.018			0.018	0.574			0.585	338145	5571665	10.3	42.8
ecdc/worldwide	100b9fe084b4	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-29	61	31					-36	-37	-35	3			3	0.054			0.054				100	1			1	50			50	0.018			0.018	0.574			0.585	338145	5571665	10.3	42.8
ecdc/worldwide	14e7adf0117c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-02	63	33					-34	-35	-33	6			6	0.108			0.108				100	3			3	100			100	0.054			0.054	1.722			1.756	338145	5571665	10.3	42.8
ecdc/worldwide	06e760096a40	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-04	65	35					-32	-33	-31	7			7	0.126			0.126				100	1			1	16.667			16.667	0.018			0.018	0.574			0.585	338145	5571665	10.3	42.8
ecdc/worldwide	3912bc44a12c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-06	67	37	1				-30	-31	-29	12			12	0.215			0.215				100	5			5	71.429			71.429	0.09			0.09	2.87			2.927	338145	5571665	10.3	42.8
ecdc/worldwide	8b409453ca16	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-07	68	38	2				-29	-30	-28	19			19	0.341			0.341				100	7			7	58.333			58.333	0.126			0.126	4.018			4.098	338145	5571665	10.3	42.8
ecdc/worldwide	a499877cb805	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-09	70	40	4				-27	-28	-26	30			30	0.538			0.538				100	11			11	57.895			57.895	0.197			0.197	6.315			6.44	338145	5571665	10.3	42.8
ecdc/worldwide	8f068cd5dd8c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-10	71	41	5				-26	-27	-25	40			40	0.718			0.718				100	10			10	33.333			33.333	0.179			0.179	5.741			5.855	338145	5571665	10.3	42.8
ecdc/worldwide	abcce9506ea8	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-12	73	43	7				-24	-25	-23	59			59	1.059			1.059				100	19			19	47.5			47.5	0.341			0.341	10.907			11.124	338145	5571665	10.3	42.8
