dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	8f3555d1c71b	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-03-20	81	1					-15	-15		1			1	0.107			0.107				100	1			1					0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
ecdc/worldwide	3dd7f3b1ed08	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-03-22	83	3					-13	-13		2			2	0.214			0.214				100	1			1	100			100	0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
ecdc/worldwide	3cbb91340314	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-03-23	84	4					-12	-12		3			3	0.321			0.321				100	1			1	50			50	0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
ecdc/worldwide	d3022778f0de	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-03-24	85	5					-11	-11		4			4	0.427			0.427				100	1			1	33.333			33.333	0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
ecdc/worldwide	4aa4ce5fae60	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-03-25	86	6					-10	-10		5			5	0.534			0.534				100	1			1	25			25	0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
ecdc/worldwide	6e3d7923b37b	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-04-02	94	14					-2	-2		7			7	0.748			0.748				100	2			2	40			40	0.214			0.214	142.857			142.857	18274	935974	6.3	29.9
ecdc/worldwide	a30aabc05673	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-04-04	96	16	1				0	0		12			12	1.282			1.282				100	5			5	71.429			71.429	0.534			0.534	357.143			357.143	18274	935974	6.3	29.9
ecdc/worldwide	fd075465a412	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-04-06	98	18	3				2	2		14			14	1.496			1.496				100	2			2	16.667			16.667	0.214			0.214	142.857			142.857	18274	935974	6.3	29.9
ecdc/worldwide	47383d8f7dd2	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-04-08	100	20	5				4	4		15			15	1.603			1.603				100	1			1	7.143			7.143	0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
ecdc/worldwide	656524780166	591a8d3dc583	total-country	Fiji	FJ	Fiji			-18	175	Oceania	Melanesia	2020-04-11	103	23	8				7	7		16			16	1.709			1.709				100	1			1	6.667			6.667	0.107			0.107	71.429			71.429	18274	935974	6.3	29.9
