dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	93933ac7102b	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-25	26	1					-70	-67	-73	3			3	0.004			0.004				100	3			3					0.064			0.076	643801	67848156	9.6	41.7
ecdc/worldwide	71c9f53a74fc	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-29	30	5					-66	-63	-69	4			4	0.006			0.006				100	1			1	33.333			33.333	0.021			0.025	643801	67848156	9.6	41.7
ecdc/worldwide	ad41ce9e01a9	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-30	31	6					-65	-62	-68	5			5	0.007			0.007				100	1			1	25			25	0.021			0.025	643801	67848156	9.6	41.7
ecdc/worldwide	2d3fdc086489	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-31	32	7					-64	-61	-67	6			6	0.009			0.009				100	1			1	20			20	0.021			0.025	643801	67848156	9.6	41.7
ecdc/worldwide	cfd6ef214a70	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-08	40	15	1				-56	-53	-59	11			11	0.016			0.016				100	5			5	83.333			83.333	0.107			0.126	643801	67848156	9.6	41.7
ecdc/worldwide	8cc22a5276a6	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-15	47	22	8				-49	-46	-52	11	1		10	0.016	0.001		0.015		9.091		90.909		1		-1				-9.091		0.115		-0.025	643801	67848156	9.6	41.7
ecdc/worldwide	66b2b44ab629	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-17	49	24	10				-47	-44	-50	12	1		11	0.018	0.001		0.016		8.333		91.667	1			1	9.091			10	0.021			0.025	643801	67848156	9.6	41.7
ecdc/worldwide	898f7da96cda	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-26	58	33	19				-38	-35	-41	14	1		13	0.021	0.001		0.019		7.143		92.857	2			2	16.667			18.182	0.043			0.05	643801	67848156	9.6	41.7
ecdc/worldwide	854c3e232043	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-27	59	34	20				-37	-34	-40	17	2		15	0.025	0.003		0.022		11.765		88.235	3	1		2	21.429	100		15.385	0.064	0.115		0.05	643801	67848156	9.6	41.7
ecdc/worldwide	04958e2f1b7a	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-28	60	35	21				-36	-33	-39	38	2		36	0.056	0.003		0.053		5.263		94.737	21			21	123.529			140	0.45			0.53	643801	67848156	9.6	41.7
ecdc/worldwide	425adf4211a8	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-29	61	36	22				-35	-32	-38	57	2		55	0.084	0.003		0.081		3.509		96.491	19			19	50			52.778	0.407			0.48	643801	67848156	9.6	41.7
ecdc/worldwide	66a955af1461	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-01	62	37	23	1			-34	-31	-37	100	2		98	0.147	0.003		0.144		2		98	43			43	75.439			78.182	0.921			1.085	643801	67848156	9.6	41.7
ecdc/worldwide	99f86310dc08	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-02	63	38	24	2			-33	-30	-36	130	2		128	0.192	0.003		0.189		1.538		98.462	30			30	30			30.612	0.642			0.757	643801	67848156	9.6	41.7
ecdc/worldwide	7118fee5001e	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-03	64	39	25	3			-32	-29	-35	178	3		175	0.262	0.004		0.258		1.685		98.315	48	1		47	36.923	50		36.719	1.028	0.115		1.186	643801	67848156	9.6	41.7
ecdc/worldwide	646310ec7efc	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-04	65	40	26	4			-31	-28	-34	212	4		208	0.312	0.006		0.307		1.887		98.113	34	1		33	19.101	33.333		18.857	0.728	0.115		0.833	643801	67848156	9.6	41.7
ecdc/worldwide	f2b64f694fc8	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-05	66	41	27	5			-30	-27	-33	285	4		281	0.42	0.006		0.414		1.404		98.596	73			73	34.434			35.096	1.563			1.842	643801	67848156	9.6	41.7
ecdc/worldwide	4badae4a2380	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-06	67	42	28	6			-29	-26	-32	423	7		416	0.623	0.01		0.613		1.655		98.345	138	3		135	48.421	75		48.043	2.955	0.344		3.407	643801	67848156	9.6	41.7
ecdc/worldwide	9c1939269f2d	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-07	68	43	29	7			-28	-25	-31	613	9		604	0.903	0.013		0.89		1.468		98.532	190	2		188	44.917	28.571		45.192	4.069	0.229		4.745	643801	67848156	9.6	41.7
ecdc/worldwide	49ae5eb20e9a	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-08	69	44	30	8			-27	-24	-30	716	10		706	1.055	0.015		1.041		1.397		98.603	103	1		102	16.803	11.111		16.887	2.206	0.115		2.574	643801	67848156	9.6	41.7
ecdc/worldwide	b6cfef9a2072	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-09	70	45	31	9	1		-26	-23	-29	1126	19		1107	1.66	0.028		1.632		1.687		98.313	410	9		401	57.263	90		56.799	8.78	1.032		10.121	643801	67848156	9.6	41.7
ecdc/worldwide	34fde9ed0b79	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-10	71	46	32	10	2		-25	-22	-28	1412	30		1382	2.081	0.044		2.037		2.125		97.875	286	11		275	25.4	57.895		24.842	6.125	1.261		6.941	643801	67848156	9.6	41.7
ecdc/worldwide	7c6e7946949e	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-11	72	47	33	11	3		-24	-21	-27	1784	33		1751	2.629	0.049		2.581		1.85		98.15	372	3		369	26.346	10		26.7	7.966	0.344		9.313	643801	67848156	9.6	41.7
ecdc/worldwide	d2cdd1a32024	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-12	73	48	34	12	4		-23	-20	-26	2281	48		2233	3.362	0.071		3.291		2.104		97.896	497	15		482	27.859	45.455		27.527	10.643	1.719		12.165	643801	67848156	9.6	41.7
ecdc/worldwide	3058ed860162	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-13	74	49	35	13	5		-22	-19	-25	2876	61		2815	4.239	0.09		4.149		2.121		97.879	595	13		582	26.085	27.083		26.064	12.742	1.49		14.689	643801	67848156	9.6	41.7
ecdc/worldwide	ed6fec632015	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-14	75	50	36	14	6		-21	-18	-24	3661	79		3582	5.396	0.116		5.279		2.158		97.842	785	18		767	27.295	29.508		27.247	16.811	2.063		19.358	643801	67848156	9.6	41.7
ecdc/worldwide	9694921d7653	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-15	76	51	37	15	7		-20	-17	-23	4499	91		4408	6.631	0.134		6.497		2.023		97.977	838	12		826	22.89	15.19		23.06	17.946	1.376		20.847	643801	67848156	9.6	41.7
ecdc/worldwide	2f41ca6e65c4	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-16	77	52	38	16	8		-19	-16	-22	5423	127		5296	7.993	0.187		7.806		2.342		97.658	924	36		888	20.538	39.56		20.145	19.788	4.127		22.412	643801	67848156	9.6	41.7
ecdc/worldwide	73e63317cfca	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-17	78	53	39	17	9		-18	-15	-21	6633	148		6485	9.776	0.218		9.558		2.231		97.769	1210	21		1189	22.312	16.535		22.451	25.912	2.407		30.009	643801	67848156	9.6	41.7
ecdc/worldwide	aa0301dcebab	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-18	79	54	40	18	10		-17	-14	-20	7730	175		7555	11.393	0.258		11.135		2.264		97.736	1097	27		1070	16.539	18.243		16.5	23.492	3.095		27.005	643801	67848156	9.6	41.7
ecdc/worldwide	d38b3e19eb8b	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-19	80	55	41	19	11		-16	-13	-19	9134	244		8890	13.462	0.36		13.103		2.671		97.329	1404	69		1335	18.163	39.429		17.67	30.067	7.909		33.693	643801	67848156	9.6	41.7
ecdc/worldwide	8c322c7544e5	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-20	81	56	42	20	12	1	-15	-12	-18	10995	372		10623	16.205	0.548		15.657		3.383		96.617	1861	128		1733	20.374	52.459		19.494	39.854	14.672		43.738	643801	67848156	9.6	41.7
ecdc/worldwide	91d63a5cbece	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-21	82	57	43	21	13	2	-14	-11	-17	12612	450		12162	18.589	0.663		17.925		3.568		96.432	1617	78		1539	14.707	20.968		14.487	34.628	8.941		38.842	643801	67848156	9.6	41.7
ecdc/worldwide	8feb6623e971	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-03-22	83	58	44	22	14	3	-13	-10	-16	14459	562		13897	21.311	0.828		20.483		3.887		96.113	1847	112		1735	14.645	24.889		14.266	39.554	12.838		43.789	643801	67848156	9.6	41.7
