dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	77589b39978c	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-13	74	1					-16	-17	-15	2			2	0.007			0.007				100	2			2					0.007			0.007	5.747			5.814	238533	29340248	6.6	21.4
ecdc/worldwide	caed05f08de6	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-17	78	5					-12	-13	-11	6			6	0.02			0.02				100	4			4	200			200	0.014			0.014	11.494			11.628	238533	29340248	6.6	21.4
ecdc/worldwide	c7d55d923bb3	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-19	80	7					-10	-11	-9	7			7	0.024			0.024				100	1			1	16.667			16.667	0.003			0.003	2.874			2.907	238533	29340248	6.6	21.4
ecdc/worldwide	63265db3e92a	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-20	81	8	1				-9	-10	-8	11			11	0.037			0.037				100	4			4	57.143			57.143	0.014			0.014	11.494			11.628	238533	29340248	6.6	21.4
ecdc/worldwide	995ea98dc1c4	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-21	82	9	2				-8	-9	-7	16			16	0.055			0.055				100	5			5	45.455			45.455	0.017			0.017	14.368			14.535	238533	29340248	6.6	21.4
ecdc/worldwide	3ac4ede24a60	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-22	83	10	3				-7	-8	-6	21	1		20	0.072	0.003		0.068		4.762		95.238	5	1		4	31.25			25	0.017	0.003		0.014	14.368	100		11.628	238533	29340248	6.6	21.4
ecdc/worldwide	bb3f945f2d2c	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-23	84	11	4				-6	-7	-5	24	1		23	0.082	0.003		0.078		4.167		95.833	3			3	14.286			15	0.01			0.01	8.621			8.721	238533	29340248	6.6	21.4
ecdc/worldwide	adae28b5defb	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-24	85	12	5				-5	-6	-4	27	2		25	0.092	0.007		0.085		7.407		92.593	3	1		2	12.5	100		8.696	0.01	0.003		0.007	8.621	100		5.814	238533	29340248	6.6	21.4
ecdc/worldwide	f976e3c352f6	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-25	86	13	6				-4	-5	-3	53	2		51	0.181	0.007		0.174		3.774		96.226	26			26	96.296			104	0.089			0.089	74.713			75.581	238533	29340248	6.6	21.4
ecdc/worldwide	bbc8c434cf19	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-26	87	14	7				-3	-4	-2	68	3		65	0.232	0.01		0.222		4.412		95.588	15	1		14	28.302	50		27.451	0.051	0.003		0.048	43.103	100		40.698	238533	29340248	6.6	21.4
