dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	5b35fe64dea2	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-15	76	1					-13	-13		1			1	0.12			0.12				100	1			1					0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	1b0fb6b1a448	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-19	80	5					-9	-9		3			3	0.359			0.359				100	2			2	200			200	0.239			0.239	111.111			111.111	28051	836178	7.3	20.3
ecdc/worldwide	4014b2ab36c2	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-20	81	6					-8	-8		4			4	0.478			0.478				100	1			1	33.333			33.333	0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	b73553b11405	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-22	83	8					-6	-6		6			6	0.718			0.718				100	2			2	50			50	0.239			0.239	111.111			111.111	28051	836178	7.3	20.3
ecdc/worldwide	b407ddb86d6f	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-24	85	10					-4	-4		9			9	1.076			1.076				100	3			3	50			50	0.359			0.359	166.667			166.667	28051	836178	7.3	20.3
ecdc/worldwide	d9fcd1305c02	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-26	87	12	1				-2	-2		11			11	1.316			1.316				100	2			2	22.222			22.222	0.239			0.239	111.111			111.111	28051	836178	7.3	20.3
ecdc/worldwide	c9626777a497	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-27	88	13	2				-1	-1		12			12	1.435			1.435				100	1			1	9.091			9.091	0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	1e6cdd09aa62	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-28	89	14	3				0	0		13			13	1.555			1.555				100	1			1	8.333			8.333	0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	f0c373481d47	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-03-30	91	16	5				2	2		14			14	1.674			1.674				100	1			1	7.692			7.692	0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	a2b272f79856	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-04-01	93	18	7				4	4		15			15	1.794			1.794				100	1			1	7.143			7.143	0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	c7ffc9be4501	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-04-04	96	21	10				7	7		16			16	1.913			1.913				100	1			1	6.667			6.667	0.12			0.12	55.556			55.556	28051	836178	7.3	20.3
ecdc/worldwide	80556d6edd53	a8d25dcddb52	total-country	Equatorial Guinea	GQ	Equatorial Guinea			2	10	Africa	Middle Africa	2020-04-09	101	26	15				12	12		18			18	2.153			2.153				100	2			2	12.5			12.5	0.239			0.239	111.111			111.111	28051	836178	7.3	20.3
