dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	1143dc1db0b4	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-03-13	74	1					-19	-21	-17	1	1			0.13329707652851758	0.13329707652851758				100			1	1							25	100			214969	750204	7.5	27.5
ecdc/worldwide	490498b2f580	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-03-16	77	4					-16	-18	-14	4	1		3	0.5331883061140703	0.13329707652851758		0.3998912295855528		25		75	3			3	300				75			83.33333333333333	214969	750204	7.5	27.5
ecdc/worldwide	5f16146d02d6	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-03-19	80	7					-13	-15	-11	5	1		4	0.6664853826425879	0.13329707652851758		0.5331883061140703		20		80	1			1	25			33.333333333333336	25			27.77777777777778	214969	750204	7.5	27.5
ecdc/worldwide	75da2ca17100	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-03-29	90	17					-3	-5	-1	8	1		7	1.0663766122281406	0.13329707652851758		0.9330795356996231		12.5		87.5	3			3	60			75	75			83.33333333333333	214969	750204	7.5	27.5
ecdc/worldwide	1c1bdd4cd13f	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-01	93	20	1				0	-2	2	12	2		10	1.5995649183422112	0.26659415305703515		1.3329707652851759		16.666666666666664		83.33333333333334	4	1		3	50	100		42.857142857142854	100	100		83.33333333333333	214969	750204	7.5	27.5
ecdc/worldwide	672b7e90a0a6	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-02	94	21	2				1	-1	3	19	4		15	2.5326444540418342	0.5331883061140703		1.999456147927764		21.052631578947366		78.94736842105263	7	2		5	58.333333333333336	100		50	175	200		138.88888888888889	214969	750204	7.5	27.5
ecdc/worldwide	1aa77f419231	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-04	96	23	4				3	1	5	23	4		19	3.0658327601559043	0.5331883061140703		2.5326444540418342		17.391304347826086		82.6086956521739	4			4	21.05263157894737			26.666666666666668	100			111.11111111111111	214969	750204	7.5	27.5
ecdc/worldwide	3be38ee4a792	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-05	97	24	5				4	2	6	24	4		20	3.1991298366844223	0.5331883061140703		2.6659415305703518		16.666666666666664		83.33333333333334	1			1	4.3478260869565215			5.2631578947368425	25			27.77777777777778	214969	750204	7.5	27.5
ecdc/worldwide	b0152319ca0c	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-06	98	25	6				5	3	7	29	4		25	3.86561521932701	0.5331883061140703		3.3324269132129394		13.793103448275861		86.20689655172413	5			5	20.833333333333332			25	125			138.88888888888889	214969	750204	7.5	27.5
ecdc/worldwide	c03bdb939b02	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-07	99	26	7				6	4	8	31	5		26	4.132209372384045	0.6664853826425879		3.4657239897414573		16.129032258064516		83.87096774193549	2	1		1	6.896551724137931	25		4	50	100		27.77777777777778	214969	750204	7.5	27.5
ecdc/worldwide	1d9552caae4e	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-08	100	27	8				7	5	9	33	5		28	4.39880352544108	0.6664853826425879		3.7323181427984924		15.151515151515152		84.84848484848484	2			2	6.451612903225806			7.6923076923076925	50			55.55555555555556	214969	750204	7.5	27.5
ecdc/worldwide	05ee1b6e8309	1c32ab160c15	total-country	Guyana	GY	Guyana			5	-59	Americas	South America	2020-04-09	101	28	9				8	6	10	37	6		31	4.931991831555151	0.7997824591711056		4.132209372384045		16.216216216216218		83.78378378378379	4	1		3	12.121212121212121	20		10.714285714285714	100	100		83.33333333333333	214969	750204	7.5	27.5
