dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	29faa5b9a0c6	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-02-26	58	1					-35	-31	-40	1			1	0.024			0.024				100	1			1					0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	4731a98ae805	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-02-27	59	2					-34	-30	-39	2			2	0.047			0.047				100	1			1	100			100	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	8e0cfd1a891c	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-02-28	60	3					-33	-29	-38	3			3	0.071			0.071				100	1			1	50			50	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	313a77af7d2c	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-02-29	61	4					-32	-28	-37	5			5	0.118			0.118				100	2			2	66.667			66.667	0.047			0.047	2.488			2.5	56594	4227746	12.8	43.9
ecdc/worldwide	2a3308c545b8	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-02	63	6					-30	-26	-35	7			7	0.166			0.166				100	2			2	40			40	0.047			0.047	2.488			2.5	56594	4227746	12.8	43.9
ecdc/worldwide	33da88ee40e4	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-03	64	7					-29	-25	-34	8			8	0.189			0.189				100	1			1	14.286			14.286	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	f7af7a8f5bca	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-04	65	8					-28	-24	-33	9			9	0.213			0.213				100	1			1	12.5			12.5	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	74697eae9598	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-06	67	10	1				-26	-22	-31	10			10	0.237			0.237				100	1			1	11.111			11.111	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	3bf847a78cce	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-07	68	11	2				-25	-21	-30	11			11	0.26			0.26				100	1			1	10			10	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	d02fd2b2e53e	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-08	69	12	3				-24	-20	-29	12			12	0.284			0.284				100	1			1	9.091			9.091	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	0b5c4fd66160	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-11	72	15	6				-21	-17	-26	13			13	0.307			0.307				100	1			1	8.333			8.333	0.024			0.024	1.244			1.25	56594	4227746	12.8	43.9
ecdc/worldwide	e35aa3bd0084	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-12	73	16	7				-20	-16	-25	16			16	0.378			0.378				100	3			3	23.077			23.077	0.071			0.071	3.731			3.75	56594	4227746	12.8	43.9
ecdc/worldwide	36777c665491	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-13	74	17	8				-19	-15	-24	25			25	0.591			0.591				100	9			9	56.25			56.25	0.213			0.213	11.194			11.25	56594	4227746	12.8	43.9
ecdc/worldwide	e197803e6237	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-14	75	18	9				-18	-14	-23	31			31	0.733			0.733				100	6			6	24			24	0.142			0.142	7.463			7.5	56594	4227746	12.8	43.9
ecdc/worldwide	065a84c92241	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-15	76	19	10				-17	-13	-22	37			37	0.875			0.875				100	6			6	19.355			19.355	0.142			0.142	7.463			7.5	56594	4227746	12.8	43.9
ecdc/worldwide	0d298f7a5449	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-16	77	20	11				-16	-12	-21	48			48	1.135			1.135				100	11			11	29.73			29.73	0.26			0.26	13.682			13.75	56594	4227746	12.8	43.9
ecdc/worldwide	37c75587bd5e	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-17	78	21	12				-15	-11	-20	56			56	1.325			1.325				100	8			8	16.667			16.667	0.189			0.189	9.95			10	56594	4227746	12.8	43.9
ecdc/worldwide	63b1796be56f	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-18	79	22	13				-14	-10	-19	69			69	1.632			1.632				100	13			13	23.214			23.214	0.307			0.307	16.169			16.25	56594	4227746	12.8	43.9
ecdc/worldwide	f95e19111601	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-19	80	23	14				-13	-9	-18	81			81	1.916			1.916				100	12			12	17.391			17.391	0.284			0.284	14.925			15	56594	4227746	12.8	43.9
ecdc/worldwide	d4cd2187f9d5	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-20	81	24	15	1			-12	-8	-17	104			104	2.46			2.46				100	23			23	28.395			28.395	0.544			0.544	28.607			28.75	56594	4227746	12.8	43.9
ecdc/worldwide	8d492652ede4	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-21	82	25	16	2			-11	-7	-16	126			126	2.98			2.98				100	22			22	21.154			21.154	0.52			0.52	27.363			27.5	56594	4227746	12.8	43.9
ecdc/worldwide	4129ee09d053	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-22	83	26	17	3			-10	-6	-15	206			206	4.873			4.873				100	80			80	63.492			63.492	1.892			1.892	99.502			100	56594	4227746	12.8	43.9
ecdc/worldwide	fdf3c9c6671b	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-23	84	27	18	4			-9	-5	-14	235			235	5.559			5.559				100	29			29	14.078			14.078	0.686			0.686	36.07			36.25	56594	4227746	12.8	43.9
ecdc/worldwide	14be5e119307	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-24	85	28	19	5			-8	-4	-13	306			306	7.238			7.238				100	71			71	30.213			30.213	1.679			1.679	88.308			88.75	56594	4227746	12.8	43.9
ecdc/worldwide	6c65f2087f86	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-25	86	29	20	6			-7	-3	-12	382	1		381	9.036	0.024		9.012		0.262		99.738	76	1		75	24.837			24.51	1.798	0.024		1.774	94.527	55.556		93.75	56594	4227746	12.8	43.9
ecdc/worldwide	d63056673e61	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-26	87	30	21	7			-6	-2	-11	418	1		417	9.887	0.024		9.863		0.239		99.761	36			36	9.424			9.449	0.852			0.852	44.776			45	56594	4227746	12.8	43.9
ecdc/worldwide	0aaa643de31e	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-27	88	31	22	8			-5	-1	-10	495	2		493	11.708	0.047		11.661		0.404		99.596	77	1		76	18.421	100		18.225	1.821	0.024		1.798	95.771	55.556		95	56594	4227746	12.8	43.9
ecdc/worldwide	08c652136328	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-28	89	32	23	9			-4	0	-9	586	3		583	13.861	0.071		13.79		0.512		99.488	91	1		90	18.384	50		18.256	2.152	0.024		2.129	113.184	55.556		112.5	56594	4227746	12.8	43.9
ecdc/worldwide	503aa0b017b1	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-29	90	33	24	10			-3	1	-8	657	5		652	15.54	0.118		15.422		0.761		99.239	71	2		69	12.116	66.667		11.835	1.679	0.047		1.632	88.308	111.111		86.25	56594	4227746	12.8	43.9
ecdc/worldwide	e96a6912911c	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-30	91	34	25	11			-2	2	-7	713	6		707	16.865	0.142		16.723		0.842		99.158	56	1		55	8.524	20		8.436	1.325	0.024		1.301	69.652	55.556		68.75	56594	4227746	12.8	43.9
ecdc/worldwide	10fd80c4418c	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-03-31	92	35	26	12			-1	3	-6	790	6		784	18.686	0.142		18.544		0.759		99.241	77			77	10.799			10.891	1.821			1.821	95.771			96.25	56594	4227746	12.8	43.9
ecdc/worldwide	6a149d2d37fa	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-04-01	93	36	27	13			-0	4	-5	867	6		861	20.507	0.142		20.365		0.692		99.308	77			77	9.747			9.821	1.821			1.821	95.771			96.25	56594	4227746	12.8	43.9
ecdc/worldwide	fd2739413f01	e2f07a346bf3	total-country	Croatia	HR	Croatia			45.16666666	15.5	Europe	Southern Europe	2020-04-02	94	37	28	14			0	5	-4	963	6		957	22.778	0.142		22.636		0.623		99.377	96			96	11.073			11.15	2.271			2.271	119.403			120	56594	4227746	12.8	43.9
