dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	90554a6777a6	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-02	63	1					-32	-35	-30	2			2	0.001			0.001				100	2			2					0.001			0.001	0.943			1	1904569	267026366	6.6	31.1
ecdc/worldwide	50a628bb006b	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-07	68	6					-27	-30	-25	4			4	0.001			0.001				100	2			2	100			100	0.001			0.001	0.943			1	1904569	267026366	6.6	31.1
ecdc/worldwide	9e0edfcecd92	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-09	70	8					-25	-28	-23	6			6	0.002			0.002				100	2			2	50			50	0.001			0.001	0.943			1	1904569	267026366	6.6	31.1
ecdc/worldwide	72f0d791e286	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-11	72	10	1				-23	-26	-21	19			19	0.007			0.007				100	13			13	216.667			216.667	0.005			0.005	6.132			6.5	1904569	267026366	6.6	31.1
ecdc/worldwide	a3d67d992de2	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-12	73	11	2				-22	-25	-20	34	1		33	0.013	0		0.012		2.941		97.059	15	1		14	78.947			73.684	0.006	0		0.005	7.075	5.618		7	1904569	267026366	6.6	31.1
ecdc/worldwide	6dd835cc2477	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-14	75	13	4				-20	-23	-18	69	4		65	0.026	0.001		0.024		5.797		94.203	35	3		32	102.941	300		96.97	0.013	0.001		0.012	16.509	16.854		16	1904569	267026366	6.6	31.1
ecdc/worldwide	74454e35cfbc	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-15	76	14	5				-19	-22	-17	96	4		92	0.036	0.001		0.034		4.167		95.833	27			27	39.13			41.538	0.01			0.01	12.736			13.5	1904569	267026366	6.6	31.1
ecdc/worldwide	1e8a1d858716	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-16	77	15	6	1			-18	-21	-16	117	5		112	0.044	0.002		0.042		4.274		95.726	21	1		20	21.875	25		21.739	0.008	0		0.007	9.906	5.618		10	1904569	267026366	6.6	31.1
ecdc/worldwide	7c6813208f9c	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-17	78	16	7	2			-17	-20	-15	134	5		129	0.05	0.002		0.048		3.731		96.269	17			17	14.53			15.179	0.006			0.006	8.019			8.5	1904569	267026366	6.6	31.1
ecdc/worldwide	ceba00bc11e4	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-18	79	17	8	3			-16	-19	-14	172	5		167	0.064	0.002		0.063		2.907		97.093	38			38	28.358			29.457	0.014			0.014	17.925			19	1904569	267026366	6.6	31.1
ecdc/worldwide	4e3a916c6ad5	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-20	81	19	10	5			-14	-17	-12	227	19		208	0.085	0.007		0.078		8.37		91.63	55	14		41	31.977	280		24.551	0.021	0.005		0.015	25.943	78.652		20.5	1904569	267026366	6.6	31.1
ecdc/worldwide	baee4a0fc41d	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-21	82	20	11	6			-13	-16	-11	309	25		284	0.116	0.009		0.106		8.091		91.909	82	6		76	36.123	31.579		36.538	0.031	0.002		0.028	38.679	33.708		38	1904569	267026366	6.6	31.1
ecdc/worldwide	e3e1cd0e96ed	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-22	83	21	12	7			-12	-15	-10	450	38		412	0.169	0.014		0.154		8.444		91.556	141	13		128	45.631	52		45.07	0.053	0.005		0.048	66.509	73.034		64	1904569	267026366	6.6	31.1
ecdc/worldwide	6d3b368ff731	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-23	84	22	13	8			-11	-14	-9	514	48		466	0.192	0.018		0.175		9.339		90.661	64	10		54	14.222	26.316		13.107	0.024	0.004		0.02	30.189	56.18		27	1904569	267026366	6.6	31.1
ecdc/worldwide	b45d51e28840	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-24	85	23	14	9			-10	-13	-8	579	49		530	0.217	0.018		0.198		8.463		91.537	65	1		64	12.646	2.083		13.734	0.024	0		0.024	30.66	5.618		32	1904569	267026366	6.6	31.1
ecdc/worldwide	e713d1cd994b	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-25	86	24	15	10			-9	-12	-7	686	55		631	0.257	0.021		0.236		8.017		91.983	107	6		101	18.48	12.245		19.057	0.04	0.002		0.038	50.472	33.708		50.5	1904569	267026366	6.6	31.1
ecdc/worldwide	5fb66652ce42	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-26	87	25	16	11			-8	-11	-6	790	58		732	0.296	0.022		0.274		7.342		92.658	104	3		101	15.16	5.455		16.006	0.039	0.001		0.038	49.057	16.854		50.5	1904569	267026366	6.6	31.1
ecdc/worldwide	90c50534af07	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-27	88	26	17	12			-7	-10	-5	893	78		815	0.334	0.029		0.305		8.735		91.265	103	20		83	13.038	34.483		11.339	0.039	0.007		0.031	48.585	112.36		41.5	1904569	267026366	6.6	31.1
ecdc/worldwide	4fa42e1b7726	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-28	89	27	18	13	1		-6	-9	-4	1046	87		959	0.392	0.033		0.359		8.317		91.683	153	9		144	17.133	11.538		17.669	0.057	0.003		0.054	72.17	50.562		72	1904569	267026366	6.6	31.1
ecdc/worldwide	508716163801	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-29	90	28	19	14	2		-5	-8	-3	1155	102		1053	0.433	0.038		0.394		8.831		91.169	109	15		94	10.421	17.241		9.802	0.041	0.006		0.035	51.415	84.27		47	1904569	267026366	6.6	31.1
ecdc/worldwide	0d5d7308c376	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-30	91	29	20	15	3		-4	-7	-2	1285	114		1171	0.481	0.043		0.439		8.872		91.128	130	12		118	11.255	11.765		11.206	0.049	0.004		0.044	61.321	67.416		59	1904569	267026366	6.6	31.1
ecdc/worldwide	44391089c8d3	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-31	92	30	21	16	4		-3	-6	-1	1414	122		1292	0.53	0.046		0.484		8.628		91.372	129	8		121	10.039	7.018		10.333	0.048	0.003		0.045	60.849	44.944		60.5	1904569	267026366	6.6	31.1
ecdc/worldwide	d939b05b5c3c	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-01	93	31	22	17	5		-2	-5	0	1528	136		1392	0.572	0.051		0.521		8.901		91.099	114	14		100	8.062	11.475		7.74	0.043	0.005		0.037	53.774	78.652		50	1904569	267026366	6.6	31.1
ecdc/worldwide	92e350b23b8e	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-02	94	32	23	18	6		-1	-4	1	1677	157		1520	0.628	0.059		0.569		9.362		90.638	149	21		128	9.751	15.441		9.195	0.056	0.008		0.048	70.283	117.978		64	1904569	267026366	6.6	31.1
ecdc/worldwide	82acc5b512fe	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-03	95	33	24	19	7		-0	-3	2	1790	170		1620	0.67	0.064		0.607		9.497		90.503	113	13		100	6.738	8.28		6.579	0.042	0.005		0.037	53.302	73.034		50	1904569	267026366	6.6	31.1
ecdc/worldwide	1797a3b49ff8	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-04	96	34	25	20	8		0	-2	3	1986	181		1805	0.744	0.068		0.676		9.114		90.886	196	11		185	10.95	6.471		11.42	0.073	0.004		0.069	92.453	61.798		92.5	1904569	267026366	6.6	31.1
ecdc/worldwide	1e9db3158241	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-05	97	35	26	21	9		1	-1	4	2092	191		1901	0.783	0.072		0.712		9.13		90.87	106	10		96	5.337	5.525		5.319	0.04	0.004		0.036	50	56.18		48	1904569	267026366	6.6	31.1
ecdc/worldwide	e4a783eb9472	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-06	98	36	27	22	10		2	0	5	2273	198		2075	0.851	0.074		0.777		8.711		91.289	181	7		174	8.652	3.665		9.153	0.068	0.003		0.065	85.377	39.326		87	1904569	267026366	6.6	31.1
ecdc/worldwide	1f3b87561c9d	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-07	99	37	28	23	11		3	1	6	2491	209		2282	0.933	0.078		0.855		8.39		91.61	218	11		207	9.591	5.556		9.976	0.082	0.004		0.078	102.83	61.798		103.5	1904569	267026366	6.6	31.1
ecdc/worldwide	eaca235a98b9	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-08	100	38	29	24	12		4	2	7	2738	221		2517	1.025	0.083		0.943		8.072		91.928	247	12		235	9.916	5.742		10.298	0.093	0.004		0.088	116.509	67.416		117.5	1904569	267026366	6.6	31.1
ecdc/worldwide	edae90a6fbc6	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-09	101	39	30	25	13		5	3	8	2956	240		2716	1.107	0.09		1.017		8.119		91.881	218	19		199	7.962	8.597		7.906	0.082	0.007		0.075	102.83	106.742		99.5	1904569	267026366	6.6	31.1
ecdc/worldwide	5102583ea560	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-04-10	102	40	31	26	14		6	4	9	3293	280		3013	1.233	0.105		1.128		8.503		91.497	337	40		297	11.401	16.667		10.935	0.126	0.015		0.111	158.962	224.719		148.5	1904569	267026366	6.6	31.1
