dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	e37193d47096	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-01-30	31	1					-69	-69	-70	1			1	0			0				100	1			1					0			0	0.137			0.143	3287263	1326093247	7.3	28.7
ecdc/worldwide	c7d108c9c644	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-02-02	34	4					-66	-66	-67	2			2	0			0				100	1			1	100			100	0			0	0.137			0.143	3287263	1326093247	7.3	28.7
ecdc/worldwide	2303d47e3f71	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-02-04	36	6					-64	-64	-65	3			3	0			0				100	1			1	50			50	0			0	0.137			0.143	3287263	1326093247	7.3	28.7
ecdc/worldwide	bcc9469b32ec	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-03	64	34					-36	-36	-37	5			5	0			0				100	2			2	66.667			66.667	0			0	0.274			0.285	3287263	1326093247	7.3	28.7
ecdc/worldwide	c28a8c2532f3	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-04	65	35					-35	-35	-36	6			6	0			0				100	1			1	20			20	0			0	0.137			0.143	3287263	1326093247	7.3	28.7
ecdc/worldwide	664d0b0ec9f4	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-05	66	36	1				-34	-34	-35	28			28	0.002			0.002				100	22			22	366.667			366.667	0.002			0.002	3.01			3.136	3287263	1326093247	7.3	28.7
ecdc/worldwide	1d8529a375f4	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-06	67	37	2				-33	-33	-34	29			29	0.002			0.002				100	1			1	3.571			3.571	0			0	0.137			0.143	3287263	1326093247	7.3	28.7
ecdc/worldwide	81f1ec39f3f9	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-07	68	38	3				-32	-32	-33	31			31	0.002			0.002				100	2			2	6.897			6.897	0			0	0.274			0.285	3287263	1326093247	7.3	28.7
ecdc/worldwide	0aa81110d2ea	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-08	69	39	4				-31	-31	-32	34			34	0.003			0.003				100	3			3	9.677			9.677	0			0	0.411			0.428	3287263	1326093247	7.3	28.7
ecdc/worldwide	426cf9abd64e	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-10	71	41	6				-29	-29	-30	44			44	0.003			0.003				100	10			10	29.412			29.412	0.001			0.001	1.368			1.425	3287263	1326093247	7.3	28.7
ecdc/worldwide	237caaa6b5c8	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-11	72	42	7				-28	-28	-29	50			50	0.004			0.004				100	6			6	13.636			13.636	0			0	0.821			0.855	3287263	1326093247	7.3	28.7
ecdc/worldwide	2682b8710386	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-12	73	43	8				-27	-27	-28	73			73	0.006			0.006				100	23			23	46			46	0.002			0.002	3.147			3.278	3287263	1326093247	7.3	28.7
ecdc/worldwide	0e09f45ad175	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-13	74	44	9				-26	-26	-27	75	1		74	0.006	0		0.006		1.333		98.667	2	1		1	2.74			1.37	0	0		0	0.274	3.311		0.143	3287263	1326093247	7.3	28.7
ecdc/worldwide	e39593d0545a	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-14	75	45	10				-25	-25	-26	83	2		81	0.006	0		0.006		2.41		97.59	8	1		7	10.667	100		9.459	0.001	0		0.001	1.095	3.311		0.998	3287263	1326093247	7.3	28.7
ecdc/worldwide	32156e694be4	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-15	76	46	11				-24	-24	-25	90	2		88	0.007	0		0.007		2.222		97.778	7			7	8.434			8.642	0.001			0.001	0.958			0.998	3287263	1326093247	7.3	28.7
ecdc/worldwide	c1f1a20d927f	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-16	77	47	12				-23	-23	-24	93	2		91	0.007	0		0.007		2.151		97.849	3			3	3.333			3.409	0			0	0.411			0.428	3287263	1326093247	7.3	28.7
ecdc/worldwide	dc75e40a5988	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-17	78	48	13	1			-22	-22	-23	125	3		122	0.009	0		0.009		2.4		97.6	32	1		31	34.409	50		34.066	0.002	0		0.002	4.379	3.311		4.418	3287263	1326093247	7.3	28.7
ecdc/worldwide	b2ad0b947b68	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-18	79	49	14	2			-21	-21	-22	137	3		134	0.01	0		0.01		2.19		97.81	12			12	9.6			9.836	0.001			0.001	1.642			1.71	3287263	1326093247	7.3	28.7
ecdc/worldwide	9db2b88092a6	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-19	80	50	15	3			-20	-20	-21	165	3		162	0.012	0		0.012		1.818		98.182	28			28	20.438			20.896	0.002			0.002	3.831			3.991	3287263	1326093247	7.3	28.7
ecdc/worldwide	de6258462f57	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-20	81	51	16	4			-19	-19	-20	191	4		187	0.014	0		0.014		2.094		97.906	26	1		25	15.758	33.333		15.432	0.002	0		0.002	3.558	3.311		3.563	3287263	1326093247	7.3	28.7
ecdc/worldwide	ed5c4f9d3a73	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-21	82	52	17	5			-18	-18	-19	231	4		227	0.017	0		0.017		1.732		98.268	40			40	20.942			21.39	0.003			0.003	5.473			5.701	3287263	1326093247	7.3	28.7
ecdc/worldwide	17cdf856d2dc	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-22	83	53	18	6			-17	-17	-18	320	4		316	0.024	0		0.024		1.25		98.75	89			89	38.528			39.207	0.007			0.007	12.178			12.685	3287263	1326093247	7.3	28.7
ecdc/worldwide	37a714d8f0b0	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-23	84	54	19	7			-16	-16	-17	439	7		432	0.033	0.001		0.033		1.595		98.405	119	3		116	37.188	75		36.709	0.009	0		0.009	16.284	9.934		16.534	3287263	1326093247	7.3	28.7
ecdc/worldwide	79a6b73bd81f	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-24	85	55	20	8			-15	-15	-16	492	9		483	0.037	0.001		0.036		1.829		98.171	53	2		51	12.073	28.571		11.806	0.004	0		0.004	7.252	6.623		7.269	3287263	1326093247	7.3	28.7
