dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	744a4186ec28	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-25	57	1					-37	-37	-38	1			1	0.003			0.003				100	1			1					0.003			0.003	1.174			1.229	438317	38872655	3.9	21.2
ecdc/worldwide	5c15a2c18518	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-26	58	2					-36	-36	-37	5			5	0.013			0.013				100	4			4	400			400	0.01			0.01	4.695			4.914	438317	38872655	3.9	21.2
ecdc/worldwide	eece84617ebb	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-28	60	4					-34	-34	-35	6			6	0.015			0.015				100	1			1	20			20	0.003			0.003	1.174			1.229	438317	38872655	3.9	21.2
ecdc/worldwide	0e64bf98d1cb	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-02-29	61	5					-33	-33	-34	7			7	0.018			0.018				100	1			1	16.667			16.667	0.003			0.003	1.174			1.229	438317	38872655	3.9	21.2
ecdc/worldwide	692056d057f0	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-01	62	6	1				-32	-32	-33	13			13	0.033			0.033				100	6			6	85.714			85.714	0.015			0.015	7.042			7.371	438317	38872655	3.9	21.2
ecdc/worldwide	63a77174456e	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-02	63	7	2				-31	-31	-32	19			19	0.049			0.049				100	6			6	46.154			46.154	0.015			0.015	7.042			7.371	438317	38872655	3.9	21.2
ecdc/worldwide	1caef8737a38	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-03	64	8	3				-30	-30	-31	21			21	0.054			0.054				100	2			2	10.526			10.526	0.005			0.005	2.347			2.457	438317	38872655	3.9	21.2
ecdc/worldwide	07e91e7b202c	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-04	65	9	4				-29	-29	-30	26			26	0.067			0.067				100	5			5	23.81			23.81	0.013			0.013	5.869			6.143	438317	38872655	3.9	21.2
ecdc/worldwide	2e8f29add91f	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-05	66	10	5				-28	-28	-29	31			31	0.08			0.08				100	5			5	19.231			19.231	0.013			0.013	5.869			6.143	438317	38872655	3.9	21.2
ecdc/worldwide	88f64da913bc	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-06	67	11	6				-27	-27	-28	38	2		36	0.098	0.005		0.093		5.263		94.737	7	2		5	22.581			16.129	0.018	0.005		0.013	8.216	45.455		6.143	438317	38872655	3.9	21.2
ecdc/worldwide	e7966b0bce7f	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-08	69	13	8				-25	-25	-26	54	2		52	0.139	0.005		0.134		3.704		96.296	16			16	42.105			44.444	0.041			0.041	18.779			19.656	438317	38872655	3.9	21.2
ecdc/worldwide	ac2ad28f8364	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-09	70	14	9				-24	-24	-25	61	6		55	0.157	0.015		0.141		9.836		90.164	7	4		3	12.963	200		5.769	0.018	0.01		0.008	8.216	90.909		3.686	438317	38872655	3.9	21.2
ecdc/worldwide	847aca7a1b63	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-12	73	17	12				-21	-21	-22	70	8		62	0.18	0.021		0.159		11.429		88.571	9	2		7	14.754	33.333		12.727	0.023	0.005		0.018	10.563	45.455		8.6	438317	38872655	3.9	21.2
ecdc/worldwide	85df2a2f6220	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-13	74	18	13				-20	-20	-21	74	8		66	0.19	0.021		0.17		10.811		89.189	4			4	5.714			6.452	0.01			0.01	4.695			4.914	438317	38872655	3.9	21.2
ecdc/worldwide	8e308f2e6255	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-14	75	19	14				-19	-19	-20	85	9		76	0.219	0.023		0.196		10.588		89.412	11	1		10	14.865	12.5		15.152	0.028	0.003		0.026	12.911	22.727		12.285	438317	38872655	3.9	21.2
ecdc/worldwide	4001eb51d2cc	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-16	77	21	16	1			-17	-17	-18	124	9		115	0.319	0.023		0.296		7.258		92.742	39			39	45.882			51.316	0.1			0.1	45.775			47.912	438317	38872655	3.9	21.2
ecdc/worldwide	8ff26757d56e	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-18	79	23	18	3			-15	-15	-16	154	11		143	0.396	0.028		0.368		7.143		92.857	30	2		28	24.194	22.222		24.348	0.077	0.005		0.072	35.211	45.455		34.398	438317	38872655	3.9	21.2
ecdc/worldwide	f88a7a53293a	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-19	80	24	19	4			-14	-14	-15	164	12		152	0.422	0.031		0.391		7.317		92.683	10	1		9	6.494	9.091		6.294	0.026	0.003		0.023	11.737	22.727		11.057	438317	38872655	3.9	21.2
ecdc/worldwide	81147fc38b39	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-20	81	25	20	5			-13	-13	-14	177	12		165	0.455	0.031		0.424		6.78		93.22	13			13	7.927			8.553	0.033			0.033	15.258			15.971	438317	38872655	3.9	21.2
ecdc/worldwide	90529a7c3e1c	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-21	82	26	21	6			-12	-12	-13	193	14		179	0.496	0.036		0.46		7.254		92.746	16	2		14	9.04	16.667		8.485	0.041	0.005		0.036	18.779	45.455		17.199	438317	38872655	3.9	21.2
ecdc/worldwide	48ba81bc8659	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-22	83	27	22	7			-11	-11	-12	214	17		197	0.551	0.044		0.507		7.944		92.056	21	3		18	10.881	21.429		10.056	0.054	0.008		0.046	24.648	68.182		22.113	438317	38872655	3.9	21.2
ecdc/worldwide	254723baa44c	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-23	84	28	23	8			-10	-10	-11	233	20		213	0.599	0.051		0.548		8.584		91.416	19	3		16	8.879	17.647		8.122	0.049	0.008		0.041	22.3	68.182		19.656	438317	38872655	3.9	21.2
ecdc/worldwide	f1c2cee84b4a	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-24	85	29	24	9			-9	-9	-10	266	23		243	0.684	0.059		0.625		8.647		91.353	33	3		30	14.163	15		14.085	0.085	0.008		0.077	38.732	68.182		36.855	438317	38872655	3.9	21.2
ecdc/worldwide	eda019dee102	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-25	86	30	25	10			-8	-8	-9	316	27		289	0.813	0.069		0.743		8.544		91.456	50	4		46	18.797	17.391		18.93	0.129	0.01		0.118	58.685	90.909		56.511	438317	38872655	3.9	21.2
ecdc/worldwide	d232f47d58e0	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-26	87	31	26	11			-7	-7	-8	346	29		317	0.89	0.075		0.815		8.382		91.618	30	2		28	9.494	7.407		9.689	0.077	0.005		0.072	35.211	45.455		34.398	438317	38872655	3.9	21.2
ecdc/worldwide	30a964559ac3	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-27	88	32	27	12			-6	-6	-7	382	36		346	0.983	0.093		0.89		9.424		90.576	36	7		29	10.405	24.138		9.148	0.093	0.018		0.075	42.254	159.091		35.627	438317	38872655	3.9	21.2
ecdc/worldwide	98d40da9f59f	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-28	89	33	28	13			-5	-5	-6	458	40		418	1.178	0.103		1.075		8.734		91.266	76	4		72	19.895	11.111		20.809	0.196	0.01		0.185	89.202	90.909		88.452	438317	38872655	3.9	21.2
ecdc/worldwide	0fd9becd2875	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-29	90	34	29	14			-4	-4	-5	506	42		464	1.302	0.108		1.194		8.3		91.7	48	2		46	10.48	5		11.005	0.123	0.005		0.118	56.338	45.455		56.511	438317	38872655	3.9	21.2
ecdc/worldwide	cbda84ea04b8	8ee8fe58fd84	total-country	Iraq	IQ	Iraq			33	44	Asia	Western Asia	2020-03-30	91	35	30	15			-3	-3	-4	547	42		505	1.407	0.108		1.299		7.678		92.322	41			41	8.103			8.836	0.105			0.105	48.122			50.369	438317	38872655	3.9	21.2
