dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	9508a921388d	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-12	73	1					-16	-19	-13	2			2	0.071210616078645			0.071210616078645				100	2			2					41.66666666666667			45.45454545454545	10991	2808570	7.5	29.4
ecdc/worldwide	a79f1bb6dbf5	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-13	74	2					-15	-18	-12	6			6	0.21363184823593498			0.21363184823593498				100	4			4	200			200	83.33333333333334			90.9090909090909	10991	2808570	7.5	29.4
ecdc/worldwide	e15db7f9f546	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-14	75	3					-14	-17	-11	8			8	0.28484246431458			0.28484246431458				100	2			2	33.333333333333336			33.333333333333336	41.66666666666667			45.45454545454545	10991	2808570	7.5	29.4
ecdc/worldwide	051289fb6603	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-16	77	5	1				-12	-15	-9	10			10	0.356053080393225			0.356053080393225				100	2			2	25			25	41.66666666666667			45.45454545454545	10991	2808570	7.5	29.4
ecdc/worldwide	137e6071ca3e	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-18	79	7	3				-10	-13	-7	13			13	0.4628690045111925			0.4628690045111925				100	3			3	30			30	62.5			68.18181818181817	10991	2808570	7.5	29.4
ecdc/worldwide	5671f3472c02	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-19	80	8	4				-9	-12	-6	15			15	0.5340796205898375			0.5340796205898375				100	2			2	15.384615384615385			15.384615384615385	41.66666666666667			45.45454545454545	10991	2808570	7.5	29.4
ecdc/worldwide	2a8ac7f3f828	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-20	81	9	5				-8	-11	-5	16			16	0.56968492862916			0.56968492862916				100	1			1	6.666666666666667			6.666666666666667	20.833333333333336			22.727272727272727	10991	2808570	7.5	29.4
ecdc/worldwide	3aafd6512032	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-21	82	10	6				-7	-10	-4	19			19	0.6765008527471276			0.6765008527471276				100	3			3	18.75			18.75	62.5			68.18181818181817	10991	2808570	7.5	29.4
ecdc/worldwide	a776c8e638a9	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-25	86	14	10				-3	-6	0	21	1		20	0.7477114688257726	0.0356053080393225		0.71210616078645		4.761904761904762		95.23809523809523	2	1		1	10.526315789473685			5.2631578947368425	41.66666666666667	100		22.727272727272727	10991	2808570	7.5	29.4
ecdc/worldwide	9a1b363498c3	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-26	87	15	11				-2	-5	1	25	1		24	0.8901327009830625	0.0356053080393225		0.8545273929437399		4		96	4			4	19.047619047619047			20	83.33333333333334			90.9090909090909	10991	2808570	7.5	29.4
ecdc/worldwide	09212fd4bd74	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-27	88	16	12				-1	-4	2	26	1		25	0.925738009022385	0.0356053080393225		0.8901327009830625		3.8461538461538463		96.15384615384616	1			1	4			4.166666666666667	20.833333333333336			22.727272727272727	10991	2808570	7.5	29.4
ecdc/worldwide	fc81400fb8dc	5fc0e310e579	total-country	Jamaica	JM	Jamaica			18.25	-77.5	Americas	Caribbean	2020-03-29	90	18	14				1	-2	4	32	1		31	1.13936985725832	0.0356053080393225		1.1037645492189976		3.125		96.875	6			6	23.076923076923077			24	125			136.36363636363635	10991	2808570	7.5	29.4
