dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	3a5af687d84d	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-03	64	1					-29	-28	-30	1			1	0.00924159412323333			0.00924159412323333				100	1			1					4.201680672268907			4.23728813559322	89342	10820644	3.4	23.5
ecdc/worldwide	e411306935a6	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-16	77	14	1				-16	-15	-17	15			15	0.13862391184849995			0.13862391184849995				100	14			14	1400			1400	58.82352941176471			59.32203389830508	89342	10820644	3.4	23.5
ecdc/worldwide	3ec3fa376035	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-17	78	15	2				-15	-14	-16	16			16	0.14786550597173329			0.14786550597173329				100	1			1	6.666666666666667			6.666666666666667	4.201680672268907			4.23728813559322	89342	10820644	3.4	23.5
ecdc/worldwide	0aceab9a8cdb	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-18	79	16	3				-14	-13	-15	35			35	0.32345579431316657			0.32345579431316657				100	19			19	118.75			118.75	79.83193277310924			80.50847457627118	89342	10820644	3.4	23.5
ecdc/worldwide	710508c622d5	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-19	80	17	4				-13	-12	-14	52			52	0.48056289440813316			0.48056289440813316				100	17			17	48.57142857142857			48.57142857142857	71.42857142857143			72.03389830508475	89342	10820644	3.4	23.5
ecdc/worldwide	e8eac36d8e48	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-20	81	18	5				-12	-11	-13	56			56	0.5175292709010665			0.5175292709010665				100	4			4	7.6923076923076925			7.6923076923076925	16.806722689075627			16.94915254237288	89342	10820644	3.4	23.5
ecdc/worldwide	9afe41cc2d5c	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-21	82	19	6				-11	-10	-12	69			69	0.6376699945030998			0.6376699945030998				100	13			13	23.214285714285715			23.214285714285715	54.621848739495796			55.08474576271186	89342	10820644	3.4	23.5
ecdc/worldwide	20d23097144b	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-22	83	20	7				-10	-9	-11	84			84	0.7762939063515998			0.7762939063515998				100	15			15	21.73913043478261			21.73913043478261	63.02521008403361			63.559322033898304	89342	10820644	3.4	23.5
ecdc/worldwide	2f95fe6feccb	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-23	84	21	8				-9	-8	-10	99			99	0.9149178182000997			0.9149178182000997				100	15			15	17.857142857142858			17.857142857142858	63.02521008403361			63.559322033898304	89342	10820644	3.4	23.5
ecdc/worldwide	7503b002bd55	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-24	85	22	9	1			-8	-7	-9	112			112	1.035058541802133			1.035058541802133				100	13			13	13.131313131313131			13.131313131313131	54.621848739495796			55.08474576271186	89342	10820644	3.4	23.5
ecdc/worldwide	a800cbbab4d0	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-25	86	23	10	2			-7	-6	-8	127			127	1.173682453650633			1.173682453650633				100	15			15	13.392857142857142			13.392857142857142	63.02521008403361			63.559322033898304	89342	10820644	3.4	23.5
ecdc/worldwide	56298596b42c	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-26	87	24	11	3			-6	-5	-7	153			153	1.4139639008546996			1.4139639008546996				100	26			26	20.47244094488189			20.47244094488189	109.24369747899159			110.16949152542372	89342	10820644	3.4	23.5
ecdc/worldwide	c0ad7822133e	9369de8c5548	total-country	Jordan	JO	Jordan			31	36	Asia	Western Asia	2020-03-27	88	25	12	4			-5	-4	-6	172			172	1.5895541891961327			1.5895541891961327				100	19			19	12.418300653594772			12.418300653594772	79.83193277310924			80.50847457627118	89342	10820644	3.4	23.5
