dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f9046b5abe00	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-15	16	1					-75	-81	-70	1			1	0.001			0.001				100	1			1					0.31			0.312	377915	125507472	10.2	48.6
ecdc/worldwide	f0433335ec96	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-24	25	10					-66	-72	-61	2			2	0.002			0.002				100	1			1	100			100	0.31			0.312	377915	125507472	10.2	48.6
ecdc/worldwide	74647ea50bfa	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-26	27	12					-64	-70	-59	3			3	0.002			0.002				100	1			1	50			50	0.31			0.312	377915	125507472	10.2	48.6
ecdc/worldwide	b64897a9449d	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-28	29	14					-62	-68	-57	4			4	0.003			0.003				100	1			1	33.333			33.333	0.31			0.312	377915	125507472	10.2	48.6
ecdc/worldwide	75141fd72cae	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-29	30	15					-61	-67	-56	7			7	0.006			0.006				100	3			3	75			75	0.93			0.937	377915	125507472	10.2	48.6
ecdc/worldwide	8d8d7a1c9296	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-30	31	16	1				-60	-66	-55	11			11	0.009			0.009				100	4			4	57.143			57.143	1.24			1.249	377915	125507472	10.2	48.6
ecdc/worldwide	90e354da1e31	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-01-31	32	17	2				-59	-65	-54	14			14	0.011			0.011				100	3			3	27.273			27.273	0.93			0.937	377915	125507472	10.2	48.6
ecdc/worldwide	5ea67bf839e4	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-01	33	18	3				-58	-64	-53	15			15	0.012			0.012				100	1			1	7.143			7.143	0.31			0.312	377915	125507472	10.2	48.6
ecdc/worldwide	130645297822	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-02	34	19	4				-57	-63	-52	19			19	0.015			0.015				100	4			4	26.667			26.667	1.24			1.249	377915	125507472	10.2	48.6
ecdc/worldwide	4b66f69e76b0	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-03	35	20	5				-56	-62	-51	20			20	0.016			0.016				100	1			1	5.263			5.263	0.31			0.312	377915	125507472	10.2	48.6
ecdc/worldwide	35607e9d32ba	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-05	37	22	7				-54	-60	-49	35			35	0.028			0.028				100	15			15	75			75	4.65			4.685	377915	125507472	10.2	48.6
ecdc/worldwide	79f31ec21a7c	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-06	38	23	8				-53	-59	-48	45			45	0.036			0.036				100	10			10	28.571			28.571	3.1			3.123	377915	125507472	10.2	48.6
ecdc/worldwide	a00aac7df353	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-07	39	24	9				-52	-58	-47	86			86	0.069			0.069				100	41			41	91.111			91.111	12.709			12.804	377915	125507472	10.2	48.6
ecdc/worldwide	071b5561747f	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-08	40	25	10				-51	-57	-46	89			89	0.071			0.071				100	3			3	3.488			3.488	0.93			0.937	377915	125507472	10.2	48.6
ecdc/worldwide	d2da4bc364ea	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-10	42	27	12				-49	-55	-44	95			95	0.076			0.076				100	6			6	6.742			6.742	1.86			1.874	377915	125507472	10.2	48.6
ecdc/worldwide	4835e5a8e878	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-11	43	28	13	1			-48	-54	-43	160			160	0.127			0.127				100	65			65	68.421			68.421	20.149			20.3	377915	125507472	10.2	48.6
ecdc/worldwide	e0122112c932	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-12	44	29	14	2			-47	-53	-42	199			199	0.159			0.159				100	39			39	24.375			24.375	12.089			12.18	377915	125507472	10.2	48.6
ecdc/worldwide	299be5e40cbc	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-13	45	30	15	3			-46	-52	-41	203	1		202	0.162	0.001		0.161		0.493		99.507	4	1		3	2.01			1.508	1.24	20		0.937	377915	125507472	10.2	48.6
ecdc/worldwide	59f55bf2c1e7	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-14	46	31	16	4			-45	-51	-40	251	1		250	0.2	0.001		0.199		0.398		99.602	48			48	23.645			23.762	14.879			14.991	377915	125507472	10.2	48.6
ecdc/worldwide	fe8aa6c112d9	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-15	47	32	17	5			-44	-50	-39	259	1		258	0.206	0.001		0.206		0.386		99.614	8			8	3.187			3.2	2.48			2.498	377915	125507472	10.2	48.6
ecdc/worldwide	4b7369c844e0	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-16	48	33	18	6			-43	-49	-38	407	1		406	0.324	0.001		0.323		0.246		99.754	148			148	57.143			57.364	45.877			46.221	377915	125507472	10.2	48.6
ecdc/worldwide	8b2366944817	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-17	49	34	19	7			-42	-48	-37	414	1		413	0.33	0.001		0.329		0.242		99.758	7			7	1.72			1.724	2.17			2.186	377915	125507472	10.2	48.6
ecdc/worldwide	0cf6e728838e	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-18	50	35	20	8			-41	-47	-36	513	1		512	0.409	0.001		0.408		0.195		99.805	99			99	23.913			23.971	30.688			30.918	377915	125507472	10.2	48.6
ecdc/worldwide	92e6d45d2fc5	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-19	51	36	21	9			-40	-46	-35	608	1		607	0.484	0.001		0.484		0.164		99.836	95			95	18.519			18.555	29.448			29.669	377915	125507472	10.2	48.6
ecdc/worldwide	01ee6d9fb4db	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-20	52	37	22	10			-39	-45	-34	705	3		702	0.562	0.002		0.559		0.426		99.574	97	2		95	15.954	200		15.651	30.068	40		29.669	377915	125507472	10.2	48.6
ecdc/worldwide	647e2ceef9f2	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-21	53	38	23	11			-38	-44	-33	727	3		724	0.579	0.002		0.577		0.413		99.587	22			22	3.121			3.134	6.82			6.871	377915	125507472	10.2	48.6
ecdc/worldwide	d255aad8b822	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-22	54	39	24	12			-37	-43	-32	739	3		736	0.589	0.002		0.586		0.406		99.594	12			12	1.651			1.657	3.72			3.748	377915	125507472	10.2	48.6
ecdc/worldwide	3e20ec1806c8	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-23	55	40	25	13			-36	-42	-31	766	3		763	0.61	0.002		0.608		0.392		99.608	27			27	3.654			3.668	8.369			8.432	377915	125507472	10.2	48.6
ecdc/worldwide	e30843213831	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-24	56	41	26	14			-35	-41	-30	835	4		831	0.665	0.003		0.662		0.479		99.521	69	1		68	9.008	33.333		8.912	21.389	20		21.237	377915	125507472	10.2	48.6
ecdc/worldwide	e1a69098ed58	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-26	58	43	28	16			-33	-39	-28	855	5		850	0.681	0.004		0.677		0.585		99.415	20	1		19	2.395	25		2.286	6.2	20		5.934	377915	125507472	10.2	48.6
ecdc/worldwide	082360e27750	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-27	59	44	29	17			-32	-38	-27	891	7		884	0.71	0.006		0.704		0.786		99.214	36	2		34	4.211	40		4	11.159	40		10.618	377915	125507472	10.2	48.6
ecdc/worldwide	4d962d5f6953	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-28	60	45	30	18			-31	-37	-26	915	7		908	0.729	0.006		0.723		0.765		99.235	24			24	2.694			2.715	7.44			7.495	377915	125507472	10.2	48.6
ecdc/worldwide	58bbd2d19aee	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-02-29	61	46	31	19			-30	-36	-25	935	9		926	0.745	0.007		0.738		0.963		99.037	20	2		18	2.186	28.571		1.982	6.2	40		5.621	377915	125507472	10.2	48.6
ecdc/worldwide	aff14b71a0e8	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-01	62	47	32	20			-29	-35	-24	944	11		933	0.752	0.009		0.743		1.165		98.835	9	2		7	0.963	22.222		0.756	2.79	40		2.186	377915	125507472	10.2	48.6
ecdc/worldwide	60435f394f7a	149e61b9aa10	total-country	Japan	JP	Japan			36	138	Asia	Eastern Asia	2020-03-02	63	48	33	21			-28	-34	-23	959	12		947	0.764	0.01		0.755		1.251		98.749	15	1		14	1.589	9.091		1.501	4.65	20		4.372	377915	125507472	10.2	48.6
