dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f0324bd43548	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-14	75	1					-20	-22	-18	1			1	0.002			0.002				100	1			1					0.002			0.002	6.25			6.494	580367	53527936	5.2	20
ecdc/worldwide	1a14a8073248	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-16	77	3					-18	-20	-16	3			3	0.006			0.006				100	2			2	200			200	0.004			0.004	12.5			12.987	580367	53527936	5.2	20
ecdc/worldwide	1c6e95e1a8be	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-18	79	5					-16	-18	-14	4			4	0.007			0.007				100	1			1	33.333			33.333	0.002			0.002	6.25			6.494	580367	53527936	5.2	20
ecdc/worldwide	dc0a465a4dfa	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-19	80	6					-15	-17	-13	7			7	0.013			0.013				100	3			3	75			75	0.006			0.006	18.75			19.481	580367	53527936	5.2	20
ecdc/worldwide	52228bc1ef54	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-23	84	10	1				-11	-13	-9	15			15	0.028			0.028				100	8			8	114.286			114.286	0.015			0.015	50			51.948	580367	53527936	5.2	20
ecdc/worldwide	8395d5f2cb4e	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-24	85	11	2				-10	-12	-8	16			16	0.03			0.03				100	1			1	6.667			6.667	0.002			0.002	6.25			6.494	580367	53527936	5.2	20
ecdc/worldwide	7d2f2c3c38e2	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-25	86	12	3				-9	-11	-7	25			25	0.047			0.047				100	9			9	56.25			56.25	0.017			0.017	56.25			58.442	580367	53527936	5.2	20
ecdc/worldwide	d43ab242676b	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-27	88	14	5				-7	-9	-5	31	1		30	0.058	0.002		0.056		3.226		96.774	6	1		5	24			20	0.011	0.002		0.009	37.5	75		32.468	580367	53527936	5.2	20
ecdc/worldwide	780b9fa99561	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-29	90	16	7				-5	-7	-3	38	1		37	0.071	0.002		0.069		2.632		97.368	7			7	22.581			23.333	0.013			0.013	43.75			45.455	580367	53527936	5.2	20
ecdc/worldwide	04253e4113e1	45eaa8ad52c2	total-country	Kenya	KE	Kenya			1	38	Africa	Eastern Africa	2020-03-30	91	17	8				-4	-6	-2	42	1		41	0.078	0.002		0.077		2.381		97.619	4			4	10.526			10.811	0.007			0.007	25			25.974	580367	53527936	5.2	20
