dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	0c530f7791af	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-19	80	1					-17	-16	-18	3			3	0.05			0.05				100	3			3					0.05			0.05	8.671			8.671	199951	5964897	6.3	27.3
ecdc/worldwide	178206ef5ba4	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-20	81	2					-16	-15	-17	6			6	0.101			0.101				100	3			3	100			100	0.05			0.05	8.671			8.671	199951	5964897	6.3	27.3
ecdc/worldwide	11a1bf9daad7	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-22	83	4	1				-14	-13	-15	14			14	0.235			0.235				100	8			8	133.333			133.333	0.134			0.134	23.121			23.121	199951	5964897	6.3	27.3
ecdc/worldwide	6fb46f8cca50	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-24	85	6	3				-12	-11	-13	16			16	0.268			0.268				100	2			2	14.286			14.286	0.034			0.034	5.78			5.78	199951	5964897	6.3	27.3
ecdc/worldwide	92b4a795d8e6	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-25	86	7	4				-11	-10	-12	42			42	0.704			0.704				100	26			26	162.5			162.5	0.436			0.436	75.145			75.145	199951	5964897	6.3	27.3
ecdc/worldwide	5c58e4548035	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-26	87	8	5				-10	-9	-11	44			44	0.738			0.738				100	2			2	4.762			4.762	0.034			0.034	5.78			5.78	199951	5964897	6.3	27.3
ecdc/worldwide	982a307eec82	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-28	89	10	7				-8	-7	-9	58			58	0.972			0.972				100	14			14	31.818			31.818	0.235			0.235	40.462			40.462	199951	5964897	6.3	27.3
ecdc/worldwide	d71b9825db16	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-29	90	11	8				-7	-6	-8	84			84	1.408			1.408				100	26			26	44.828			44.828	0.436			0.436	75.145			75.145	199951	5964897	6.3	27.3
ecdc/worldwide	4918ab15360a	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-01	93	14	11	1			-4	-3	-5	107			107	1.794			1.794				100	23			23	27.381			27.381	0.386			0.386	66.474			66.474	199951	5964897	6.3	27.3
ecdc/worldwide	d87621de6f80	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-02	94	15	12	2			-3	-2	-4	112	1		111	1.878	0.017		1.861		0.893		99.107	5	1		4	4.673			3.738	0.084	0.017		0.067	14.451	100		11.561	199951	5964897	6.3	27.3
