dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	929b1febb755	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-02-24	56	1					-42	-42		3			3	0.100210241085798			0.100210241085798				100	3			3					3.7128712871287126			3.7128712871287126	17818	2993706	2.3	29.7
ecdc/worldwide	468ffbe69dbc	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-02-25	57	2					-41	-41		5			5	0.16701706847633			0.16701706847633				100	2			2	66.66666666666667			66.66666666666667	2.4752475247524752			2.4752475247524752	17818	2993706	2.3	29.7
ecdc/worldwide	72d34c88b0a6	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-02-26	58	3	1				-40	-40		11			11	0.367437550647926			0.367437550647926				100	6			6	120			120	7.425742574257425			7.425742574257425	17818	2993706	2.3	29.7
ecdc/worldwide	558566453479	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-02-27	59	4	2				-39	-39		26			26	0.8684887560769161			0.8684887560769161				100	15			15	136.36363636363637			136.36363636363637	18.564356435643564			18.564356435643564	17818	2993706	2.3	29.7
ecdc/worldwide	c35958b6af1a	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-02-28	60	5	3				-38	-38		43			43	1.436346788896438			1.436346788896438				100	17			17	65.38461538461539			65.38461538461539	21.039603960396043			21.039603960396043	17818	2993706	2.3	29.7
ecdc/worldwide	a16acd9e2454	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-02-29	61	6	4				-37	-37		45			45	1.50315361628697			1.50315361628697				100	2			2	4.651162790697675			4.651162790697675	2.4752475247524752			2.4752475247524752	17818	2993706	2.3	29.7
ecdc/worldwide	a7a0240e675d	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-02	63	8	6				-35	-35		46			46	1.536557029982236			1.536557029982236				100	1			1	2.2222222222222223			2.2222222222222223	1.2376237623762376			1.2376237623762376	17818	2993706	2.3	29.7
ecdc/worldwide	8ec715f63eba	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-03	64	9	7				-34	-34		56			56	1.870591166934896			1.870591166934896				100	10			10	21.73913043478261			21.73913043478261	12.376237623762377			12.376237623762377	17818	2993706	2.3	29.7
ecdc/worldwide	ffb1ff225db3	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-06	67	12	10				-31	-31		58			58	1.937397994325428			1.937397994325428				100	2			2	3.5714285714285716			3.5714285714285716	2.4752475247524752			2.4752475247524752	17818	2993706	2.3	29.7
ecdc/worldwide	cb0a5360db09	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-08	69	14	12				-29	-29		61			61	2.037608235411226			2.037608235411226				100	3			3	5.172413793103448			5.172413793103448	3.7128712871287126			3.7128712871287126	17818	2993706	2.3	29.7
ecdc/worldwide	c623b0294f56	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-09	70	15	13				-28	-28		64			64	2.1378184764970243			2.1378184764970243				100	3			3	4.918032786885246			4.918032786885246	3.7128712871287126			3.7128712871287126	17818	2993706	2.3	29.7
ecdc/worldwide	afd1e816be1e	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-10	71	16	14				-27	-27		65			65	2.1712218901922897			2.1712218901922897				100	1			1	1.5625			1.5625	1.2376237623762376			1.2376237623762376	17818	2993706	2.3	29.7
ecdc/worldwide	bd21318107e6	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-11	72	17	15				-26	-26		69			69	2.304835544973354			2.304835544973354				100	4			4	6.153846153846154			6.153846153846154	4.9504950495049505			4.9504950495049505	17818	2993706	2.3	29.7
ecdc/worldwide	47941836e6e9	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-12	73	18	16				-25	-25		72			72	2.405045786059152			2.405045786059152				100	3			3	4.3478260869565215			4.3478260869565215	3.7128712871287126			3.7128712871287126	17818	2993706	2.3	29.7
ecdc/worldwide	e458a1abdc30	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-13	74	19	17				-24	-24		80			80	2.67227309562128			2.67227309562128				100	8			8	11.11111111111111			11.11111111111111	9.900990099009901			9.900990099009901	17818	2993706	2.3	29.7
ecdc/worldwide	641e4f9a39a0	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-14	75	20	18	1			-23	-23		100			100	3.3403413695265995			3.3403413695265995				100	20			20	25			25	24.752475247524753			24.752475247524753	17818	2993706	2.3	29.7
ecdc/worldwide	6b72e611c992	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-15	76	21	19	2			-22	-22		104			104	3.4739550243076645			3.4739550243076645				100	4			4	4			4	4.9504950495049505			4.9504950495049505	17818	2993706	2.3	29.7
ecdc/worldwide	0398674dd1d2	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-16	77	22	20	3			-21	-21		112			112	3.741182333869792			3.741182333869792				100	8			8	7.6923076923076925			7.6923076923076925	9.900990099009901			9.900990099009901	17818	2993706	2.3	29.7
ecdc/worldwide	b2f53e61fd27	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-17	78	23	21	4			-20	-20		123			123	4.108619884517719			4.108619884517719				100	11			11	9.821428571428571			9.821428571428571	13.613861386138614			13.613861386138614	17818	2993706	2.3	29.7
ecdc/worldwide	933c37a41020	4b340e3741da	total-country	Kuwait	KW	Kuwait			29.5	45.75	Asia	Western Asia	2020-03-18	79	24	22	5			-19	-19		130			130	4.3424437803845795			4.3424437803845795				100	7			7	5.691056910569106			5.691056910569106	8.663366336633665			8.663366336633665	17818	2993706	2.3	29.7
