dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	0567b7fda1d6	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-20	81	1					-15	-15		1			1	1.6143613586465193			1.6143613586465193				100	1			1					19.23076923076923			19.23076923076923	264	61944	6.1	40.5
ecdc/worldwide	4b301e2f0111	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-21	82	2					-14	-14		3	1		2	4.843084075939559	1.6143613586465193		3.2287227172930386		33.33333333333333		66.66666666666666	2	1		1	200			100	38.46153846153846			19.23076923076923	264	61944	6.1	40.5
ecdc/worldwide	896c07ec16a6	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-27	88	8					-8	-8		6	1		5	9.686168151879118	1.6143613586465193		8.071806793232597		16.666666666666664		83.33333333333334	3			3	100			150	57.692307692307686			57.692307692307686	264	61944	6.1	40.5
ecdc/worldwide	2aa88c316cff	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-28	89	9					-7	-7		8	1		7	12.914890869172154	1.6143613586465193		11.300529510525635		12.5		87.5	2			2	33.333333333333336			40	38.46153846153846			38.46153846153846	264	61944	6.1	40.5
ecdc/worldwide	6e3c1bf04868	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-03-31	92	12	1				-4	-4		12	1		11	19.372336303758235	1.6143613586465193		17.757974945111712		8.333333333333332		91.66666666666666	4			4	50			57.142857142857146	76.92307692307692			76.92307692307692	264	61944	6.1	40.5
ecdc/worldwide	55dbbf86c688	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-01	93	13	2				-3	-3		14	1		13	22.60105902105127	1.6143613586465193		20.98669766240475		7.142857142857142		92.85714285714286	2			2	16.666666666666668			18.181818181818183	38.46153846153846			38.46153846153846	264	61944	6.1	40.5
ecdc/worldwide	6ad06f27befd	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-02	94	14	3				-2	-2		22	1		21	35.515949890223425	1.6143613586465193		33.90158853157691		4.545454545454546		95.45454545454545	8			8	57.142857142857146			61.53846153846154	153.84615384615384			153.84615384615384	264	61944	6.1	40.5
ecdc/worldwide	18ca57808220	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-03	95	15	4				-1	-1		28	1		27	45.20211804210254	1.6143613586465193		43.58775668345602		3.571428571428571		96.42857142857143	6			6	27.272727272727273			28.571428571428573	115.38461538461537			115.38461538461537	264	61944	6.1	40.5
ecdc/worldwide	df35473ad3e7	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-04	96	16	5				0	0		29	1		28	46.81647940074906	1.6143613586465193		45.20211804210254		3.4482758620689653		96.55172413793103	1			1	3.5714285714285716			3.7037037037037037	19.23076923076923			19.23076923076923	264	61944	6.1	40.5
ecdc/worldwide	ba09ccae0a52	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-05	97	17	6				1	1		35	1		34	56.50264755262818	1.6143613586465193		54.88828619398166		2.857142857142857		97.14285714285714	6			6	20.689655172413794			21.428571428571427	115.38461538461537			115.38461538461537	264	61944	6.1	40.5
ecdc/worldwide	7a52174d9113	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-06	98	18	7				2	2		39	1		38	62.96009298721425	1.6143613586465193		61.345731628567734		2.564102564102564		97.43589743589743	4			4	11.428571428571429			11.764705882352942	76.92307692307692			76.92307692307692	264	61944	6.1	40.5
ecdc/worldwide	d8fecb6f4902	48928ad2b749	total-country	Cayman Islands	KY	Cayman Islands			19.5	-80.5	Americas	Caribbean	2020-04-08	100	20	9				4	4		45	1		44	72.64626113909337	1.6143613586465193		71.03189978044685		2.2222222222222223		97.77777777777777	6			6	15.384615384615385			15.789473684210526	115.38461538461537			115.38461538461537	264	61944	6.1	40.5
