dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	30b2e38b09ce	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-15	76	1					-19	-19	-20	6			6	0.031			0.031				100	6			6					9.146			9.259	2724900	19091949	8.2	31.6
ecdc/worldwide	91a7b8d84125	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-16	77	2					-18	-18	-19	9			9	0.047			0.047				100	3			3	50			50	4.573			4.63	2724900	19091949	8.2	31.6
ecdc/worldwide	590119216ae6	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-17	78	3	1				-17	-17	-18	11			11	0.058			0.058				100	2			2	22.222			22.222	3.049			3.086	2724900	19091949	8.2	31.6
ecdc/worldwide	e9aa875c0fb3	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-18	79	4	2				-16	-16	-17	33			33	0.173			0.173				100	22			22	200			200	33.537			33.951	2724900	19091949	8.2	31.6
ecdc/worldwide	484c06039a8b	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-19	80	5	3				-15	-15	-16	37			37	0.194			0.194				100	4			4	12.121			12.121	6.098			6.173	2724900	19091949	8.2	31.6
ecdc/worldwide	188477e686c9	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-20	81	6	4				-14	-14	-15	49			49	0.257			0.257				100	12			12	32.432			32.432	18.293			18.519	2724900	19091949	8.2	31.6
ecdc/worldwide	c18e37b6b10b	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-21	82	7	5				-13	-13	-14	53			53	0.278			0.278				100	4			4	8.163			8.163	6.098			6.173	2724900	19091949	8.2	31.6
ecdc/worldwide	722dc061021a	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-22	83	8	6				-12	-12	-13	56			56	0.293			0.293				100	3			3	5.66			5.66	4.573			4.63	2724900	19091949	8.2	31.6
ecdc/worldwide	650b1b15eaa1	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-23	84	9	7				-11	-11	-12	60			60	0.314			0.314				100	4			4	7.143			7.143	6.098			6.173	2724900	19091949	8.2	31.6
ecdc/worldwide	76289eb5300a	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-24	85	10	8				-10	-10	-11	62			62	0.325			0.325				100	2			2	3.333			3.333	3.049			3.086	2724900	19091949	8.2	31.6
ecdc/worldwide	493b85cbb514	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-25	86	11	9				-9	-9	-10	79			79	0.414			0.414				100	17			17	27.419			27.419	25.915			26.235	2724900	19091949	8.2	31.6
ecdc/worldwide	502eaa10422a	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-26	87	12	10				-8	-8	-9	88			88	0.461			0.461				100	9			9	11.392			11.392	13.72			13.889	2724900	19091949	8.2	31.6
ecdc/worldwide	115ec5be07a9	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-27	88	13	11	1			-7	-7	-8	120			120	0.629			0.629				100	32			32	36.364			36.364	48.78			49.383	2724900	19091949	8.2	31.6
ecdc/worldwide	a73a9a63f5bb	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-28	89	14	12	2			-6	-6	-7	193			193	1.011			1.011				100	73			73	60.833			60.833	111.28			112.654	2724900	19091949	8.2	31.6
ecdc/worldwide	b3f8d51eab56	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-29	90	15	13	3			-5	-5	-6	229			229	1.199			1.199				100	36			36	18.653			18.653	54.878			55.556	2724900	19091949	8.2	31.6
ecdc/worldwide	0446623aa549	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-30	91	16	14	4			-4	-4	-5	284	1		283	1.488	0.005		1.482		0.352		99.648	55	1		54	24.017			23.581	83.841	100		83.333	2724900	19091949	8.2	31.6
ecdc/worldwide	5aa9913bb638	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-03-31	92	17	15	5			-3	-3	-4	325	1		324	1.702	0.005		1.697		0.308		99.692	41			41	14.437			14.488	62.5			63.272	2724900	19091949	8.2	31.6
ecdc/worldwide	5746529c21f2	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-04-01	93	18	16	6			-2	-2	-3	340	1		339	1.781	0.005		1.776		0.294		99.706	15			15	4.615			4.63	22.866			23.148	2724900	19091949	8.2	31.6
ecdc/worldwide	09a1b30849f0	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-04-02	94	19	17	7			-1	-1	-2	348	2		346	1.823	0.01		1.812		0.575		99.425	8	1		7	2.353	100		2.065	12.195	100		10.802	2724900	19091949	8.2	31.6
ecdc/worldwide	f8445108a28b	f6aca00c7820	total-country	Kazakhstan	KZ	Kazakhstan			48	68	Asia	Central Asia	2020-04-03	95	20	18	8			-0	0	-1	386	3		383	2.022	0.016		2.006		0.777		99.223	38	1		37	10.92	50		10.694	57.927	100		57.099	2724900	19091949	8.2	31.6
