dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	fb32c8b3679b	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-02-22	54	1					-36	-33	-40	1			1	0.018			0.018				100	1			1					3.226			3.289	10400	5469612	5.4	33.7
ecdc/worldwide	960ecb66a533	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-02-27	59	6					-31	-28	-35	2			2	0.037			0.037				100	1			1	100			100	3.226			3.289	10400	5469612	5.4	33.7
ecdc/worldwide	a667a284a3b0	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-02-28	60	7					-30	-27	-34	3			3	0.055			0.055				100	1			1	50			50	3.226			3.289	10400	5469612	5.4	33.7
ecdc/worldwide	8155d9f77e2b	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-01	62	9					-28	-25	-32	4			4	0.073			0.073				100	1			1	33.333			33.333	3.226			3.289	10400	5469612	5.4	33.7
ecdc/worldwide	42ea8c2edbc1	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-02	63	10	1				-27	-24	-31	10			10	0.183			0.183				100	6			6	150			150	19.355			19.737	10400	5469612	5.4	33.7
ecdc/worldwide	ae89cc21e104	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-03	64	11	2				-26	-23	-30	13			13	0.238			0.238				100	3			3	30			30	9.677			9.868	10400	5469612	5.4	33.7
ecdc/worldwide	450c8aa3af0b	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-06	67	14	5				-23	-20	-27	16			16	0.293			0.293				100	3			3	23.077			23.077	9.677			9.868	10400	5469612	5.4	33.7
ecdc/worldwide	750e8e6bf2bc	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-07	68	15	6				-22	-19	-26	22			22	0.402			0.402				100	6			6	37.5			37.5	19.355			19.737	10400	5469612	5.4	33.7
ecdc/worldwide	b408f57bea41	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-09	70	17	8				-20	-17	-24	32			32	0.585			0.585				100	10			10	45.455			45.455	32.258			32.895	10400	5469612	5.4	33.7
ecdc/worldwide	7969c78f0466	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-10	71	18	9				-19	-16	-23	41			41	0.75			0.75				100	9			9	28.125			28.125	29.032			29.605	10400	5469612	5.4	33.7
