dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	77677d5d549f	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-01-28	29	1					-61	-55	-67	1			1	0.004			0.004				100	1			1					0.004			0.004	8.197			8.197	65610	22889201	6.5	33.7
ecdc/worldwide	2b2c40a7ceb0	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-12	73	45					-17	-11	-23	2			2	0.009			0.009				100	1			1	100			100	0.004			0.004	8.197			8.197	65610	22889201	6.5	33.7
ecdc/worldwide	1fe728c21882	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-13	74	46					-16	-10	-22	3			3	0.013			0.013				100	1			1	50			50	0.004			0.004	8.197			8.197	65610	22889201	6.5	33.7
ecdc/worldwide	3784d92bcb2c	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-14	75	47					-15	-9	-21	6			6	0.026			0.026				100	3			3	100			100	0.013			0.013	24.59			24.59	65610	22889201	6.5	33.7
ecdc/worldwide	9aa190c83edb	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-15	76	48	1				-14	-8	-20	11			11	0.048			0.048				100	5			5	83.333			83.333	0.022			0.022	40.984			40.984	65610	22889201	6.5	33.7
ecdc/worldwide	2d5aff4fd930	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-16	77	49	2				-13	-7	-19	19			19	0.083			0.083				100	8			8	72.727			72.727	0.035			0.035	65.574			65.574	65610	22889201	6.5	33.7
ecdc/worldwide	b5f264069d72	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-17	78	50	3				-12	-6	-18	29			29	0.127			0.127				100	10			10	52.632			52.632	0.044			0.044	81.967			81.967	65610	22889201	6.5	33.7
ecdc/worldwide	b9c1db709e1a	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-18	79	51	4				-11	-5	-17	42			42	0.183			0.183				100	13			13	44.828			44.828	0.057			0.057	106.557			106.557	65610	22889201	6.5	33.7
ecdc/worldwide	e90d92711ba5	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-20	81	53	6				-9	-3	-15	53			53	0.232			0.232				100	11			11	26.19			26.19	0.048			0.048	90.164			90.164	65610	22889201	6.5	33.7
ecdc/worldwide	7d81ade9dc75	70aa037ac78f	total-country	Sri Lanka	LK	Sri Lanka			7	81	Asia	Southern Asia	2020-03-21	82	54	7				-8	-2	-14	66			66	0.288			0.288				100	13			13	24.528			24.528	0.057			0.057	106.557			106.557	65610	22889201	6.5	33.7
