dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f9858c236ecc	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-03-17	78	1					-21	-21	-22	1			1	0.02			0.02				100	1			1					0.02			0.02	19.231			22.727	111369	5073296	7	18
ecdc/worldwide	148d562e036f	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-03-18	79	2					-20	-20	-21	2			2	0.039			0.039				100	1			1	100			100	0.02			0.02	19.231			22.727	111369	5073296	7	18
ecdc/worldwide	fc187a88e7e9	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-03-22	83	6					-16	-16	-17	3			3	0.059			0.059				100	1			1	50			50	0.02			0.02	19.231			22.727	111369	5073296	7	18
ecdc/worldwide	63b3323e5782	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-02	94	17					-5	-5	-6	6			6	0.118			0.118				100	3			3	100			100	0.059			0.059	57.692			68.182	111369	5073296	7	18
ecdc/worldwide	a457355623d9	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-04	96	19					-3	-3	-4	7			7	0.138			0.138				100	1			1	16.667			16.667	0.02			0.02	19.231			22.727	111369	5073296	7	18
ecdc/worldwide	8827744aa738	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-05	97	20	1				-2	-2	-3	10	1		9	0.197	0.02		0.177		10		90	3	1		2	42.857			28.571	0.059	0.02		0.039	57.692	100		45.455	111369	5073296	7	18
ecdc/worldwide	130770ec491a	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-06	98	21	2				-1	-1	-2	13	3		10	0.256	0.059		0.197		23.077		76.923	3	2		1	30	200		11.111	0.059	0.039		0.02	57.692	200		22.727	111369	5073296	7	18
ecdc/worldwide	38055e67fa94	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-07	99	22	3				-0	0	-1	14	3		11	0.276	0.059		0.217		21.429		78.571	1			1	7.692			10	0.02			0.02	19.231			22.727	111369	5073296	7	18
ecdc/worldwide	9f8ae32a273c	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-09	101	24	5				1	2	1	31	4		27	0.611	0.079		0.532		12.903		87.097	17	1		16	121.429	33.333		145.455	0.335	0.02		0.315	326.923	100		363.636	111369	5073296	7	18
ecdc/worldwide	beae4807f314	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-11	103	26	7				3	4	3	37	4		33	0.729	0.079		0.65		10.811		89.189	6			6	19.355			22.222	0.118			0.118	115.385			136.364	111369	5073296	7	18
ecdc/worldwide	72b660a05a57	8308145b257c	total-country	Liberia	LR	Liberia			6.5	-9.5	Africa	Western Africa	2020-04-12	104	27	8				4	5	4	48	5		43	0.946	0.099		0.848		10.417		89.583	11	1		10	29.73	25		30.303	0.217	0.02		0.197	211.538	100		227.273	111369	5073296	7	18
