dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	219a5df630cf	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-01	62	1					-30	-27	-34	1			1	0.159			0.159				100	1			1					0.159			0.159	0.503			0.507	2586	628381	7.3	39.5
ecdc/worldwide	a03709c3004d	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-07	68	7					-24	-21	-28	3			3	0.477			0.477				100	2			2	200			200	0.318			0.318	1.006			1.014	2586	628381	7.3	39.5
ecdc/worldwide	5b161197b4de	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-09	70	9					-22	-19	-26	5			5	0.796			0.796				100	2			2	66.667			66.667	0.318			0.318	1.006			1.014	2586	628381	7.3	39.5
ecdc/worldwide	529122554b24	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-11	72	11					-20	-17	-24	7			7	1.114			1.114				100	2			2	40			40	0.318			0.318	1.006			1.014	2586	628381	7.3	39.5
ecdc/worldwide	306b4619eda0	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-13	74	13	1				-18	-15	-22	26			26	4.138			4.138				100	19			19	271.429			271.429	3.024			3.024	9.557			9.635	2586	628381	7.3	39.5
ecdc/worldwide	a7af7113580c	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-14	75	14	2				-17	-14	-21	38	1		37	6.047	0.159		5.888		2.632		97.368	12	1		11	46.154			42.308	1.91	0.159		1.751	6.036	17.857		5.578	2586	628381	7.3	39.5
ecdc/worldwide	cf0588e468ad	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-16	77	16	4				-15	-12	-19	77	1		76	12.254	0.159		12.095		1.299		98.701	39			39	102.632			105.405	6.206			6.206	19.618			19.777	2586	628381	7.3	39.5
ecdc/worldwide	e6ed9f629e0b	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-17	78	17	5				-14	-11	-18	81	1		80	12.89	0.159		12.731		1.235		98.765	4			4	5.195			5.263	0.637			0.637	2.012			2.028	2586	628381	7.3	39.5
ecdc/worldwide	14e667c0e502	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-18	79	18	6	1			-13	-10	-17	140	1		139	22.279	0.159		22.12		0.714		99.286	59			59	72.84			73.75	9.389			9.389	29.678			29.919	2586	628381	7.3	39.5
ecdc/worldwide	f33c8363e339	b7264dac5c19	total-country	Luxembourg	LU	Luxembourg			49.75	6.16666666	Europe	Western Europe	2020-03-19	80	19	7	2			-12	-9	-16	210	2		208	33.419	0.318		33.101		0.952		99.048	70	1		69	50	100		49.64	11.14	0.159		10.981	35.211	17.857		34.99	2586	628381	7.3	39.5
