dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	bdf2df79c369	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-03	64	1					-30	-29	-32	1			1	0.053			0.053				100	1			1					0.053			0.053	2.646			2.66	64589	1881232	14.6	44.4
ecdc/worldwide	857f02893980	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-08	69	6					-25	-24	-27	2			2	0.106			0.106				100	1			1	100			100	0.053			0.053	2.646			2.66	64589	1881232	14.6	44.4
ecdc/worldwide	9546fbbddd96	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-09	70	7					-24	-23	-26	3			3	0.159			0.159				100	1			1	50			50	0.053			0.053	2.646			2.66	64589	1881232	14.6	44.4
ecdc/worldwide	c5793fb6d7c0	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-10	71	8					-23	-22	-25	6			6	0.319			0.319				100	3			3	100			100	0.159			0.159	7.937			7.979	64589	1881232	14.6	44.4
ecdc/worldwide	33230018920b	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-11	72	9					-22	-21	-24	8			8	0.425			0.425				100	2			2	33.333			33.333	0.106			0.106	5.291			5.319	64589	1881232	14.6	44.4
ecdc/worldwide	d4447361ac2e	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-12	73	10	1				-21	-20	-23	10			10	0.532			0.532				100	2			2	25			25	0.106			0.106	5.291			5.319	64589	1881232	14.6	44.4
ecdc/worldwide	480bdc9174fe	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-13	74	11	2				-20	-19	-22	16			16	0.851			0.851				100	6			6	60			60	0.319			0.319	15.873			15.957	64589	1881232	14.6	44.4
ecdc/worldwide	23edc6a04164	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-14	75	12	3				-19	-18	-21	19			19	1.01			1.01				100	3			3	18.75			18.75	0.159			0.159	7.937			7.979	64589	1881232	14.6	44.4
ecdc/worldwide	18a24f70eb96	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-15	76	13	4				-18	-17	-20	26			26	1.382			1.382				100	7			7	36.842			36.842	0.372			0.372	18.519			18.617	64589	1881232	14.6	44.4
ecdc/worldwide	1adacd310a1d	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-16	77	14	5				-17	-16	-19	31			31	1.648			1.648				100	5			5	19.231			19.231	0.266			0.266	13.228			13.298	64589	1881232	14.6	44.4
ecdc/worldwide	acc10a3635a3	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-17	78	15	6				-16	-15	-18	36			36	1.914			1.914				100	5			5	16.129			16.129	0.266			0.266	13.228			13.298	64589	1881232	14.6	44.4
ecdc/worldwide	9b66dba37567	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-18	79	16	7				-15	-14	-17	61			61	3.243			3.243				100	25			25	69.444			69.444	1.329			1.329	66.138			66.489	64589	1881232	14.6	44.4
ecdc/worldwide	63311c889b04	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-19	80	17	8				-14	-13	-16	71			71	3.774			3.774				100	10			10	16.393			16.393	0.532			0.532	26.455			26.596	64589	1881232	14.6	44.4
ecdc/worldwide	adad5e645780	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-20	81	18	9				-13	-12	-15	86			86	4.571			4.571				100	15			15	21.127			21.127	0.797			0.797	39.683			39.894	64589	1881232	14.6	44.4
ecdc/worldwide	41678a0713b8	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-21	82	19	10	1			-12	-11	-14	111			111	5.9			5.9				100	25			25	29.07			29.07	1.329			1.329	66.138			66.489	64589	1881232	14.6	44.4
ecdc/worldwide	7c2b85effa8b	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-22	83	20	11	2			-11	-10	-13	124			124	6.591			6.591				100	13			13	11.712			11.712	0.691			0.691	34.392			34.574	64589	1881232	14.6	44.4
ecdc/worldwide	8a7066c43dee	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-23	84	21	12	3			-10	-9	-12	139			139	7.389			7.389				100	15			15	12.097			12.097	0.797			0.797	39.683			39.894	64589	1881232	14.6	44.4
ecdc/worldwide	faee1c207924	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-24	85	22	13	4			-9	-8	-11	180			180	9.568			9.568				100	41			41	29.496			29.496	2.179			2.179	108.466			109.043	64589	1881232	14.6	44.4
ecdc/worldwide	ce4d85763f15	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-25	86	23	14	5			-8	-7	-10	197			197	10.472			10.472				100	17			17	9.444			9.444	0.904			0.904	44.974			45.213	64589	1881232	14.6	44.4
ecdc/worldwide	92110148e8ea	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-26	87	24	15	6			-7	-6	-9	221			221	11.748			11.748				100	24			24	12.183			12.183	1.276			1.276	63.492			63.83	64589	1881232	14.6	44.4
ecdc/worldwide	754fefdd1f7f	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-27	88	25	16	7			-6	-5	-8	244			244	12.97			12.97				100	23			23	10.407			10.407	1.223			1.223	60.847			61.17	64589	1881232	14.6	44.4
ecdc/worldwide	71331dcfb3ce	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-28	89	26	17	8			-5	-4	-7	280			280	14.884			14.884				100	36			36	14.754			14.754	1.914			1.914	95.238			95.745	64589	1881232	14.6	44.4
ecdc/worldwide	a768f7f36709	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-29	90	27	18	9			-4	-3	-6	305			305	16.213			16.213				100	25			25	8.929			8.929	1.329			1.329	66.138			66.489	64589	1881232	14.6	44.4
ecdc/worldwide	053eeea78f45	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-03-30	91	28	19	10			-3	-2	-5	376			376	19.987			19.987				100	71			71	23.279			23.279	3.774			3.774	187.831			188.83	64589	1881232	14.6	44.4
ecdc/worldwide	e6ce66d56b21	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-01	93	30	21	12			-1	0	-3	398			398	21.156			21.156				100	22			22	5.851			5.851	1.169			1.169	58.201			58.511	64589	1881232	14.6	44.4
ecdc/worldwide	a683d2a1a1b9	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-02	94	31	22	13			-0	1	-2	446			446	23.708			23.708				100	48			48	12.06			12.06	2.552			2.552	126.984			127.66	64589	1881232	14.6	44.4
ecdc/worldwide	758b3ae4f82f	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-03	95	32	23	14			0	2	-1	458			458	24.346			24.346				100	12			12	2.691			2.691	0.638			0.638	31.746			31.915	64589	1881232	14.6	44.4
ecdc/worldwide	dfe13abb9477	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-04	96	33	24	15			1	3	0	493	1		492	26.206	0.053		26.153		0.203		99.797	35	1		34	7.642			7.424	1.86	0.053		1.807	92.593	100		90.426	64589	1881232	14.6	44.4
ecdc/worldwide	66bc0d9ace15	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-05	97	34	25	16			2	4	1	509	1		508	27.057	0.053		27.004		0.196		99.804	16			16	3.245			3.252	0.851			0.851	42.328			42.553	64589	1881232	14.6	44.4
ecdc/worldwide	4c9b7d5ee6fe	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-06	98	35	26	17			3	5	2	533	1		532	28.332	0.053		28.279		0.188		99.812	24			24	4.715			4.724	1.276			1.276	63.492			63.83	64589	1881232	14.6	44.4
ecdc/worldwide	051c204e1d34	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-07	99	36	27	18			4	6	3	542	1		541	28.811	0.053		28.758		0.185		99.815	9			9	1.689			1.692	0.478			0.478	23.81			23.936	64589	1881232	14.6	44.4
ecdc/worldwide	90466e6bb761	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-08	100	37	28	19			5	7	4	548	2		546	29.13	0.106		29.024		0.365		99.635	6	1		5	1.107	100		0.924	0.319	0.053		0.266	15.873	100		13.298	64589	1881232	14.6	44.4
ecdc/worldwide	499ff615f287	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-09	101	38	29	20			6	8	5	577	2		575	30.671	0.106		30.565		0.347		99.653	29			29	5.292			5.311	1.542			1.542	76.72			77.128	64589	1881232	14.6	44.4
ecdc/worldwide	e9379c66200d	4eedea208935	total-country	Latvia	LV	Latvia			57	25	Europe	Northern Europe	2020-04-10	102	39	30	21			7	9	6	589	2		587	31.309	0.106		31.203		0.34		99.66	12			12	2.08			2.087	0.638			0.638	31.746			31.915	64589	1881232	14.6	44.4
