dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	ebecf3dd6cd7	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-08	69	1					-30	-31	-30	1			1	0.03			0.03				100	1			1					0.03			0.03	0.931			0.962	33851	3364496	12.6	37.7
ecdc/worldwide	bee4d863f4bc	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-11	72	4					-27	-28	-27	3			3	0.089			0.089				100	2			2	200			200	0.059			0.059	1.862			1.923	33851	3364496	12.6	37.7
ecdc/worldwide	b75cd8f6f881	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-12	73	5					-26	-27	-26	4			4	0.119			0.119				100	1			1	33.333			33.333	0.03			0.03	0.931			0.962	33851	3364496	12.6	37.7
ecdc/worldwide	c7cb0da61b88	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-13	74	6					-25	-26	-25	6			6	0.178			0.178				100	2			2	50			50	0.059			0.059	1.862			1.923	33851	3364496	12.6	37.7
ecdc/worldwide	35eaadfbf1dc	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-14	75	7					-24	-25	-24	8			8	0.238			0.238				100	2			2	33.333			33.333	0.059			0.059	1.862			1.923	33851	3364496	12.6	37.7
ecdc/worldwide	92332d43b7d3	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-15	76	8	1				-23	-24	-23	20			20	0.594			0.594				100	12			12	150			150	0.357			0.357	11.173			11.538	33851	3364496	12.6	37.7
ecdc/worldwide	bafac33310bb	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-16	77	9	2				-22	-23	-22	23			23	0.684			0.684				100	3			3	15			15	0.089			0.089	2.793			2.885	33851	3364496	12.6	37.7
ecdc/worldwide	0da1e50d3422	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-17	78	10	3				-21	-22	-21	29			29	0.862			0.862				100	6			6	26.087			26.087	0.178			0.178	5.587			5.769	33851	3364496	12.6	37.7
ecdc/worldwide	9dadd8bc67ea	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-18	79	11	4				-20	-21	-20	30			30	0.892			0.892				100	1			1	3.448			3.448	0.03			0.03	0.931			0.962	33851	3364496	12.6	37.7
ecdc/worldwide	f178154e8f01	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-19	80	12	5				-19	-20	-19	36	1		35	1.07	0.03		1.04		2.778		97.222	6	1		5	20			16.667	0.178	0.03		0.149	5.587	31.25		4.808	33851	3364496	12.6	37.7
ecdc/worldwide	9f5559c2f6d3	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-20	81	13	6				-18	-19	-18	49	1		48	1.456	0.03		1.427		2.041		97.959	13			13	36.111			37.143	0.386			0.386	12.104			12.5	33851	3364496	12.6	37.7
ecdc/worldwide	70a7772d06cc	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-21	82	14	7				-17	-18	-17	66	1		65	1.962	0.03		1.932		1.515		98.485	17			17	34.694			35.417	0.505			0.505	15.829			16.346	33851	3364496	12.6	37.7
ecdc/worldwide	a5ad8aa8bb8e	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-22	83	15	8				-16	-17	-16	80	1		79	2.378	0.03		2.348		1.25		98.75	14			14	21.212			21.538	0.416			0.416	13.035			13.462	33851	3364496	12.6	37.7
ecdc/worldwide	c6466abde82b	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-23	84	16	9				-15	-16	-15	94	1		93	2.794	0.03		2.764		1.064		98.936	14			14	17.5			17.722	0.416			0.416	13.035			13.462	33851	3364496	12.6	37.7
ecdc/worldwide	44439d0c75d4	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-24	85	17	10	1			-14	-15	-14	109	1		108	3.24	0.03		3.21		0.917		99.083	15			15	15.957			16.129	0.446			0.446	13.966			14.423	33851	3364496	12.6	37.7
ecdc/worldwide	f2eecae85968	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-25	86	18	11	2			-13	-14	-13	125	1		124	3.715	0.03		3.686		0.8		99.2	16			16	14.679			14.815	0.476			0.476	14.898			15.385	33851	3364496	12.6	37.7
ecdc/worldwide	8368aad451ba	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-26	87	19	12	3			-12	-13	-12	149	1		148	4.429	0.03		4.399		0.671		99.329	24			24	19.2			19.355	0.713			0.713	22.346			23.077	33851	3364496	12.6	37.7
ecdc/worldwide	b41ef18a1fc8	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-27	88	20	13	4			-11	-12	-11	177	1		176	5.261	0.03		5.231		0.565		99.435	28			28	18.792			18.919	0.832			0.832	26.071			26.923	33851	3364496	12.6	37.7
ecdc/worldwide	0ca896218598	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-28	89	21	14	5			-10	-11	-10	199	2		197	5.915	0.059		5.855		1.005		98.995	22	1		21	12.429	100		11.932	0.654	0.03		0.624	20.484	31.25		20.192	33851	3364496	12.6	37.7
ecdc/worldwide	479fcd1333b0	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-29	90	22	15	6			-9	-10	-9	231	2		229	6.866	0.059		6.806		0.866		99.134	32			32	16.08			16.244	0.951			0.951	29.795			30.769	33851	3364496	12.6	37.7
ecdc/worldwide	0c46711543a6	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-30	91	23	16	7			-8	-9	-8	263	2		261	7.817	0.059		7.757		0.76		99.24	32			32	13.853			13.974	0.951			0.951	29.795			30.769	33851	3364496	12.6	37.7
ecdc/worldwide	89c29291b8df	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-31	92	24	17	8			-7	-8	-7	298	2		296	8.857	0.059		8.798		0.671		99.329	35			35	13.308			13.41	1.04			1.04	32.588			33.654	33851	3364496	12.6	37.7
ecdc/worldwide	46b4602b31ec	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-01	93	25	18	9			-6	-7	-6	353	4		349	10.492	0.119		10.373		1.133		98.867	55	2		53	18.456	100		17.905	1.635	0.059		1.575	51.21	62.5		50.962	33851	3364496	12.6	37.7
ecdc/worldwide	8fde77359b11	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-02	94	26	19	10			-5	-6	-5	423	5		418	12.572	0.149		12.424		1.182		98.818	70	1		69	19.83	25		19.771	2.081	0.03		2.051	65.177	31.25		66.346	33851	3364496	12.6	37.7
ecdc/worldwide	f55a7441bf8b	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-03	95	27	20	11			-4	-5	-4	505	6		499	15.01	0.178		14.831		1.188		98.812	82	1		81	19.385	20		19.378	2.437	0.03		2.407	76.35	31.25		77.885	33851	3364496	12.6	37.7
ecdc/worldwide	6c47b6daf2af	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-04	96	28	21	12			-3	-4	-3	591	8		583	17.566	0.238		17.328		1.354		98.646	86	2		84	17.03	33.333		16.834	2.556	0.059		2.497	80.074	62.5		80.769	33851	3364496	12.6	37.7
ecdc/worldwide	fc8542cebbcf	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-05	97	29	22	13			-2	-3	-2	752	12		740	22.351	0.357		21.994		1.596		98.404	161	4		157	27.242	50		26.93	4.785	0.119		4.666	149.907	125		150.962	33851	3364496	12.6	37.7
ecdc/worldwide	1e21cac68ce7	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-06	98	30	23	14			-1	-2	-1	864	15		849	25.68	0.446		25.234		1.736		98.264	112	3		109	14.894	25		14.73	3.329	0.089		3.24	104.283	93.75		104.808	33851	3364496	12.6	37.7
ecdc/worldwide	21c1cd6b2f02	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-07	99	31	24	15			-0	-1	0	965	19		946	28.682	0.565		28.117		1.969		98.031	101	4		97	11.69	26.667		11.425	3.002	0.119		2.883	94.041	125		93.269	33851	3364496	12.6	37.7
ecdc/worldwide	29acb13678d2	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-08	100	32	25	16	1		0	0	1	1056	22		1034	31.387	0.654		30.733		2.083		97.917	91	3		88	9.43	15.789		9.302	2.705	0.089		2.616	84.73	93.75		84.615	33851	3364496	12.6	37.7
ecdc/worldwide	ce006a31921a	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-09	101	33	26	17	2		1	1	2	1174	27		1147	34.894	0.802		34.091		2.3		97.7	118	5		113	11.174	22.727		10.928	3.507	0.149		3.359	109.87	156.25		108.654	33851	3364496	12.6	37.7
ecdc/worldwide	75cab682156a	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-04-10	102	34	27	18	3		2	2	3	1289	29		1260	38.312	0.862		37.45		2.25		97.75	115	2		113	9.796	7.407		9.852	3.418	0.059		3.359	107.076	62.5		108.654	33851	3364496	12.6	37.7
