dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	d4cc61239250	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-18	79	1					-12	-15	-9	2			2	0.328			0.328				100	2			2					9.524			9.615	13812	609859	10.4	39.6
ecdc/worldwide	2a7e0b7010ca	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-19	80	2					-11	-14	-8	8			8	1.312			1.312				100	6			6	300			300	28.571			28.846	13812	609859	10.4	39.6
ecdc/worldwide	e1231de47bdc	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-20	81	3	1				-10	-13	-7	13			13	2.132			2.132				100	5			5	62.5			62.5	23.81			24.038	13812	609859	10.4	39.6
ecdc/worldwide	c9271051ae7d	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-21	82	4	2				-9	-12	-6	14			14	2.296			2.296				100	1			1	7.692			7.692	4.762			4.808	13812	609859	10.4	39.6
ecdc/worldwide	eb5821d93d75	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-23	84	6	4				-7	-10	-4	21			21	3.443			3.443				100	7			7	50			50	33.333			33.654	13812	609859	10.4	39.6
ecdc/worldwide	6bf1cdedbab9	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-24	85	7	5				-6	-9	-3	27			27	4.427			4.427				100	6			6	28.571			28.571	28.571			28.846	13812	609859	10.4	39.6
ecdc/worldwide	774187fb8b30	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-25	86	8	6				-5	-8	-2	47			47	7.707			7.707				100	20			20	74.074			74.074	95.238			96.154	13812	609859	10.4	39.6
ecdc/worldwide	1ee2bdaeef5e	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-26	87	9	7				-4	-7	-1	53			53	8.691			8.691				100	6			6	12.766			12.766	28.571			28.846	13812	609859	10.4	39.6
ecdc/worldwide	8a18bb5f8442	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-27	88	10	8				-3	-6	0	67	1		66	10.986	0.164		10.822		1.493		98.507	14	1		13	26.415			24.528	66.667	100		62.5	13812	609859	10.4	39.6
ecdc/worldwide	2a36122ffbae	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-28	89	11	9				-2	-5	1	75	1		74	12.298	0.164		12.134		1.333		98.667	8			8	11.94			12.121	38.095			38.462	13812	609859	10.4	39.6
ecdc/worldwide	2c32967d114d	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-29	90	12	10				-1	-4	2	84	1		83	13.774	0.164		13.61		1.19		98.81	9			9	12			12.162	42.857			43.269	13812	609859	10.4	39.6
ecdc/worldwide	8a62bdb2ab85	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-30	91	13	11				0	-3	3	85	1		84	13.938	0.164		13.774		1.176		98.824	1			1	1.19			1.205	4.762			4.808	13812	609859	10.4	39.6
ecdc/worldwide	ddfeedc5d204	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-03-31	92	14	12				1	-2	4	91	1		90	14.921	0.164		14.758		1.099		98.901	6			6	7.059			7.143	28.571			28.846	13812	609859	10.4	39.6
ecdc/worldwide	8a31379c2296	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-01	93	15	13	1			2	-1	5	109	1		108	17.873	0.164		17.709		0.917		99.083	18			18	19.78			20	85.714			86.538	13812	609859	10.4	39.6
ecdc/worldwide	43edec461ebc	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-02	94	16	14	2			3	0	6	123	1		122	20.169	0.164		20.005		0.813		99.187	14			14	12.844			12.963	66.667			67.308	13812	609859	10.4	39.6
ecdc/worldwide	a99308da4d6d	22bc3e7c4c66	total-country	Montenegro	ME	Montenegro			42.5	19.3	Europe	Southern Europe	2020-04-03	95	17	15	3			4	1	7	144	2		142	23.612	0.328		23.284		1.389		98.611	21	1		20	17.073	100		16.393	100	100		96.154	13812	609859	10.4	39.6
