dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	0ed8db1b758a	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-21	82	1					-12	-12		3			3	0.011129356247985354			0.011129356247985354				100	3			3					39.473684210526315			39.473684210526315	587041	26955737	6.2	20.3
ecdc/worldwide	8e656270881e	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-24	85	4	1				-9	-9		17			17	0.063066352071917			0.063066352071917				100	14			14	466.6666666666667			466.6666666666667	184.21052631578948			184.21052631578948	587041	26955737	6.2	20.3
ecdc/worldwide	1c5355c212c2	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-25	86	5	2				-8	-8		19			19	0.07048592290390723			0.07048592290390723				100	2			2	11.764705882352942			11.764705882352942	26.31578947368421			26.31578947368421	587041	26955737	6.2	20.3
ecdc/worldwide	85708f0c310b	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-27	88	7	4				-6	-6		23			23	0.08532506456788772			0.08532506456788772				100	4			4	21.05263157894737			21.05263157894737	52.63157894736842			52.63157894736842	587041	26955737	6.2	20.3
ecdc/worldwide	94d0e0ccfe70	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-28	89	8	5				-5	-5		24			24	0.08903484998388284			0.08903484998388284				100	1			1	4.3478260869565215			4.3478260869565215	13.157894736842104			13.157894736842104	587041	26955737	6.2	20.3
ecdc/worldwide	6b011c89ee64	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-29	90	9	6				-4	-4		28			28	0.10387399164786332			0.10387399164786332				100	4			4	16.666666666666668			16.666666666666668	52.63157894736842			52.63157894736842	587041	26955737	6.2	20.3
ecdc/worldwide	493fe0a065af	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-30	91	10	7				-3	-3		37			37	0.13726206039181937			0.13726206039181937				100	9			9	32.142857142857146			32.142857142857146	118.42105263157896			118.42105263157896	587041	26955737	6.2	20.3
ecdc/worldwide	dd1fd2529440	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-31	92	11	8				-2	-2		44			44	0.1632305583037852			0.1632305583037852				100	7			7	18.91891891891892			18.91891891891892	92.10526315789474			92.10526315789474	587041	26955737	6.2	20.3
ecdc/worldwide	a0557bf9a0f7	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-01	93	12	9				-1	-1		46			46	0.17065012913577543			0.17065012913577543				100	2			2	4.545454545454546			4.545454545454546	26.31578947368421			26.31578947368421	587041	26955737	6.2	20.3
ecdc/worldwide	0236f0c89b07	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-02	94	13	10				0	0		54			54	0.2003284124637364			0.2003284124637364				100	8			8	17.391304347826086			17.391304347826086	105.26315789473684			105.26315789473684	587041	26955737	6.2	20.3
ecdc/worldwide	5f253b26fd2e	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-03	95	14	11				1	1		59			59	0.218877339543712			0.218877339543712				100	5			5	9.25925925925926			9.25925925925926	65.78947368421053			65.78947368421053	587041	26955737	6.2	20.3
ecdc/worldwide	3bd55421d750	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-04	96	15	12				2	2		65			65	0.24113605203968266			0.24113605203968266				100	6			6	10.169491525423728			10.169491525423728	78.94736842105263			78.94736842105263	587041	26955737	6.2	20.3
ecdc/worldwide	6f6466f7049e	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-05	97	16	13				3	3		71			71	0.2633947645356534			0.2633947645356534				100	6			6	9.23076923076923			9.23076923076923	78.94736842105263			78.94736842105263	587041	26955737	6.2	20.3
ecdc/worldwide	c00908bb461b	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-06	98	17	14				4	4		72			72	0.2671045499516485			0.2671045499516485				100	1			1	1.408450704225352			1.408450704225352	13.157894736842104			13.157894736842104	587041	26955737	6.2	20.3
ecdc/worldwide	46b435548501	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-07	99	18	15				5	5		77			77	0.2856534770316241			0.2856534770316241				100	5			5	6.944444444444445			6.944444444444445	65.78947368421053			65.78947368421053	587041	26955737	6.2	20.3
ecdc/worldwide	ee0064f4a03e	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-08	100	19	16				6	6		85			85	0.31533176035958504			0.31533176035958504				100	8			8	10.38961038961039			10.38961038961039	105.26315789473684			105.26315789473684	587041	26955737	6.2	20.3
