dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	10b04fd6787a	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-08	69	1					-20	-20		3			3	0.656			0.656				100	3			3					16.854			16.854	316	457267	8.3	42.3
ecdc/worldwide	429b6cdbd692	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-10	71	3					-18	-18		4			4	0.875			0.875				100	1			1	33.333			33.333	5.618			5.618	316	457267	8.3	42.3
ecdc/worldwide	d364f61943d2	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-12	73	5					-16	-16		6			6	1.312			1.312				100	2			2	50			50	11.236			11.236	316	457267	8.3	42.3
ecdc/worldwide	a2474d21d0fb	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-13	74	6					-15	-15		9			9	1.968			1.968				100	3			3	50			50	16.854			16.854	316	457267	8.3	42.3
ecdc/worldwide	cd33f49d478a	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-14	75	7	1				-14	-14		12			12	2.624			2.624				100	3			3	33.333			33.333	16.854			16.854	316	457267	8.3	42.3
ecdc/worldwide	1a147eeb231b	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-15	76	8	2				-13	-13		18			18	3.936			3.936				100	6			6	50			50	33.708			33.708	316	457267	8.3	42.3
ecdc/worldwide	8a25cac9514b	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-16	77	9	3				-12	-12		21			21	4.593			4.593				100	3			3	16.667			16.667	16.854			16.854	316	457267	8.3	42.3
ecdc/worldwide	dffedb715fb5	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-17	78	10	4				-11	-11		30			30	6.561			6.561				100	9			9	42.857			42.857	50.562			50.562	316	457267	8.3	42.3
ecdc/worldwide	11cba8a5ba5f	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-18	79	11	5				-10	-10		38			38	8.31			8.31				100	8			8	26.667			26.667	44.944			44.944	316	457267	8.3	42.3
ecdc/worldwide	51447217612f	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-19	80	12	6				-9	-9		48			48	10.497			10.497				100	10			10	26.316			26.316	56.18			56.18	316	457267	8.3	42.3
ecdc/worldwide	e7ee369a6c9f	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-20	81	13	7				-8	-8		53			53	11.591			11.591				100	5			5	10.417			10.417	28.09			28.09	316	457267	8.3	42.3
ecdc/worldwide	be4a8bb8c8ea	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-21	82	14	8				-7	-7		64			64	13.996			13.996				100	11			11	20.755			20.755	61.798			61.798	316	457267	8.3	42.3
ecdc/worldwide	dde18946e00b	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-22	83	15	9				-6	-6		73			73	15.964			15.964				100	9			9	14.063			14.063	50.562			50.562	316	457267	8.3	42.3
ecdc/worldwide	2a608a21f972	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-23	84	16	10				-5	-5		90			90	19.682			19.682				100	17			17	23.288			23.288	95.506			95.506	316	457267	8.3	42.3
ecdc/worldwide	9a26963a8fe9	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-24	85	17	11	1			-4	-4		107			107	23.4			23.4				100	17			17	18.889			18.889	95.506			95.506	316	457267	8.3	42.3
ecdc/worldwide	9281a7ab474e	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-25	86	18	12	2			-3	-3		120			120	26.243			26.243				100	13			13	12.15			12.15	73.034			73.034	316	457267	8.3	42.3
ecdc/worldwide	bff5e28ef843	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-26	87	19	13	3			-2	-2		129			129	28.211			28.211				100	9			9	7.5			7.5	50.562			50.562	316	457267	8.3	42.3
ecdc/worldwide	234701b89777	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-27	88	20	14	4			-1	-1		134			134	29.305			29.305				100	5			5	3.876			3.876	28.09			28.09	316	457267	8.3	42.3
ecdc/worldwide	a3d1c8d83c12	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-28	89	21	15	5			0	0		139			139	30.398			30.398				100	5			5	3.731			3.731	28.09			28.09	316	457267	8.3	42.3
ecdc/worldwide	20458212c920	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-29	90	22	16	6			1	1		149			149	32.585			32.585				100	10			10	7.194			7.194	56.18			56.18	316	457267	8.3	42.3
ecdc/worldwide	f3d8cc80608a	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-30	91	23	17	7			2	2		151			151	33.022			33.022				100	2			2	1.342			1.342	11.236			11.236	316	457267	8.3	42.3
ecdc/worldwide	1d0dade28dbb	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-03-31	92	24	18	8			3	3		156			156	34.116			34.116				100	5			5	3.311			3.311	28.09			28.09	316	457267	8.3	42.3
ecdc/worldwide	762ca63b6a13	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-01	93	25	19	9			4	4		167			167	36.521			36.521				100	11			11	7.051			7.051	61.798			61.798	316	457267	8.3	42.3
ecdc/worldwide	55ac666501de	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-02	94	26	20	10			5	5		188			188	41.114			41.114				100	21			21	12.575			12.575	117.978			117.978	316	457267	8.3	42.3
ecdc/worldwide	4c320c4288fa	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-03	95	27	21	11			6	6		195			195	42.645			42.645				100	7			7	3.723			3.723	39.326			39.326	316	457267	8.3	42.3
ecdc/worldwide	6adbfc988924	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-04	96	28	22	12			7	7		202			202	44.176			44.176				100	7			7	3.59			3.59	39.326			39.326	316	457267	8.3	42.3
ecdc/worldwide	3be0615139e5	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-05	97	29	23	13			8	8		213			213	46.581			46.581				100	11			11	5.446			5.446	61.798			61.798	316	457267	8.3	42.3
ecdc/worldwide	224b8a91b68c	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-06	98	30	24	14			9	9		234			234	51.174			51.174				100	21			21	9.859			9.859	117.978			117.978	316	457267	8.3	42.3
ecdc/worldwide	2b3ae4fdf3b3	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-07	99	31	25	15			10	10		241			241	52.704			52.704				100	7			7	2.991			2.991	39.326			39.326	316	457267	8.3	42.3
ecdc/worldwide	4d18233bea48	a063888454ae	total-country	Malta	MT	Malta			35.83333333	14.58333333	Europe	Southern Europe	2020-04-08	100	32	26	16			11	11		293			293	64.076			64.076				100	52			52	21.577			21.577	292.135			292.135	316	457267	8.3	42.3
