dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	cdde391382e6	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-20	81	1					-10	-14	-7	3			3	0.217			0.217				100	3			3					0.217			0.217	12.195			12.195	2040	1379365	7.3	36.3
ecdc/worldwide	6b290753e1ba	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-21	82	2	1				-9	-13	-6	12			12	0.87			0.87				100	9			9	300			300	0.652			0.652	36.585			36.585	2040	1379365	7.3	36.3
ecdc/worldwide	c10a509acb47	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-22	83	3	2				-8	-12	-5	14	1		13	1.015	0.072		0.942		7.143		92.857	2	1		1	16.667			8.333	0.145	0.072		0.072	8.13	80		4.065	2040	1379365	7.3	36.3
ecdc/worldwide	7699b6a56f60	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-23	84	4	3				-7	-11	-4	28	2		26	2.03	0.145		1.885		7.143		92.857	14	1		13	100	100		100	1.015	0.072		0.942	56.911	80		52.846	2040	1379365	7.3	36.3
ecdc/worldwide	23365ef5ac56	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-24	85	5	4				-6	-10	-3	36	2		34	2.61	0.145		2.465		5.556		94.444	8			8	28.571			30.769	0.58			0.58	32.52			32.52	2040	1379365	7.3	36.3
ecdc/worldwide	4c52b65003fa	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-25	86	6	5				-5	-9	-2	42	2		40	3.045	0.145		2.9		4.762		95.238	6			6	16.667			17.647	0.435			0.435	24.39			24.39	2040	1379365	7.3	36.3
ecdc/worldwide	aec856e78770	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-26	87	7	6				-4	-8	-1	48	2		46	3.48	0.145		3.335		4.167		95.833	6			6	14.286			15	0.435			0.435	24.39			24.39	2040	1379365	7.3	36.3
ecdc/worldwide	d502b701edcb	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-27	88	8	7				-3	-7	0	81	2		79	5.872	0.145		5.727		2.469		97.531	33			33	68.75			71.739	2.392			2.392	134.146			134.146	2040	1379365	7.3	36.3
ecdc/worldwide	b80692634f22	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-28	89	9	8				-2	-6	1	94	2		92	6.815	0.145		6.67		2.128		97.872	13			13	16.049			16.456	0.942			0.942	52.846			52.846	2040	1379365	7.3	36.3
ecdc/worldwide	da40c911d489	66fcc8b48a42	total-country	Mauritius	MU	Mauritius			-20.28333333	57.55	Africa	Eastern Africa	2020-03-29	90	10	9	1			-1	-5	2	102	2		100	7.395	0.145		7.25		1.961		98.039	8			8	8.511			8.696	0.58			0.58	32.52			32.52	2040	1379365	7.3	36.3
