dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	c7c8049530a0	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-02-29	61	1					-35	-35	-36	2			2	0.00155461077540371			0.00155461077540371				100	2			2					0.9157509157509158			0.9910802775024776	1964375	128649565	5.4	29.3
ecdc/worldwide	101f09b60a02	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-01	62	2					-34	-34	-35	4			4	0.00310922155080742			0.00310922155080742				100	2			2	100			100	0.9157509157509158			0.9910802775024776	1964375	128649565	5.4	29.3
ecdc/worldwide	28e4f77c1601	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-02	63	3					-33	-33	-34	5			5	0.003886526938509275			0.003886526938509275				100	1			1	25			25	0.4578754578754579			0.4955401387512388	1964375	128649565	5.4	29.3
ecdc/worldwide	c0cda64f46f7	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-09	70	10					-26	-26	-27	7			7	0.0054411377139129856			0.0054411377139129856				100	2			2	40			40	0.9157509157509158			0.9910802775024776	1964375	128649565	5.4	29.3
ecdc/worldwide	a0fd5feb102b	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-12	73	13	1				-23	-23	-24	11			11	0.008550359264720406			0.008550359264720406				100	4			4	57.142857142857146			57.142857142857146	1.8315018315018317			1.9821605550049552	1964375	128649565	5.4	29.3
ecdc/worldwide	767e8b9d906b	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-13	74	14	2				-22	-22	-23	16			16	0.01243688620322968			0.01243688620322968				100	5			5	45.45454545454545			45.45454545454545	2.2893772893772892			2.4777006937561943	1964375	128649565	5.4	29.3
ecdc/worldwide	12051f5e8ae0	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-14	75	15	3				-21	-21	-22	26			26	0.02020994008024823			0.02020994008024823				100	10			10	62.5			62.5	4.5787545787545785			4.955401387512389	1964375	128649565	5.4	29.3
ecdc/worldwide	0e10b1d06380	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-15	76	16	4				-20	-20	-21	41			41	0.031869520895776056			0.031869520895776056				100	15			15	57.69230769230769			57.69230769230769	6.868131868131868			7.433102081268582	1964375	128649565	5.4	29.3
ecdc/worldwide	6ed79362281e	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-16	77	17	5				-19	-19	-20	53			53	0.04119718554819832			0.04119718554819832				100	12			12	29.26829268292683			29.26829268292683	5.4945054945054945			5.946481665014866	1964375	128649565	5.4	29.3
ecdc/worldwide	9726d6e3290e	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-17	78	18	6				-18	-18	-19	82			82	0.06373904179155211			0.06373904179155211				100	29			29	54.716981132075475			54.716981132075475	13.27838827838828			14.370664023785926	1964375	128649565	5.4	29.3
ecdc/worldwide	7b9af8697529	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-18	79	19	7				-17	-17	-18	93			93	0.07228940105627252			0.07228940105627252				100	11			11	13.414634146341463			13.414634146341463	5.0366300366300365			5.450941526263628	1964375	128649565	5.4	29.3
ecdc/worldwide	c7a7919a89dd	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-19	80	20	8	1			-16	-16	-17	118			118	0.09172203574881889			0.09172203574881889				100	25			25	26.881720430107528			26.881720430107528	11.446886446886447			12.38850346878097	1964375	128649565	5.4	29.3
ecdc/worldwide	0c2c11738bae	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-20	81	21	9	2			-15	-15	-16	164			164	0.12747808358310422			0.12747808358310422				100	46			46	38.983050847457626			38.983050847457626	21.062271062271062			22.794846382556987	1964375	128649565	5.4	29.3
ecdc/worldwide	3aa310b5837f	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-21	82	22	10	3			-14	-14	-15	203	2		201	0.15779299370347655	0.00155461077540371		0.15623838292807285		0.9852216748768473		99.01477832512316	39	2		37	23.78048780487805			22.5609756097561	17.857142857142858	13.698630136986301		18.334985133795836	1964375	128649565	5.4	29.3
ecdc/worldwide	d1dd346a4349	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-22	83	23	11	4			-13	-13	-14	251	2		249	0.1951036523131656	0.00155461077540371		0.1935490415377619		0.796812749003984		99.20318725099602	48			48	23.645320197044335			23.880597014925375	21.978021978021978			23.785926660059463	1964375	128649565	5.4	29.3
ecdc/worldwide	aa43f6325537	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-23	84	24	12	5			-12	-12	-13	316	2		314	0.24562850251378618	0.00155461077540371		0.24407389173838248		0.6329113924050633		99.36708860759494	65			65	25.89641434262948			26.104417670682732	29.761904761904763			32.21010901883052	1964375	128649565	5.4	29.3
ecdc/worldwide	6c67927aa25f	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-24	85	25	13	6			-11	-11	-12	367	4		363	0.2852710772865808	0.00310922155080742		0.2821618557357734		1.08991825613079		98.9100817438692	51	2		49	16.139240506329113	100		15.605095541401274	23.35164835164835	13.698630136986301		24.2814667988107	1964375	128649565	5.4	29.3
ecdc/worldwide	20148ce2dcf5	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-25	86	26	14	7			-10	-10	-11	405	5		400	0.3148086820192513	0.003886526938509275		0.310922155080742		1.2345679012345678		98.76543209876543	38	1		37	10.354223433242506	25		10.192837465564738	17.399267399267398	6.8493150684931505		18.334985133795836	1964375	128649565	5.4	29.3
ecdc/worldwide	edc64c39c13d	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-26	87	27	15	8			-9	-9	-10	475	5		470	0.36922005915838113	0.003886526938509275		0.36533353221987186		1.0526315789473684		98.94736842105263	70			70	17.28395061728395			17.5	32.05128205128205			34.68780971258672	1964375	128649565	5.4	29.3
ecdc/worldwide	b171e513792e	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-27	88	28	16	9			-8	-8	-9	585	8		577	0.4547236518055852	0.00621844310161484		0.4485052087039703		1.3675213675213675		98.63247863247864	110	3		107	23.157894736842106	60		22.76595744680851	50.366300366300365	20.547945205479454		53.02279484638256	1964375	128649565	5.4	29.3
ecdc/worldwide	148c62c9e61d	8513cb1f51ff	total-country	Mexico	MX	Mexico			23	-102	Americas	North America	2020-03-28	89	29	17	10			-7	-7	-8	717	12		705	0.5573279629822301	0.009327664652422261		0.5480002983298078		1.6736401673640167		98.32635983263597	132	4		128	22.564102564102566	50		22.18370883882149	60.43956043956044	27.397260273972602		63.42913776015857	1964375	128649565	5.4	29.3
