dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	c65c99ead9a5	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-02-27	59	1					-34	-31	-37	1			1	0.018290098892735702			0.018290098892735702				100	1			1					0.337609723160027			0.3422313483915127	323802	5467439	8.1	39.5
ecdc/worldwide	da868e70a80d	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-02-28	60	2					-33	-30	-36	4			4	0.07316039557094281			0.07316039557094281				100	3			3	300			300	1.012829169480081			1.026694045174538	323802	5467439	8.1	39.5
ecdc/worldwide	c4f612ad0e19	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-02-29	61	3					-32	-29	-35	6			6	0.10974059335641421			0.10974059335641421				100	2			2	50			50	0.675219446320054			0.6844626967830254	323802	5467439	8.1	39.5
ecdc/worldwide	1df4f7316fa2	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-01	62	4	1				-31	-28	-34	15			15	0.2743514833910355			0.2743514833910355				100	9			9	150			150	3.038487508440243			3.080082135523614	323802	5467439	8.1	39.5
ecdc/worldwide	e2975ea649f2	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-02	63	5	2				-30	-27	-33	19			19	0.3475118789619783			0.3475118789619783				100	4			4	26.666666666666668			26.666666666666668	1.350438892640108			1.3689253935660508	323802	5467439	8.1	39.5
ecdc/worldwide	539849937a8f	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-03	64	6	3				-29	-26	-32	25			25	0.45725247231839256			0.45725247231839256				100	6			6	31.57894736842105			31.57894736842105	2.025658338960162			2.053388090349076	323802	5467439	8.1	39.5
ecdc/worldwide	a83f456d9493	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-04	65	7	4				-28	-25	-31	33			33	0.6035732634602782			0.6035732634602782				100	8			8	32			32	2.700877785280216			2.7378507871321016	323802	5467439	8.1	39.5
ecdc/worldwide	0563ec0e357a	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-05	66	8	5				-27	-24	-30	56			56	1.0242455379931994			1.0242455379931994				100	23			23	69.6969696969697			69.6969696969697	7.765023632680622			7.871321013004791	323802	5467439	8.1	39.5
ecdc/worldwide	71d388da9279	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-06	67	9	6				-26	-23	-29	86			86	1.5729485047752703			1.5729485047752703				100	30			30	53.57142857142857			53.57142857142857	10.12829169480081			10.26694045174538	323802	5467439	8.1	39.5
ecdc/worldwide	b137d306178a	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-07	68	10	7	1			-25	-22	-28	113			113	2.066781174879134			2.066781174879134				100	27			27	31.3953488372093			31.3953488372093	9.11546252532073			9.240246406570844	323802	5467439	8.1	39.5
ecdc/worldwide	502072d476f2	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-08	69	11	8	2			-24	-21	-27	147			147	2.688644537232148			2.688644537232148				100	34			34	30.088495575221238			30.088495575221238	11.47873058744092			11.63586584531143	323802	5467439	8.1	39.5
ecdc/worldwide	24b66ac02578	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-09	70	12	9	3			-23	-20	-26	169			169	3.0910267128723334			3.0910267128723334				100	22			22	14.965986394557824			14.965986394557824	7.427413909520594			7.529089664613278	323802	5467439	8.1	39.5
ecdc/worldwide	15f0918a584c	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-10	71	13	10	4			-22	-19	-25	192			192	3.511698987405255			3.511698987405255				100	23			23	13.609467455621301			13.609467455621301	7.765023632680622			7.871321013004791	323802	5467439	8.1	39.5
ecdc/worldwide	662562630fac	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-11	72	14	11	5			-21	-18	-24	277			277	5.06635739328779			5.06635739328779				100	85			85	44.270833333333336			44.270833333333336	28.6968264686023			29.089664613278575	323802	5467439	8.1	39.5
ecdc/worldwide	54a88c0b345a	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-12	73	15	12	6			-20	-17	-23	489			489	8.94385835854776			8.94385835854776				100	212			212	76.53429602888086			76.53429602888086	71.57326130992573			72.55304585900069	323802	5467439	8.1	39.5
ecdc/worldwide	b9cb8d51b351	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-13	74	16	13	7			-19	-16	-22	621	1		620	11.358151412388871	0.018290098892735702		11.339861313496137		0.1610305958132045		99.8389694041868	132	1		131	26.993865030674847			26.789366053169733	44.564483457123565	13.157894736842104		44.83230663928816	323802	5467439	8.1	39.5
ecdc/worldwide	45afe01cdc30	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-15	76	18	15	9			-17	-14	-20	907	1		906	16.589119695711283	0.018290098892735702		16.570829596818545		0.11025358324145534		99.88974641675854	286			286	46.05475040257649			46.12903225806452	96.55638082376773			97.87816563997262	323802	5467439	8.1	39.5
ecdc/worldwide	a0a7a4580c58	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-16	77	19	16	10	1		-16	-13	-19	1077	1		1076	19.69843650747635	0.018290098892735702		19.680146408583614		0.09285051067780872		99.9071494893222	170			170	18.74310915104741			18.763796909492275	57.3936529372046			58.17932922655715	323802	5467439	8.1	39.5
ecdc/worldwide	33a21a489b9e	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-17	78	20	17	11	2		-15	-12	-18	1169	3		1166	21.381125605608037	0.05487029667820711		21.326255308929827		0.2566295979469632		99.74337040205303	92	2		90	8.542246982358403	200		8.364312267657992	31.060094530722488	26.31578947368421		30.800821355236142	323802	5467439	8.1	39.5
ecdc/worldwide	e04912121f4d	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-18	79	21	18	12	3		-14	-11	-17	1308	3		1305	23.9234493516983	0.05487029667820711		23.868579055020092		0.22935779816513763		99.77064220183486	139			139	11.890504704875962			11.921097770154374	46.927751519243756			47.57015742642026	323802	5467439	8.1	39.5
ecdc/worldwide	feccc9533561	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-19	80	22	19	13	4		-13	-10	-16	1423	3		1420	26.026810724362903	0.05487029667820711		25.971940427684697		0.21082220660576245		99.78917779339423	115			115	8.792048929663608			8.812260536398467	38.825118163403104			39.356605065023956	323802	5467439	8.1	39.5
ecdc/worldwide	c31f9aed28ae	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-20	81	23	20	14	5		-12	-9	-15	1552	6		1546	28.386233481525807	0.10974059335641421		28.276492888169397		0.3865979381443299		99.61340206185567	129	3		126	9.065354884047787	100		8.873239436619718	43.55165428764349	39.473684210526315		43.121149897330596	323802	5467439	8.1	39.5
ecdc/worldwide	db27e048d584	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-21	82	24	21	15	6		-11	-8	-14	1742	7		1735	31.86135227114559	0.12803069224914992		31.733321578896444		0.4018369690011481		99.59816303099885	190	1		189	12.242268041237113	16.666666666666668		12.22509702457956	64.14584740040513	13.157894736842104		64.68172484599589	323802	5467439	8.1	39.5
ecdc/worldwide	183dcfa7c09b	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-22	83	25	22	16	7		-10	-7	-13	1926	7		1919	35.22673046740896	0.12803069224914992		35.098699775159815		0.363447559709242		99.63655244029076	184			184	10.562571756601608			10.605187319884726	62.120189061444975			62.97056810403833	323802	5467439	8.1	39.5
ecdc/worldwide	fd7bc8ebc5f7	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-23	84	26	23	17	8		-9	-6	-12	2132	7		2125	38.99449083931252	0.12803069224914992		38.86646014706337		0.3283302063789869		99.671669793621	206			206	10.695742471443406			10.734757686294945	69.54760297096557			70.49965776865162	323802	5467439	8.1	39.5
ecdc/worldwide	9a3626fc389d	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-24	85	27	24	18	9		-8	-5	-11	2371	8		2363	43.36582447467635	0.14632079114188562		43.21950368353447		0.3374103753690426		99.66258962463095	239	1		238	11.210131332082552	14.285714285714286		11.2	80.68872383524646	13.157894736842104		81.45106091718002	323802	5467439	8.1	39.5
ecdc/worldwide	71d6196bc0dd	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-25	86	28	25	19	10		-7	-4	-10	2566	10		2556	46.93239375875981	0.18290098892735704		46.74949276983246		0.3897116134060795		99.61028838659392	195	2		193	8.224377899620414	25		8.167583580194668	65.83389601620527	26.31578947368421		66.05065023956195	323802	5467439	8.1	39.5
ecdc/worldwide	5bab415848ee	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-26	87	29	26	20	11		-6	-3	-9	2916	12		2904	53.33392837121731	0.21948118671282843		53.11444718450448		0.411522633744856		99.58847736625515	350	2		348	13.639906469212782	20		13.615023474178404	118.16340310600945	26.31578947368421		119.09650924024642	323802	5467439	8.1	39.5
ecdc/worldwide	af3b808c0590	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-27	88	30	27	21	12		-5	-2	-8	3156	14		3142	57.72355210547387	0.25606138449829985		57.467490720975576		0.4435994930291508		99.55640050697086	240	2		238	8.23045267489712	16.666666666666668		8.195592286501377	81.02633355840648	26.31578947368421		81.45106091718002	323802	5467439	8.1	39.5
ecdc/worldwide	d175b5cad5df	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-28	89	31	28	22	13		-4	-1	-7	3581	16		3565	65.49684413488654	0.29264158228377124		65.20420255260278		0.4468025691147724		99.55319743088523	425	2		423	13.466413181242078	14.285714285714286		13.462762571610439	143.48413234301148	26.31578947368421		144.76386036960986	323802	5467439	8.1	39.5
ecdc/worldwide	8c54310f2feb	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-29	90	32	29	23	14		-3	0	-6	3845	20		3825	70.32543024256877	0.3658019778547141		69.95962826471406		0.5201560468140443		99.47984395318595	264	4		260	7.372242390393745	25		7.293127629733521	89.12896691424713	52.63157894736842		88.9801505817933	323802	5467439	8.1	39.5
ecdc/worldwide	b7e12cab711b	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-30	91	33	30	24	15		-2	1	-5	4102	22		4080	75.02598565800184	0.40238217564018547		74.62360348236167		0.5363237445148707		99.46367625548514	257	2		255	6.684005201560468	10		6.666666666666667	86.76569885212695	26.31578947368421		87.26899383983573	323802	5467439	8.1	39.5
ecdc/worldwide	330168989d54	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-03-31	92	34	31	25	16		-1	2	-4	4226	26		4200	77.29395792070108	0.4755425712111283		76.81841534948994		0.6152389966871746		99.38476100331283	124	4		120	3.022915650901999	18.181818181818183		2.9411764705882355	41.86360567184335	52.63157894736842		41.06776180698152	323802	5467439	8.1	39.5
ecdc/worldwide	f0a31544c1ed	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-01	93	35	32	26	17		0	3	-3	4447	28		4419	81.33606977599567	0.5121227689965997		80.82394700699906		0.6296379581740499		99.37036204182596	221	2		219	5.229531471840985	7.6923076923076925		5.214285714285714	74.61174881836598	26.31578947368421		74.94866529774129	323802	5467439	8.1	39.5
ecdc/worldwide	80e799323c37	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-02	94	36	33	27	18		1	4	-2	4665	32		4633	85.32331133461206	0.5852831645675425		84.73802817004452		0.6859592711682744		99.31404072883171	218	4		214	4.902181245783674	14.285714285714286		4.842724598325413	73.59891964888588	52.63157894736842		73.23750855578372	323802	5467439	8.1	39.5
ecdc/worldwide	6d0ae5ca3c26	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-03	95	37	34	28	19		2	5	-1	4935	42		4893	90.26163803565069	0.7681841534948994		89.49345388215579		0.851063829787234		99.14893617021276	270	10		260	5.787781350482315	31.25		5.611914526224909	91.1546252532073	131.57894736842107		88.9801505817933	323802	5467439	8.1	39.5
ecdc/worldwide	d646378f0f22	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-04	96	38	35	29	20		3	6	0	5208	44		5164	95.25483503336754	0.8047643512803709		94.45007068208716		0.8448540706605223		99.15514592933948	273	2		271	5.531914893617022	4.761904761904762		5.538524422644595	92.16745442268738	26.31578947368421		92.74469541409994	323802	5467439	8.1	39.5
ecdc/worldwide	ecd28e01fb96	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-05	97	39	36	30	21		4	7	1	5510	50		5460	100.77844489897372	0.9145049446367851		99.86393995433693		0.9074410163339384		99.09255898366605	302	6		296	5.798771121351766	13.636363636363637		5.731990704879938	101.95813639432816	78.94736842105263		101.30047912388775	323802	5467439	8.1	39.5
ecdc/worldwide	7e0f958799c5	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-06	98	40	37	31	22		5	8	2	5640	58		5582	103.15615775502935	1.0608257357786708		102.09533201925069		1.028368794326241		98.97163120567376	130	8		122	2.3593466424682394	16		2.2344322344322345	43.889264010803515	105.26315789473684		41.752224503764545	323802	5467439	8.1	39.5
ecdc/worldwide	7da870fabe50	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-07	99	41	38	32	23		6	9	3	5755	59		5696	105.25951912769396	1.0791158346714065		104.18040329302256		1.0251954821894005		98.9748045178106	115	1		114	2.0390070921985815	1.7241379310344827		2.042278753135077	38.825118163403104	13.157894736842104		39.01437371663244	323802	5467439	8.1	39.5
ecdc/worldwide	8df485bdacbe	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-08	100	42	39	33	24		7	10	4	5863	69		5794	107.23484980810942	1.2620168235987634		105.97283298451066		1.1768719085792256		98.82312809142077	108	10		98	1.8766290182450043	16.949152542372882		1.720505617977528	36.46185010128292	131.57894736842107		33.53867214236824	323802	5467439	8.1	39.5
ecdc/worldwide	5ed7a6ecc4bc	f3446d2293a0	total-country	Norway	NO	Norway			62	10	Europe	Northern Europe	2020-04-09	101	43	40	34	25		8	11	5	6010	80		5930	109.92349434534157	1.4632079114188563		108.46028643392272		1.3311148086522462		98.66888519134775	147	11		136	2.5072488487122633	15.942028985507246		2.347255781843286	49.628629304523976	144.73684210526315		46.54346338124572	323802	5467439	8.1	39.5
