dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	56031cda8e1d	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-10	71	1					-23	-23	-23	1			1	0.025679993384833705			0.025679993384833705				100	1			1					0.6451612903225806			0.6613756613756614	75420	3894082	5.1	30.1
ecdc/worldwide	8c145a66ec88	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-11	72	2					-22	-22	-22	7	1		6	0.17975995369383593	0.025679993384833705		0.15407996030900223		14.285714285714285		85.71428571428571	6	1		5	600			500	3.870967741935484	19.23076923076923		3.3068783068783074	75420	3894082	5.1	30.1
ecdc/worldwide	25841207ee0c	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-12	73	3	1				-21	-21	-21	14	1		13	0.35951990738767187	0.025679993384833705		0.3338399140028382		7.142857142857142		92.85714285714286	7			7	100			116.66666666666667	4.516129032258064			4.62962962962963	75420	3894082	5.1	30.1
ecdc/worldwide	fb44826003d6	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-13	74	4	2				-20	-20	-20	27	1		26	0.69335982139051	0.025679993384833705		0.6676798280056764		3.7037037037037033		96.29629629629629	13			13	92.85714285714286			100	8.38709677419355			8.597883597883598	75420	3894082	5.1	30.1
ecdc/worldwide	66c0a704759c	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-14	75	5	3				-19	-19	-19	36	1		35	0.9244797618540133	0.025679993384833705		0.8987997684691797		2.7777777777777777		97.22222222222221	9			9	33.333333333333336			34.61538461538461	5.806451612903226			5.9523809523809526	75420	3894082	5.1	30.1
ecdc/worldwide	04dac570e188	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-15	76	6	4				-18	-18	-18	43	1		42	1.1042397155478494	0.025679993384833705		1.0785597221630157		2.3255813953488373		97.67441860465115	7			7	19.444444444444443			20	4.516129032258064			4.62962962962963	75420	3894082	5.1	30.1
ecdc/worldwide	673d7678d4f5	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-17	78	8	6				-16	-16	-16	69	1		68	1.7719195435535258	0.025679993384833705		1.746239550168692		1.4492753623188406		98.55072463768117	26			26	60.46511627906977			61.904761904761905	16.7741935483871			17.195767195767196	75420	3894082	5.1	30.1
ecdc/worldwide	b7a99dabf521	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-18	79	9	7				-15	-15	-15	86	1		85	2.2084794310956988	0.025679993384833705		2.182799437710865		1.1627906976744187		98.83720930232558	17			17	24.63768115942029			25	10.967741935483872			11.243386243386244	75420	3894082	5.1	30.1
ecdc/worldwide	75cad5435def	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-19	80	10	8	1			-14	-14	-14	109	1		108	2.7991192789468737	0.025679993384833705		2.77343928556204		0.9174311926605505		99.08256880733946	23			23	26.74418604651163			27.058823529411764	14.838709677419354			15.211640211640212	75420	3894082	5.1	30.1
ecdc/worldwide	885068d0edb9	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-20	81	11	9	2			-13	-13	-13	137	1		136	3.5181590937222174	0.025679993384833705		3.492479100337384		0.7299270072992701		99.27007299270073	28			28	25.68807339449541			25.925925925925927	18.064516129032256			18.51851851851852	75420	3894082	5.1	30.1
