dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	d838c3e303b9	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-19	80	1					-12	-12		3			3	1.017			1.017				100	3			3					62.5			62.5	4167	295121	5.5	33.3
ecdc/worldwide	4758cee1822c	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-21	82	3	1				-10	-10		15			15	5.083			5.083				100	12			12	400			400	250			250	4167	295121	5.5	33.3
ecdc/worldwide	cae291da6532	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-22	83	4	2				-9	-9		17			17	5.76			5.76				100	2			2	13.333			13.333	41.667			41.667	4167	295121	5.5	33.3
ecdc/worldwide	b04ffb559405	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-23	84	5	3				-8	-8		18			18	6.099			6.099				100	1			1	5.882			5.882	20.833			20.833	4167	295121	5.5	33.3
ecdc/worldwide	581a90c17f74	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-24	85	6	4				-7	-7		23			23	7.793			7.793				100	5			5	27.778			27.778	104.167			104.167	4167	295121	5.5	33.3
ecdc/worldwide	943ba19504df	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-25	86	7	5				-6	-6		25			25	8.471			8.471				100	2			2	8.696			8.696	41.667			41.667	4167	295121	5.5	33.3
ecdc/worldwide	882ff041d091	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-27	88	9	7				-4	-4		30			30	10.165			10.165				100	5			5	20			20	104.167			104.167	4167	295121	5.5	33.3
ecdc/worldwide	59712fbb5b64	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-29	90	11	9				-2	-2		34			34	11.521			11.521				100	4			4	13.333			13.333	83.333			83.333	4167	295121	5.5	33.3
ecdc/worldwide	48a335926b0a	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-30	91	12	10				-1	-1		35			35	11.86			11.86				100	1			1	2.941			2.941	20.833			20.833	4167	295121	5.5	33.3
ecdc/worldwide	b9e6ff6cbfaa	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-03-31	92	13	11				0	0		36			36	12.198			12.198				100	1			1	2.857			2.857	20.833			20.833	4167	295121	5.5	33.3
ecdc/worldwide	1bc6abba4598	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-01	93	14	12				1	1		37			37	12.537			12.537				100	1			1	2.778			2.778	20.833			20.833	4167	295121	5.5	33.3
ecdc/worldwide	173b9a43f7cc	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-04	96	17	15				4	4		39			39	13.215			13.215				100	2			2	5.405			5.405	41.667			41.667	4167	295121	5.5	33.3
ecdc/worldwide	b3303591b296	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-05	97	18	16				5	5		40			40	13.554			13.554				100	1			1	2.564			2.564	20.833			20.833	4167	295121	5.5	33.3
ecdc/worldwide	b659d66f34d3	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-06	98	19	17				6	6		41			41	13.893			13.893				100	1			1	2.5			2.5	20.833			20.833	4167	295121	5.5	33.3
ecdc/worldwide	5d11d599b70e	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-08	100	21	19				8	8		47			47	15.926			15.926				100	6			6	14.634			14.634	125			125	4167	295121	5.5	33.3
ecdc/worldwide	9490eaf15860	e7061ea06658	total-country	French Polynesia	PF	French Polynesia			-15	-140	Oceania	Polynesia	2020-04-09	101	22	20				9	9		51			51	17.281			17.281				100	4			4	8.511			8.511	83.333			83.333	4167	295121	5.5	33.3
