dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	d9724083d8cb	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-01-30	31	1					-63	-63	-64	1			1	0.0009159118293813799			0.0009159118293813799				100	1			1					0.28801843317972353			0.2997601918465228	300000	109180815	6	24.1
ecdc/worldwide	279e9f8c5e4e	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-02-02	34	4					-60	-60	-61	2	1		1	0.0018318236587627598	0.0009159118293813799		0.0009159118293813799		50		50	1	1			100				0.28801843317972353	7.462686567164178			300000	109180815	6	24.1
ecdc/worldwide	b4bd0292dbe4	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-02-06	38	8					-56	-56	-57	3	1		2	0.0027477354881441395	0.0009159118293813799		0.0018318236587627598		33.33333333333333		66.66666666666666	1			1	50			100	0.28801843317972353			0.2997601918465228	300000	109180815	6	24.1
ecdc/worldwide	73bc7a7be406	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-07	68	38					-26	-26	-27	5	1		4	0.004579559146906899	0.0009159118293813799		0.0036636473175255197		20		80	2			2	66.66666666666667			100	0.5760368663594471			0.5995203836930456	300000	109180815	6	24.1
ecdc/worldwide	45fb97a5c608	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-08	69	39					-25	-25	-26	6	1		5	0.005495470976288279	0.0009159118293813799		0.004579559146906899		16.666666666666664		83.33333333333334	1			1	20			25	0.28801843317972353			0.2997601918465228	300000	109180815	6	24.1
ecdc/worldwide	9edfa0763c17	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-09	70	40	1				-24	-24	-25	10	1		9	0.009159118293813799	0.0009159118293813799		0.008243206464432417		10		90	4			4	66.66666666666667			80	1.1520737327188941			1.1990407673860912	300000	109180815	6	24.1
ecdc/worldwide	575c1f1780d0	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-10	71	41	2				-23	-23	-24	33	1		32	0.030225090369585535	0.0009159118293813799		0.029309178540204157		3.0303030303030303		96.96969696969697	23			23	230			255.55555555555554	6.624423963133641			6.894484412470024	300000	109180815	6	24.1
ecdc/worldwide	829cd59694bc	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-12	73	43	4				-21	-21	-22	49	2		47	0.044879679639687614	0.0018318236587627598		0.04304785598092485		4.081632653061225		95.91836734693877	16	1		15	48.484848484848484	100		46.875	4.6082949308755765	7.462686567164178		4.496402877697841	300000	109180815	6	24.1
ecdc/worldwide	60c1e48da537	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-13	74	44	5				-20	-20	-21	52	2		50	0.04762741512783175	0.0018318236587627598		0.04579559146906899		3.8461538461538463		96.15384615384616	3			3	6.122448979591836			6.382978723404255	0.8640552995391706			0.8992805755395683	300000	109180815	6	24.1
ecdc/worldwide	2ba053477a00	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-14	75	45	6				-19	-19	-20	64	6		58	0.058618357080408315	0.005495470976288279		0.053122886104120026		9.375		90.625	12	4		8	23.076923076923077	200		16	3.4562211981566824	29.850746268656714		2.3980815347721824	300000	109180815	6	24.1
ecdc/worldwide	2e91c38d7f53	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-15	76	46	7	1			-18	-18	-19	111	6		105	0.10166621306133315	0.005495470976288279		0.09617074208504488		5.405405405405405		94.5945945945946	47			47	73.4375			81.03448275862068	13.536866359447005			14.08872901678657	300000	109180815	6	24.1
ecdc/worldwide	0f1ca462a6ae	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-16	77	47	8	2			-17	-17	-18	140	12		128	0.12822765611339318	0.010990941952576558		0.11723671416081663		8.571428571428571		91.42857142857143	29	6		23	26.126126126126128	100		21.904761904761905	8.352534562211982	44.776119402985074		6.894484412470024	300000	109180815	6	24.1
ecdc/worldwide	bdd3b34bad84	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-17	78	48	9	3			-16	-16	-17	142	12		130	0.13005947977215593	0.010990941952576558		0.11906853781957938		8.450704225352112		91.54929577464789	2			2	1.4285714285714286			1.5625	0.5760368663594471			0.5995203836930456	300000	109180815	6	24.1
ecdc/worldwide	6b44f580c8fc	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-18	79	49	10	4			-15	-15	-16	187	14		173	0.17127551209431802	0.012822765611339318		0.15845274648297872		7.4866310160427805		92.51336898395722	45	2		43	31.690140845070424	16.666666666666668		33.07692307692308	12.960829493087559	14.925373134328357		12.88968824940048	300000	109180815	6	24.1
ecdc/worldwide	8a1e3242eab0	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-19	80	50	11	5			-14	-14	-15	202	17		185	0.18501418953503873	0.015570501099483458		0.16944368843555527		8.415841584158416		91.58415841584159	15	3		12	8.02139037433155	21.428571428571427		6.936416184971098	4.320276497695852	22.388059701492537		3.597122302158273	300000	109180815	6	24.1
ecdc/worldwide	6182edbfb9d6	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-20	81	51	12	6			-13	-13	-14	230	18		212	0.21065972075771738	0.016486412928864835		0.19417330782885253		7.82608695652174		92.17391304347827	28	1		27	13.861386138613861	5.882352941176471		14.594594594594595	8.064516129032258	7.462686567164178		8.093525179856115	300000	109180815	6	24.1
ecdc/worldwide	fec234ebde09	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-22	83	53	14	8			-11	-11	-12	380	25		355	0.3480464951649243	0.022897795734534494		0.3251486994303898		6.578947368421052		93.42105263157895	150	7		143	65.21739130434783	38.888888888888886		67.45283018867924	43.20276497695853	52.23880597014925		42.86570743405275	300000	109180815	6	24.1
ecdc/worldwide	c656cf964a20	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-24	85	55	16	10			-9	-9	-10	462	33		429	0.42315126517419754	0.030225090369585535		0.39292617480461195		7.142857142857142		92.85714285714286	82	8		74	21.57894736842105	32		20.845070422535212	23.617511520737327	59.70149253731343		22.182254196642685	300000	109180815	6	24.1
ecdc/worldwide	c8799b8e7976	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-25	86	56	17	11			-8	-8	-9	552	35		517	0.5055833298185217	0.032056914028348295		0.47352641579017335		6.340579710144928		93.65942028985508	90	2		88	19.48051948051948	6.0606060606060606		20.512820512820515	25.921658986175117	14.925373134328357		26.378896882494	300000	109180815	6	24.1
ecdc/worldwide	f91ba9abf60a	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-26	87	57	18	12			-7	-7	-8	636	38		598	0.5825199234865576	0.03480464951649243		0.5477152739700651		5.9748427672955975		94.0251572327044	84	3		81	15.217391304347826	8.571428571428571		15.667311411992262	24.193548387096776	22.388059701492537		24.280575539568343	300000	109180815	6	24.1
ecdc/worldwide	b3b861db251b	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-27	88	58	19	13			-6	-6	-7	707	45		662	0.6475496633726356	0.041216032322162095		0.6063336310504734		6.364922206506366		93.63507779349364	71	7		64	11.163522012578616	18.42105263157895		10.702341137123746	20.44930875576037	52.23880597014925		19.18465227817746	300000	109180815	6	24.1
ecdc/worldwide	38fc0bcd8d2f	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-28	89	59	20	14			-5	-5	-6	803	54		749	0.735477198993248	0.049459238786594514		0.6860179602066535		6.724782067247821		93.27521793275217	96	9		87	13.578500707213578	20		13.141993957703928	27.64976958525346	67.16417910447761		26.07913669064748	300000	109180815	6	24.1
ecdc/worldwide	2bb36883b54d	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-29	90	60	21	15	1		-4	-4	-5	1075	68		1007	0.9846052165849833	0.062282004397933834		0.9223232121870496		6.325581395348837		93.67441860465117	272	14		258	33.872976338729764	25.925925925925927		34.44592790387183	78.3410138248848	104.4776119402985		77.33812949640287	300000	109180815	6	24.1
ecdc/worldwide	de46006ce0b0	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-30	91	61	22	16	2		-3	-3	-4	1418	71		1347	1.2987629740627966	0.06502973988607796		1.2337332341767187		5.007052186177715		94.99294781382228	343	3		340	31.906976744186046	4.411764705882353		33.76365441906653	98.79032258064517	22.388059701492537		101.91846522781773	300000	109180815	6	24.1
ecdc/worldwide	59c416e0337a	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-31	92	62	23	17	3		-2	-2	-3	2084	88		1996	1.9087602524307956	0.08060024098556143		1.828160011445234		4.222648752399232		95.77735124760078	666	17		649	46.96755994358251	23.943661971830984		48.181143281366	191.82027649769586	126.86567164179104		194.54436450839327	300000	109180815	6	24.1
ecdc/worldwide	0516643eca86	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-02	94	64	25	19	5		-0	0	-1	2311	96		2215	2.1166722377003686	0.08792753562061247		2.0287447020797567		4.154045867589788		95.84595413241021	227	8		219	10.892514395393475	9.090909090909092		10.97194388777555	65.38018433179724	59.70149253731343		65.64748201438849	300000	109180815	6	24.1
ecdc/worldwide	2b0059bfa626	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-03	95	65	26	20	6		0	1	0	2633	107		2526	2.411595846761173	0.09800256574380764		2.3135932810173654		4.063805545005697		95.93619445499431	322	11		311	13.93336218087408	11.458333333333334		14.040632054176072	92.74193548387098	82.08955223880596		93.22541966426859	300000	109180815	6	24.1
ecdc/worldwide	909681b7a841	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-04	96	66	27	21	7		1	2	1	3018	136		2882	2.7642219010730043	0.12456400879586767		2.6396578922771368		4.506295559973492		95.4937044400265	385	29		356	14.622104063805544	27.102803738317757		14.093428345209817	110.88709677419355	216.4179104477612		106.71462829736211	300000	109180815	6	24.1
ecdc/worldwide	2d35a185c219	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-05	97	67	28	22	8		2	3	2	3094	144		2950	2.833831200105989	0.13189130343091868		2.7019398966750705		4.654169360051713		95.34583063994829	76	8		68	2.518223989396952	5.882352941176471		2.359472588480222	21.889400921658986	59.70149253731343		20.383693045563547	300000	109180815	6	24.1
ecdc/worldwide	5212b0c28c41	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-06	98	68	29	23	9		3	4	3	3246	152		3094	2.973049798171959	0.13921859806596973		2.833831200105989		4.682686383240911		95.3173136167591	152	8		144	4.912734324499031	5.555555555555555		4.88135593220339	43.77880184331797	59.70149253731343		43.16546762589928	300000	109180815	6	24.1
ecdc/worldwide	6542d1b1cc5b	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-07	99	69	30	24	10		4	5	4	3660	163		3497	3.35223729553585	0.14929362818916492		3.2029436673466853		4.453551912568305		95.54644808743168	414	11		403	12.754158964879853	7.2368421052631575		13.025210084033613	119.23963133640554	82.08955223880596		120.80335731414866	300000	109180815	6	24.1
ecdc/worldwide	92039b418751	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-04-08	100	70	31	25	11		5	6	5	3764	177		3587	3.447492125791514	0.16211639380050422		3.2853757319910097		4.702444208289054		95.29755579171095	104	14		90	2.841530054644809	8.588957055214724		2.5736345438947668	29.95391705069125	104.4776119402985		26.978417266187048	300000	109180815	6	24.1
