dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	f0f33ca34711	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-04	65	1					-33	-34	-33	1			1	0.003			0.003				100	1			1					0.003			0.003	0.248			0.257	312685	38282325	10.6	41.9
ecdc/worldwide	0ecf32503352	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-07	68	4					-30	-31	-30	5			5	0.013			0.013				100	4			4	400			400	0.01			0.01	0.993			1.03	312685	38282325	10.6	41.9
ecdc/worldwide	bafbe0ff1fe9	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-08	69	5					-29	-30	-29	6			6	0.016			0.016				100	1			1	20			20	0.003			0.003	0.248			0.257	312685	38282325	10.6	41.9
ecdc/worldwide	4ea15f04cfdb	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-09	70	6	1				-28	-29	-28	11			11	0.029			0.029				100	5			5	83.333			83.333	0.013			0.013	1.241			1.287	312685	38282325	10.6	41.9
ecdc/worldwide	360c95687ed3	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-10	71	7	2				-27	-28	-27	17			17	0.044			0.044				100	6			6	54.545			54.545	0.016			0.016	1.49			1.545	312685	38282325	10.6	41.9
ecdc/worldwide	f06bc06e7a48	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-11	72	8	3				-26	-27	-26	22			22	0.057			0.057				100	5			5	29.412			29.412	0.013			0.013	1.241			1.287	312685	38282325	10.6	41.9
ecdc/worldwide	0a35341aa25a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-12	73	9	4				-25	-26	-25	31			31	0.081			0.081				100	9			9	40.909			40.909	0.024			0.024	2.234			2.317	312685	38282325	10.6	41.9
ecdc/worldwide	211ebb375bdf	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-13	74	10	5				-24	-25	-24	49	1		48	0.128	0.003		0.125		2.041		97.959	18	1		17	58.065			54.839	0.047	0.003		0.044	4.469	6.25		4.377	312685	38282325	10.6	41.9
ecdc/worldwide	fadc09d3dd9f	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-14	75	11	6				-23	-24	-23	68	2		66	0.178	0.005		0.172		2.941		97.059	19	1		18	38.776	100		37.5	0.05	0.003		0.047	4.717	6.25		4.634	312685	38282325	10.6	41.9
ecdc/worldwide	49dcb411f373	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-15	76	12	7	1			-22	-23	-22	104	3		101	0.272	0.008		0.264		2.885		97.115	36	1		35	52.941	50		53.03	0.094	0.003		0.091	8.937	6.25		9.011	312685	38282325	10.6	41.9
ecdc/worldwide	9cb9faabcb79	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-16	77	13	8	2			-21	-22	-21	125	3		122	0.327	0.008		0.319		2.4		97.6	21			21	20.192			20.792	0.055			0.055	5.214			5.407	312685	38282325	10.6	41.9
ecdc/worldwide	7d072158dee6	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-17	78	14	9	3			-20	-21	-20	177	4		173	0.462	0.01		0.452		2.26		97.74	52	1		51	41.6	33.333		41.803	0.136	0.003		0.133	12.91	6.25		13.131	312685	38282325	10.6	41.9
ecdc/worldwide	bef6ef687709	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-18	79	15	10	4			-19	-20	-19	238	5		233	0.622	0.013		0.609		2.101		97.899	61	1		60	34.463	25		34.682	0.159	0.003		0.157	15.144	6.25		15.448	312685	38282325	10.6	41.9
ecdc/worldwide	bf6eb1b11a4d	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-19	80	16	11	5			-18	-19	-18	287	5		282	0.75	0.013		0.737		1.742		98.258	49			49	20.588			21.03	0.128			0.128	12.165			12.616	312685	38282325	10.6	41.9
ecdc/worldwide	bf0ba07a16b1	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-20	81	17	12	6			-17	-18	-17	355	5		350	0.927	0.013		0.914		1.408		98.592	68			68	23.693			24.113	0.178			0.178	16.882			17.508	312685	38282325	10.6	41.9
ecdc/worldwide	ffc070ae0123	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-21	82	18	13	7			-16	-17	-16	425	5		420	1.11	0.013		1.097		1.176		98.824	70			70	19.718			20	0.183			0.183	17.378			18.023	312685	38282325	10.6	41.9
ecdc/worldwide	03ae6e75adbd	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-22	83	19	14	8			-15	-16	-15	536	5		531	1.4	0.013		1.387		0.933		99.067	111			111	26.118			26.429	0.29			0.29	27.557			28.579	312685	38282325	10.6	41.9
ecdc/worldwide	371625710ffc	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-23	84	20	15	9			-14	-15	-14	634	7		627	1.656	0.018		1.638		1.104		98.896	98	2		96	18.284	40		18.079	0.256	0.005		0.251	24.33	12.5		24.717	312685	38282325	10.6	41.9
ecdc/worldwide	b30d9a982f12	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-24	85	21	16	10			-13	-14	-13	749	8		741	1.957	0.021		1.936		1.068		98.932	115	1		114	18.139	14.286		18.182	0.3	0.003		0.298	28.55	6.25		29.351	312685	38282325	10.6	41.9
ecdc/worldwide	dbad23e1584a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-25	86	22	17	11			-12	-13	-12	901	10		891	2.354	0.026		2.327		1.11		98.89	152	2		150	20.294	25		20.243	0.397	0.005		0.392	37.736	12.5		38.62	312685	38282325	10.6	41.9
ecdc/worldwide	0da547682dee	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-26	87	23	18	12	1		-11	-12	-11	1051	14		1037	2.745	0.037		2.709		1.332		98.668	150	4		146	16.648	40		16.386	0.392	0.01		0.381	37.239	25		37.59	312685	38282325	10.6	41.9
ecdc/worldwide	6e1d45588978	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-27	88	24	19	13	2		-10	-11	-10	1221	16		1205	3.189	0.042		3.148		1.31		98.69	170	2		168	16.175	14.286		16.201	0.444	0.005		0.439	42.205	12.5		43.254	312685	38282325	10.6	41.9
ecdc/worldwide	a6bce18b199c	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-28	89	25	20	14	3		-9	-10	-9	1389	16		1373	3.628	0.042		3.587		1.152		98.848	168			168	13.759			13.942	0.439			0.439	41.708			43.254	312685	38282325	10.6	41.9
ecdc/worldwide	5bfc257f58a9	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-29	90	26	21	15	4		-8	-9	-8	1638	18		1620	4.279	0.047		4.232		1.099		98.901	249	2		247	17.927	12.5		17.99	0.65	0.005		0.645	61.817	12.5		63.594	312685	38282325	10.6	41.9
ecdc/worldwide	4b3241ea03d5	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-30	91	27	22	16	5		-7	-8	-7	1862	22		1840	4.864	0.057		4.806		1.182		98.818	224	4		220	13.675	22.222		13.58	0.585	0.01		0.575	55.611	25		56.643	312685	38282325	10.6	41.9
ecdc/worldwide	7953ce999918	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-31	92	28	23	17	6		-6	-7	-6	2055	31		2024	5.368	0.081		5.287		1.509		98.491	193	9		184	10.365	40.909		10	0.504	0.024		0.481	47.915	56.25		47.374	312685	38282325	10.6	41.9
ecdc/worldwide	98a1cf33b53a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-01	93	29	24	18	7		-5	-6	-5	2311	33		2278	6.037	0.086		5.951		1.428		98.572	256	2		254	12.457	6.452		12.549	0.669	0.005		0.663	63.555	12.5		65.396	312685	38282325	10.6	41.9
ecdc/worldwide	916527f5350b	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-02	94	30	25	19	8		-4	-5	-4	2554	43		2511	6.671	0.112		6.559		1.684		98.316	243	10		233	10.515	30.303		10.228	0.635	0.026		0.609	60.328	62.5		59.99	312685	38282325	10.6	41.9
ecdc/worldwide	c33f5fc3630f	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-03	95	31	26	20	9		-3	-4	-3	2946	57		2889	7.695	0.149		7.547		1.935		98.065	392	14		378	15.348	32.558		15.054	1.024	0.037		0.987	97.319	87.5		97.322	312685	38282325	10.6	41.9
ecdc/worldwide	91b2bb9f4f50	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-04	96	32	27	21	10		-2	-3	-2	3383	71		3312	8.837	0.185		8.652		2.099		97.901	437	14		423	14.834	24.561		14.642	1.142	0.037		1.105	108.491	87.5		108.908	312685	38282325	10.6	41.9
ecdc/worldwide	275d0ed7c75e	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-05	97	33	28	22	11		-1	-2	-1	3627	79		3548	9.474	0.206		9.268		2.178		97.822	244	8		236	7.213	11.268		7.126	0.637	0.021		0.616	60.576	50		60.762	312685	38282325	10.6	41.9
ecdc/worldwide	e7eb1b80d05d	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-06	98	34	29	23	12		-0	-1	0	4102	94		4008	10.715	0.246		10.47		2.292		97.708	475	15		460	13.096	18.987		12.965	1.241	0.039		1.202	117.925	93.75		118.435	312685	38282325	10.6	41.9
ecdc/worldwide	fa63f756ac3f	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-07	99	35	30	24	13		0	0	1	4413	107		4306	11.528	0.28		11.248		2.425		97.575	311	13		298	7.582	13.83		7.435	0.812	0.034		0.778	77.21	81.25		76.725	312685	38282325	10.6	41.9
ecdc/worldwide	8a920b65ef21	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-08	100	36	31	25	14		1	1	2	4848	129		4719	12.664	0.337		12.327		2.661		97.339	435	22		413	9.857	20.561		9.591	1.136	0.057		1.079	107.994	137.5		106.334	312685	38282325	10.6	41.9
ecdc/worldwide	be3a0905a371	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-09	101	37	32	26	15		2	2	3	5205	159		5046	13.596	0.415		13.181		3.055		96.945	357	30		327	7.364	23.256		6.929	0.933	0.078		0.854	88.63	187.5		84.192	312685	38282325	10.6	41.9
ecdc/worldwide	ed69ce54e3cf	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-10	102	38	33	27	16		3	3	4	5575	174		5401	14.563	0.455		14.108		3.121		96.879	370	15		355	7.109	9.434		7.035	0.967	0.039		0.927	91.857	93.75		91.401	312685	38282325	10.6	41.9
ecdc/worldwide	a02a6fd34d46	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-04-11	103	39	34	28	17		4	4	5	5955	181		5774	15.555	0.473		15.083		3.039		96.961	380	7		373	6.816	4.023		6.906	0.993	0.018		0.974	94.34	43.75		96.035	312685	38282325	10.6	41.9
