dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	c042939739d7	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-28	89	1	1				-6	-6	-7	64	2		62	2.0068559215419675	0.06271424754818648		1.9441416739937811		3.125		96.875	64	2		62					107.38255033557047	83.33333333333334		107.63888888888889	9104	3189068	9.5	43.6
ecdc/worldwide	e356427b7c6d	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-29	90	2	2	1			-5	-5	-6	100	3		97	3.135712377409324	0.09407137132227973		3.0416410060870445		3		97	36	1		35	56.25	50		56.45161290322581	60.40268456375839	41.66666666666667		60.763888888888886	9104	3189068	9.5	43.6
ecdc/worldwide	929bf193fef4	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-30	91	3	3	2			-4	-4	-5	127	5		122	3.982354719309842	0.15678561887046621		3.8255691004393757		3.937007874015748		96.06299212598425	27	2		25	27	66.66666666666667		25.77319587628866	45.302013422818796	83.33333333333334		43.40277777777778	9104	3189068	9.5	43.6
ecdc/worldwide	e8c032f66607	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-03-31	92	4	4	3			-3	-3	-4	174	6		168	5.456139536692224	0.18814274264455946		5.267996794047665		3.4482758620689653		96.55172413793103	47	1		46	37.00787401574803	20		37.704918032786885	78.85906040268456	41.66666666666667		79.8611111111111	9104	3189068	9.5	43.6
ecdc/worldwide	4e2b7544fe51	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-04-01	93	5	5	4			-2	-2	-3	239	8		231	7.494352582008286	0.25085699019274593		7.243495591815539		3.3472803347280333		96.65271966527197	65	2		63	37.35632183908046	33.333333333333336		37.5	109.06040268456377	83.33333333333334		109.375	9104	3189068	9.5	43.6
ecdc/worldwide	adcd99e9642e	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-04-02	94	6	6	5			-1	-1	-2	286	11		275	8.968137399390667	0.34492836151502565		8.623209037875643		3.8461538461538463		96.15384615384616	47	3		44	19.665271966527197	37.5		19.047619047619047	78.85906040268456	125		76.38888888888889	9104	3189068	9.5	43.6
ecdc/worldwide	5007b0bb5f18	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-04-03	95	7	7	6			-0	0	-1	316	12		304	9.908851112613466	0.3762854852891189		9.532565627324347		3.79746835443038		96.20253164556962	30	1		29	10.48951048951049	9.090909090909092		10.545454545454545	50.335570469798654	41.66666666666667		50.34722222222222	9104	3189068	9.5	43.6
ecdc/worldwide	2213ad33a3d5	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-04-04	96	8	8	7			0	1	0	378	15		363	11.852992786607246	0.47035685661139864		11.382635929995848		3.968253968253968		96.03174603174604	62	3		59	19.620253164556964	25		19.407894736842106	104.02684563758389	125		102.43055555555556	9104	3189068	9.5	43.6
ecdc/worldwide	c164f77d0a24	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-04-05	97	9	9	8			1	2	1	452	18		434	14.173419945890146	0.5644282279336784		13.608991717956467		3.982300884955752		96.01769911504425	74	3		71	19.576719576719576	20		19.55922865013774	124.16107382550334	125		123.26388888888889	9104	3189068	9.5	43.6
ecdc/worldwide	6c10c54cb124	1611daa0662e	total-country	Puerto Rico	PR	Puerto Rico			18.25	-66.5	Americas	Caribbean	2020-04-06	98	10	10	9			2	3	2	475	20		455	14.89463379269429	0.6271424754818649		14.267491317212427		4.2105263157894735		95.78947368421052	23	2		21	5.088495575221239	11.11111111111111		4.838709677419355	38.59060402684564	83.33333333333334		36.45833333333333	9104	3189068	9.5	43.6
