dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	3695c52444ed	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-03	64	1					-30	-29	-32	2			2	0.019			0.019				100	2			2					0.242			0.25	92090	10302674	10.8	44.6
ecdc/worldwide	e85bbb0a8fa6	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-04	65	2					-29	-28	-31	4			4	0.039			0.039				100	2			2	100			100	0.242			0.25	92090	10302674	10.8	44.6
ecdc/worldwide	de3856721d66	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-05	66	3					-28	-27	-30	5			5	0.049			0.049				100	1			1	25			25	0.121			0.125	92090	10302674	10.8	44.6
ecdc/worldwide	f67d162c2545	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-06	67	4					-27	-26	-29	9			9	0.087			0.087				100	4			4	80			80	0.483			0.499	92090	10302674	10.8	44.6
ecdc/worldwide	a9cd8ee4498c	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-07	68	5	1				-26	-25	-28	13			13	0.126			0.126				100	4			4	44.444			44.444	0.483			0.499	92090	10302674	10.8	44.6
ecdc/worldwide	3c6cc9142fbf	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-08	69	6	2				-25	-24	-27	21			21	0.204			0.204				100	8			8	61.538			61.538	0.967			0.998	92090	10302674	10.8	44.6
ecdc/worldwide	a8b0e1d6eb85	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-09	70	7	3				-24	-23	-26	30			30	0.291			0.291				100	9			9	42.857			42.857	1.088			1.123	92090	10302674	10.8	44.6
ecdc/worldwide	8f881c0785da	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-10	71	8	4				-23	-22	-25	39			39	0.379			0.379				100	9			9	30			30	1.088			1.123	92090	10302674	10.8	44.6
ecdc/worldwide	83801d1e87ff	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-11	72	9	5				-22	-21	-24	41			41	0.398			0.398				100	2			2	5.128			5.128	0.242			0.25	92090	10302674	10.8	44.6
ecdc/worldwide	99918494054d	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-12	73	10	6				-21	-20	-23	59			59	0.573			0.573				100	18			18	43.902			43.902	2.175			2.246	92090	10302674	10.8	44.6
ecdc/worldwide	7938ac28f146	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-13	74	11	7				-20	-19	-22	78			78	0.757			0.757				100	19			19	32.203			32.203	2.296			2.37	92090	10302674	10.8	44.6
ecdc/worldwide	e5b2105bac00	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-14	75	12	8	1			-19	-18	-21	112			112	1.087			1.087				100	34			34	43.59			43.59	4.109			4.242	92090	10302674	10.8	44.6
ecdc/worldwide	6499f0ea5dc6	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-15	76	13	9	2			-18	-17	-20	169			169	1.64			1.64				100	57			57	50.893			50.893	6.889			7.111	92090	10302674	10.8	44.6
ecdc/worldwide	e001245261f0	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-16	77	14	10	3			-17	-16	-19	245			245	2.378			2.378				100	76			76	44.97			44.97	9.185			9.481	92090	10302674	10.8	44.6
ecdc/worldwide	c79640804186	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-17	78	15	11	4			-16	-15	-18	331			331	3.213			3.213				100	86			86	35.102			35.102	10.394			10.729	92090	10302674	10.8	44.6
ecdc/worldwide	2bd46052bd34	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-18	79	16	12	5			-15	-14	-17	448	1		447	4.348	0.01		4.339		0.223		99.777	117	1		116	35.347			35.045	14.141	3.356		14.471	92090	10302674	10.8	44.6
ecdc/worldwide	db94436a029b	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-19	80	17	13	6			-14	-13	-16	642	2		640	6.231	0.019		6.212		0.312		99.688	194	1		193	43.304	100		43.177	23.447	3.356		24.077	92090	10302674	10.8	44.6
ecdc/worldwide	6ada832a35ba	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-20	81	18	14	7			-13	-12	-15	785	3		782	7.619	0.029		7.59		0.382		99.618	143	1		142	22.274	50		22.188	17.283	3.356		17.715	92090	10302674	10.8	44.6
ecdc/worldwide	e2b2fe8e61ee	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-21	82	19	15	8	1		-12	-11	-14	1020	6		1014	9.9	0.058		9.842		0.588		99.412	235	3		232	29.936	100		29.668	28.402	10.067		28.942	92090	10302674	10.8	44.6
ecdc/worldwide	16ec42f9c1b7	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-22	83	20	16	9	2		-11	-10	-13	1280	12		1268	12.424	0.116		12.307		0.938		99.063	260	6		254	25.49	100		25.049	31.424	20.134		31.687	92090	10302674	10.8	44.6
