dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	e6d83e167184	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-08	69	1					-20	-25	-15	1			1	0.013904947171629458			0.013904947171629458				100	1			1					10.638297872340425			11.363636363636363	406752	7191685	4.9	29.7
ecdc/worldwide	b5d1f4f634c2	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-11	72	4					-17	-22	-12	5			5	0.06952473585814728			0.06952473585814728				100	4			4	400			400	42.5531914893617			45.45454545454545	406752	7191685	4.9	29.7
ecdc/worldwide	ccd9e697857a	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-13	74	6					-15	-20	-10	6			6	0.08342968302977675			0.08342968302977675				100	1			1	20			20	10.638297872340425			11.363636363636363	406752	7191685	4.9	29.7
ecdc/worldwide	5f24d40a039d	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-14	75	7					-14	-19	-9	7			7	0.0973346302014062			0.0973346302014062				100	1			1	16.666666666666668			16.666666666666668	10.638297872340425			11.363636363636363	406752	7191685	4.9	29.7
ecdc/worldwide	4984cf9bbbfe	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-16	77	9					-12	-17	-7	8			8	0.11123957737303566			0.11123957737303566				100	1			1	14.285714285714286			14.285714285714286	10.638297872340425			11.363636363636363	406752	7191685	4.9	29.7
ecdc/worldwide	40b57bff8ba3	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-17	78	10					-11	-16	-6	9			9	0.12514452454466513			0.12514452454466513				100	1			1	12.5			12.5	10.638297872340425			11.363636363636363	406752	7191685	4.9	29.7
ecdc/worldwide	fed11bdf47b1	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-18	79	11	1				-10	-15	-5	11			11	0.15295441888792402			0.15295441888792402				100	2			2	22.22222222222222			22.22222222222222	21.27659574468085			22.727272727272727	406752	7191685	4.9	29.7
ecdc/worldwide	ca499245889c	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-20	81	13	3				-8	-13	-3	13			13	0.18076431323118294			0.18076431323118294				100	2			2	18.181818181818183			18.181818181818183	21.27659574468085			22.727272727272727	406752	7191685	4.9	29.7
ecdc/worldwide	7f5e8d9ac812	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-21	82	14	4				-7	-12	-2	18	1		17	0.25028904908933025	0.013904947171629458		0.2363841019177008		5.555555555555555		94.44444444444444	5	1		4	38.46153846153846			30.76923076923077	53.191489361702125	66.66666666666666		45.45454545454545	406752	7191685	4.9	29.7
ecdc/worldwide	41c21c34698e	8ea3d17dfa2f	total-country	Paraguay	PY	Paraguay			-23	-58	Americas	South America	2020-03-22	83	15	5				-6	-11	-1	22	1		21	0.30590883777584804	0.013904947171629458		0.2920038906042186		4.545454545454546		95.45454545454545	4			4	22.22222222222222			23.529411764705884	42.5531914893617			45.45454545454545	406752	7191685	4.9	29.7
