dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	1da959d1469a	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-05	66	1					-27	-24	-31	1			1	0.048			0.048				100	1			1					0.048			0.048	1.931			2	20273	2102678	10.3	44.9
ecdc/worldwide	9de1b9aa592c	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-06	67	2					-26	-23	-30	6			6	0.285			0.285				100	5			5	500			500	0.238			0.238	9.653			10	20273	2102678	10.3	44.9
ecdc/worldwide	2419b42be04d	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-07	68	3					-25	-22	-29	9			9	0.428			0.428				100	3			3	50			50	0.143			0.143	5.792			6	20273	2102678	10.3	44.9
ecdc/worldwide	eaf3d7993c33	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-08	69	4	1				-24	-21	-28	12			12	0.571			0.571				100	3			3	33.333			33.333	0.143			0.143	5.792			6	20273	2102678	10.3	44.9
ecdc/worldwide	bfcf4f314aab	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-09	70	5	2				-23	-20	-27	16			16	0.761			0.761				100	4			4	33.333			33.333	0.19			0.19	7.722			8	20273	2102678	10.3	44.9
ecdc/worldwide	6eb1fc5b08a3	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-11	72	7	4				-21	-18	-25	31			31	1.474			1.474				100	15			15	93.75			93.75	0.713			0.713	28.958			30	20273	2102678	10.3	44.9
ecdc/worldwide	7bfac6898e4c	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-12	73	8	5				-20	-17	-24	57			57	2.711			2.711				100	26			26	83.871			83.871	1.237			1.237	50.193			52	20273	2102678	10.3	44.9
ecdc/worldwide	4d07346eabd4	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-13	74	9	6				-19	-16	-23	96			96	4.566			4.566				100	39			39	68.421			68.421	1.855			1.855	75.29			78	20273	2102678	10.3	44.9
ecdc/worldwide	39c8e11bead2	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-14	75	10	7	1			-18	-15	-22	141			141	6.706			6.706				100	45			45	46.875			46.875	2.14			2.14	86.873			90	20273	2102678	10.3	44.9
ecdc/worldwide	dd4b9eab09b6	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-15	76	11	8	2			-17	-14	-21	181			181	8.608			8.608				100	40			40	28.369			28.369	1.902			1.902	77.22			80	20273	2102678	10.3	44.9
ecdc/worldwide	0177ff426e30	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-16	77	12	9	3			-16	-13	-20	219			219	10.415			10.415				100	38			38	20.994			20.994	1.807			1.807	73.359			76	20273	2102678	10.3	44.9
ecdc/worldwide	e6329dd831b5	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-17	78	13	10	4			-15	-12	-19	253			253	12.032			12.032				100	34			34	15.525			15.525	1.617			1.617	65.637			68	20273	2102678	10.3	44.9
ecdc/worldwide	21cecd1e140d	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-18	79	14	11	5			-14	-11	-18	275	1		274	13.079	0.048		13.031		0.364		99.636	22	1		21	8.696			8.3	1.046	0.048		0.999	42.471	23.81		42	20273	2102678	10.3	44.9
ecdc/worldwide	d27b27ba0a5f	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-19	80	15	12	6			-13	-10	-17	286	1		285	13.602	0.048		13.554		0.35		99.65	11			11	4			4.015	0.523			0.523	21.236			22	20273	2102678	10.3	44.9
ecdc/worldwide	0605b64ffd87	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-20	81	16	13	7			-12	-9	-16	319	1		318	15.171	0.048		15.124		0.313		99.687	33			33	11.538			11.579	1.569			1.569	63.707			66	20273	2102678	10.3	44.9
ecdc/worldwide	c45f8601cd59	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-21	82	17	14	8			-11	-8	-15	341	1		340	16.217	0.048		16.17		0.293		99.707	22			22	6.897			6.918	1.046			1.046	42.471			44	20273	2102678	10.3	44.9
ecdc/worldwide	8a078b1d30a3	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-22	83	18	15	9			-10	-7	-14	383	1		382	18.215	0.048		18.167		0.261		99.739	42			42	12.317			12.353	1.997			1.997	81.081			84	20273	2102678	10.3	44.9
ecdc/worldwide	d0e0222c6e95	dcc9c8b4a651	total-country	Slovenia	SI	Slovenia			46.11666666	14.81666666	Europe	Southern Europe	2020-03-23	84	19	16	10			-9	-6	-13	414	1		413	19.689	0.048		19.642		0.242		99.758	31			31	8.094			8.115	1.474			1.474	59.846			62	20273	2102678	10.3	44.9
