dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	a0044e2bb225	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-02-28	60	1					-28	-25	-32	1			1	2.921243281140453			2.921243281140453				100	1			1					4.504504504504505			4.504504504504505	61	34232	9	45.2
ecdc/worldwide	c6b147e35336	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-02	63	4					-25	-22	-29	8	1		7	23.369946249123625	2.921243281140453		20.448702967983174		12.5		87.5	7	1		6	700			600	31.53153153153153	38.46153846153846		27.027027027027028	61	34232	9	45.2
ecdc/worldwide	99e3debc5f0f	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-04	65	6	1				-23	-20	-27	10	1		9	29.212432811404533	2.921243281140453		26.29118953026408		10		90	2			2	25			28.571428571428573	9.00900900900901			9.00900900900901	61	34232	9	45.2
ecdc/worldwide	6258f5b1ea79	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-05	66	7	2				-22	-19	-26	15	1		14	43.8186492171068	2.921243281140453		40.89740593596635		6.666666666666667		93.33333333333333	5			5	50			55.55555555555556	22.52252252252252			22.52252252252252	61	34232	9	45.2
ecdc/worldwide	f7382afd01c3	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-06	67	8	3				-21	-18	-25	22	1		21	64.26735218508998	2.921243281140453		61.34610890394953		4.545454545454546		95.45454545454545	7			7	46.666666666666664			50	31.53153153153153			31.53153153153153	61	34232	9	45.2
ecdc/worldwide	584718fb7dbb	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-07	68	9	4				-20	-17	-24	23	1		22	67.18859546623042	2.921243281140453		64.26735218508998		4.3478260869565215		95.65217391304348	1			1	4.545454545454546			4.761904761904762	4.504504504504505			4.504504504504505	61	34232	9	45.2
ecdc/worldwide	3d265dd7fa05	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-08	69	10	5				-19	-16	-23	26	1		25	75.9523253096518	2.921243281140453		73.03108202851134		3.8461538461538463		96.15384615384616	3			3	13.043478260869565			13.636363636363637	13.513513513513514			13.513513513513514	61	34232	9	45.2
ecdc/worldwide	482bad8febd3	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-09	70	11	6				-18	-15	-22	37	1		36	108.08600140219677	2.921243281140453		105.16475812105632		2.7027027027027026		97.2972972972973	11			11	42.30769230769231			44	49.549549549549546			49.549549549549546	61	34232	9	45.2
ecdc/worldwide	c023e0b7bd11	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-10	71	12	7				-17	-14	-21	49	2		47	143.1409207758822	5.842486562280906		137.2984342136013		4.081632653061225		95.91836734693877	12	1		11	32.432432432432435	100		30.555555555555557	54.054054054054056	38.46153846153846		49.549549549549546	61	34232	9	45.2
ecdc/worldwide	0d6d43eded67	2efc1ccf063f	total-country	San Marino	SM	San Marino			43.76666666	12.41666666	Europe	Southern Europe	2020-03-11	72	13	8				-16	-13	-20	62	2		60	181.1170834307081	5.842486562280906		175.2745968684272		3.225806451612903		96.7741935483871	13			13	26.53061224489796			27.659574468085108	58.55855855855856			58.55855855855856	61	34232	9	45.2
