dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	ea1e03d95961	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-19	80	1					-15	-16	-14	1			1	0.015429474802278995			0.015429474802278995				100	1			1					12.195121951219514			13.157894736842104	21041	6481102	5.9	27.7
ecdc/worldwide	7a09ae6f8e19	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-21	82	3					-13	-14	-12	3			3	0.04628842440683698			0.04628842440683698				100	2			2	200			200	24.39024390243903			26.31578947368421	21041	6481102	5.9	27.7
ecdc/worldwide	82e04254ca81	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-24	85	6					-10	-11	-9	5			5	0.07714737401139497			0.07714737401139497				100	2			2	66.66666666666667			66.66666666666667	24.39024390243903			26.31578947368421	21041	6481102	5.9	27.7
ecdc/worldwide	32c9a74be1dc	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-25	86	7					-9	-10	-8	9			9	0.13886527322051095			0.13886527322051095				100	4			4	80			80	48.78048780487806			52.63157894736842	21041	6481102	5.9	27.7
ecdc/worldwide	3a41bb7816e4	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-26	87	8	1				-8	-9	-7	13			13	0.20058317242962692			0.20058317242962692				100	4			4	44.44444444444444			44.44444444444444	48.78048780487806			52.63157894736842	21041	6481102	5.9	27.7
ecdc/worldwide	9c244122ecc2	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-29	90	11	4				-5	-6	-4	19			19	0.29316002124330093			0.29316002124330093				100	6			6	46.15384615384615			46.15384615384615	73.17073170731709			78.94736842105263	21041	6481102	5.9	27.7
ecdc/worldwide	4c33413674cf	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-30	91	12	5				-4	-5	-3	30			30	0.4628842440683699			0.4628842440683699				100	11			11	57.89473684210526			57.89473684210526	134.14634146341464			144.73684210526315	21041	6481102	5.9	27.7
ecdc/worldwide	f33e41c6adff	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-03-31	92	13	6				-3	-4	-2	32			32	0.49374319367292785			0.49374319367292785				100	2			2	6.666666666666667			6.666666666666667	24.39024390243903			26.31578947368421	21041	6481102	5.9	27.7
ecdc/worldwide	2ba73ad201dc	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-04-01	93	14	7				-2	-3	-1	32	1		31	0.49374319367292785	0.015429474802278995		0.4783137188706489		3.125		96.875		1		-1				-3.125		100		-13.157894736842104	21041	6481102	5.9	27.7
ecdc/worldwide	0e771ee76f03	3b97532383be	total-country	El Salvador	SV	El Salvador			13.83333333	-88.91666666	Americas	Central America	2020-04-02	94	15	8				-1	-2	0	41	2		39	0.6326084668934387	0.03085894960455799		0.6017495172888808		4.878048780487805		95.1219512195122	9	1		8	28.125	100		25.806451612903224	109.75609756097562	100		105.26315789473684	21041	6481102	5.9	27.7
